trade_id,year,region1,region2,industry1,industry2,amount
3379,2019,AU,AU,CONST,CONST,81479.08
3480,2019,AU,AU,CONST,REALE,28138.54
1830,2019,AU,AU,BUSIN,BUSIN,24536.76
6678,2019,AU,AU,FINAN,REALE,23571.85
1844,2019,AU,AU,BUSIN,CONST,23403.43
8330,2019,AU,AU,HEALT,HEALT,20078.41
11487,2019,AU,AU,NATUR,NATUR,17749.54
19790,2019,AU,AU,WHOLE,CONST,16092.38
756,2019,AU,AU,AUXIL,INSUR,14833.27
14003,2019,AU,AU,POSTT,POSTT,12054.66
6402,2019,AU,AU,FABRI,CONST,11184.80
2143,2019,AU,AU,CEMEN,CONST,10341.20
15795,2019,AU,AU,RECRE,RECRE,9871.76
687,2019,AU,AU,AUXIL,AUXIL,9845.87
20022,2019,AU,AU,WOODW,CONST,9835.78
18091,2019,AU,AU,SUPPO,SUPPO,7993.68
6599,2019,AU,AU,FINAN,FINAN,7519.83
6575,2019,AU,AU,FINAN,CONST,7118.40
3475,2019,AU,AU,CONST,PUBLI,6891.80
736,2019,AU,AU,AUXIL,FINAN,6806.47
1947,2019,AU,AU,BUSIN,REALE,6674.34
1942,2019,AU,AU,BUSIN,PUBLI,6488.28
9303,2019,AU,AU,LANDT,CONST,6309.86
3206,2019,AU,AU,COMPU,COMPU,6190.74
1980,2019,AU,AU,BUSIN,WHOLE,5932.35
4206,2019,AU,AU,DIST1,DIST1,5861.82
15623,2019,AU,AU,REALE,REALE,5726.30
9024,2019,AU,AU,INSUR,INSUR,5172.27
19926,2019,AU,AU,WHOLE,WHOLE,5119.01
2051,2019,AU,AU,CATTL,MEATC,4835.72
15506,2019,AU,AU,REALE,BUSIN,4689.10
6561,2019,AU,AU,FINAN,BUSIN,4688.11
1852,2019,AU,AU,BUSIN,EDUCA,4616.37
16302,2019,AU,AU,RETA1,CONST,4550.47
15520,2019,AU,AU,REALE,CONST,4522.08
16343,2019,AU,AU,RETA1,HOTEL,4477.09
8568,2019,AU,AU,HOTEL,BUSIN,4476.72
1953,2019,AU,AU,BUSIN,RETA1,4407.45
15629,2019,AU,AU,REALE,RETA1,4387.69
15954,2019,AU,AU,RENTI,CONST,4341.63
1843,2019,AU,AU,BUSIN,COMPU,4240.26
16632,2019,AU,AU,RUBBE,CONST,4219.29
11434,2019,AU,AU,NATUR,ELEC2,4211.14
1868,2019,AU,AU,BUSIN,FINAN,3996.50
1936,2019,AU,AU,BUSIN,POSTT,3892.00
13637,2019,AU,AU,PLANT,PLANT,3881.34
8278,2019,AU,AU,HEALT,BUSIN,3784.34
15374,2019,AU,AU,RAWMI,DAIRY,3783.85
18105,2019,AU,AU,SUPPO,WHOLE,3735.78
3193,2019,AU,AU,COMPU,BUSIN,3683.75
1883,2019,AU,AU,BUSIN,HEALT,3681.55
3365,2019,AU,AU,CONST,BUSIN,3564.93
18019,2019,AU,AU,SUPPO,LANDT,3545.05
17939,2019,AU,AU,SUPPO,AIRTR,3467.22
11393,2019,AU,AU,NATUR,ALUM1,3438.68
15528,2019,AU,AU,REALE,EDUCA,3438.06
1948,2019,AU,AU,BUSIN,RECRE,3436.76
6673,2019,AU,AU,FINAN,PUBLI,3353.14
13898,2019,AU,AU,POSTT,BUSIN,3345.93
8621,2019,AU,AU,HOTEL,HEALT,3274.43
1092,2019,AU,AU,BEVER,HOTEL,3150.21
15656,2019,AU,AU,REALE,WHOLE,3116.15
3387,2019,AU,AU,CONST,EDUCA,2874.31
3031,2019,AU,AU,COLLE,COLLE,2854.46
13911,2019,AU,AU,POSTT,COMPU,2790.90
16236,2019,AU,AU,RESEA,RESEA,2754.50
15618,2019,AU,AU,REALE,PUBLI,2734.81
14009,2019,AU,AU,POSTT,PUBLI,2707.50
17241,2019,AU,AU,SEACO,SEACO,2698.76
8336,2019,AU,AU,HEALT,INSUR,2696.91
1996,2019,AU,AU,CATTL,CATTL,2676.59
3297,2019,AU,AU,COMPU,POSTT,2669.17
19831,2019,AU,AU,WHOLE,HOTEL,2662.51
15561,2019,AU,AU,REALE,HOTEL,2642.18
13912,2019,AU,AU,POSTT,CONST,2598.44
6711,2019,AU,AU,FINAN,WHOLE,2563.03
1885,2019,AU,AU,BUSIN,HOTEL,2538.64
18083,2019,AU,AU,SUPPO,SEACO,2494.58
1952,2019,AU,AU,BUSIN,RESEA,2486.66
6620,2019,AU,AU,FINAN,INSUR,2415.94
9082,2019,AU,AU,INSUR,REALE,2329.55
1966,2019,AU,AU,BUSIN,SUPPO,2292.11
6550,2019,AU,AU,FINAN,AUXIL,2286.07
890,2019,AU,AU,BASIC,CONST,2255.58
16341,2019,AU,AU,RETA1,HEALT,2253.56
15680,2019,AU,AU,RECRE,BUSIN,2250.85
3303,2019,AU,AU,COMPU,PUBLI,2249.66
1495,2019,AU,AU,BITUM,ELEC1,2211.31
8590,2019,AU,AU,HOTEL,EDUCA,2204.39
3513,2019,AU,AU,CONST,WHOLE,2185.88
1819,2019,AU,AU,BUSIN,AUXIL,2160.53
3995,2019,AU,AU,CRUDE,MOTOR,2159.01
15559,2019,AU,AU,REALE,HEALT,2111.92
6684,2019,AU,AU,FINAN,RETA1,2053.13
1889,2019,AU,AU,BUSIN,INSUR,2047.22
14470,2019,AU,AU,PRINT,EDUCA,2023.11
17969,2019,AU,AU,SUPPO,CONST,1985.41
8680,2019,AU,AU,HOTEL,PUBLI,1984.30
386,2019,AU,AU,ALUM1,CONST,1951.11
18078,2019,AU,AU,SUPPO,RETA1,1935.45
16128,2019,AU,AU,RESEA,CONST,1895.19
19899,2019,AU,AU,WHOLE,RETA1,1860.55
712,2019,AU,AU,AUXIL,CONST,1831.71
6583,2019,AU,AU,FINAN,EDUCA,1830.02
10017,2019,AU,AU,MACHI,CONST,1802.39
3361,2019,AU,AU,CONST,BITUM,1800.65
8292,2019,AU,AU,HEALT,CONST,1794.82
17249,2019,AU,AU,SEACO,SUPPO,1785.68
19776,2019,AU,AU,WHOLE,BUSIN,1785.36
3231,2019,AU,AU,COMPU,FINAN,1783.90
14392,2019,AU,AU,PRECI,PREC1,1779.59
8582,2019,AU,AU,HOTEL,CONST,1715.65
1850,2019,AU,AU,BUSIN,DIST1,1713.80
