trade_id,year,region1,region2,industry1,industry2,amount,total_materials_value,materials_count
3379,2019,AU,AU,CONST,CONST,81479.08,0,0
3480,2019,AU,AU,CONST,REALE,28138.54,0,0
1830,2019,AU,AU,BUSIN,BUSIN,24536.76,0,0
6678,2019,AU,AU,FINAN,REALE,23571.85,0,0
1844,2019,AU,AU,BUSIN,CONST,23403.43,0,0
8330,2019,AU,AU,HEALT,HEALT,20078.41,0,0
11487,2019,AU,AU,NATUR,NATUR,17749.54,0,0
19790,2019,AU,AU,WHOLE,CONST,16092.38,0,0
756,2019,AU,AU,AUXIL,INSUR,14833.27,0,0
14003,2019,AU,AU,POSTT,POSTT,12054.66,0,0
6402,2019,AU,AU,FABRI,CONST,11184.8,0,0
2143,2019,AU,AU,CEMEN,CONST,10341.2,0,0
15795,2019,AU,AU,RECRE,RECRE,9871.76,0,0
687,2019,AU,AU,AUXIL,AUXIL,9845.87,0,0
20022,2019,AU,AU,WOODW,CONST,9835.78,0,0
18091,2019,AU,AU,SUPPO,SUPPO,7993.68,0,0
6599,2019,AU,AU,FINAN,FINAN,7519.83,0,0
6575,2019,AU,AU,FINAN,CONST,7118.4,0,0
3475,2019,AU,AU,CONST,PUBLI,6891.8,0,0
736,2019,AU,AU,AUXIL,FINAN,6806.47,0,0
1947,2019,AU,AU,BUSIN,REALE,6674.34,0,0
1942,2019,AU,AU,BUSIN,PUBLI,6488.28,0,0
9303,2019,AU,AU,LANDT,CONST,6309.86,0,0
3206,2019,AU,AU,COMPU,COMPU,6190.74,0,0
1980,2019,AU,AU,BUSIN,WHOLE,5932.35,0,0
4206,2019,AU,AU,DIST1,DIST1,5861.82,0,0
15623,2019,AU,AU,REALE,REALE,5726.3,0,0
9024,2019,AU,AU,INSUR,INSUR,5172.27,0,0
19926,2019,AU,AU,WHOLE,WHOLE,5119.01,0,0
2051,2019,AU,AU,CATTL,MEATC,4835.72,0,0
15506,2019,AU,AU,REALE,BUSIN,4689.1,0,0
6561,2019,AU,AU,FINAN,BUSIN,4688.11,0,0
