trade_id,year,region1,region2,industry1,industry2,amount
24472,2019,AU,JP,BITUM,ELEC1,16022.55
21231,2019,AU,IN,BITUM,BASIC,10887.92
28226,2019,AU,KR,BITUM,ELEC1,7956.05
4717,2019,AU,CN,BITUM,DIST1,5685.05
4721,2019,AU,CN,BITUM,ELEC1,5679.95
42249,2019,AU,WA,BITUM,ELEC1,3780.85
21241,2019,AU,IN,BITUM,CEMEN,3443.97
26769,2019,AU,JP,PRIVA,NATUR,2798.96
4701,2019,AU,CN,BITUM,BLAST,2777.60
21421,2019,AU,IN,COKIN,COKEO,2412.55
43526,2019,AU,WA,CRUDE,MOTOR,1902.55
21236,2019,AU,IN,BITUM,BITUM,1890.66
43514,2019,AU,WA,CRUDE,GASDI,1869.26
7102,2019,AU,CN,PLANT,WOODW,1671.26
43519,2019,AU,WA,CRUDE,KEROS,1622.60
4710,2019,AU,CN,BITUM,COKE1,1423.00
5541,2019,AU,CN,FISHF,FISH5,1188.04
24515,2019,AU,JP,BITUM,PLAST,1144.34
45093,2019,AU,WA,HOTEL,WOODW,1134.83
50021,2019,AU,WA,VEGET,OFFIC,1094.70
19288,2019,AU,ID,CATTL,MEATC,1031.71
41904,2019,AU,WA,BASIC,CONST,1019.16
50246,2019,AU,WA,WHEAT,WOODW,1011.51
4823,2019,AU,CN,CEREA,FOOD5,999.15
2609,2019,AU,BR,BITUM,BASIC,975.75
47623,2019,AU,WA,PREC1,PREC1,938.71
54759,2019,AU,WM,ALUM1,ALUM1,877.18
7203,2019,AU,CN,PREC1,PREC1,856.47
7185,2019,AU,CN,PREC1,FOUND,848.53
43780,2019,AU,WA,ELECT,CONST,845.92
19260,2019,AU,ID,BITUM,BASIC,833.06
42546,2019,AU,WA,CATTL,CHEM1,828.55
7883,2019,AU,CN,WOODW,CONST,814.04
7263,2019,AU,CN,PRECI,PREC1,795.88
5204,2019,AU,CN,CRUDE,MOTOR,731.97
4801,2019,AU,CN,CATTL,MEATC,725.74
4758,2019,AU,CN,BITUM,OXYGE,714.98
4698,2019,AU,CN,BITUM,BIOG1,643.37
43515,2019,AU,WA,CRUDE,HEAVY,624.99
24514,2019,AU,JP,BITUM,PFERT,619.57
6593,2019,AU,CN,NATU1,PLAST,577.99
45425,2019,AU,WA,LANDT,CONST,534.66
28000,2019,AU,JP,WOODW,WOODW,526.94
4705,2019,AU,CN,BITUM,CEMEN,520.52
5196,2019,AU,CN,CRUDE,GASDI,504.02
23149,2019,AU,IT,HOTEL,CONST,496.98
4700,2019,AU,CN,BITUM,BITUM,486.34
47672,2019,AU,WA,PRECI,CHEM1,480.28
43593,2019,AU,WA,DAIRY,HOTEL,474.41
6649,2019,AU,CN,NICKE,BASIC,463.58
26768,2019,AU,JP,PRIVA,NATU1,462.35
7778,2019,AU,CN,VEGET,FOOD5,446.28
30186,2019,AU,KR,WHEAT,FOOD5,443.07
4713,2019,AU,CN,BITUM,COPP1,438.42
7814,2019,AU,CN,VEGET,VEGET,425.92
4922,2019,AU,CN,CHEM1,PLAST,415.63
6683,2019,AU,CN,NICKE,NONF1,413.72
42303,2019,AU,WA,BITUM,NONME,410.30
6290,2019,AU,CN,MEAT4,WEARI,410.25
50220,2019,AU,WA,WHEAT,PRINT,405.86
6012,2019,AU,CN,LEAD1,CONST,404.09
43522,2019,AU,WA,CRUDE,LIQUE,395.30
45232,2019,AU,WA,INSUR,CHEM1,390.41
26159,2019,AU,JP,MEATC,HOTEL,390.30
31622,2019,AU,NL,BITUM,ELEC1,371.63
4755,2019,AU,CN,BITUM,NONME,361.79
42938,2019,AU,WA,CHEM1,RUBBE,359.58
27728,2019,AU,JP,WHEAT,FOOD5,342.84
19425,2019,AU,ID,CRUDE,GASDI,335.54
29282,2019,AU,KR,MEATC,HOTEL,328.31
5044,2019,AU,CN,COPP1,COPP1,325.79
4734,2019,AU,CN,BITUM,FURNI,321.48
47224,2019,AU,WA,PLANT,CHEM1,320.33
20263,2019,AU,ID,WHEAT,FOOD5,316.97
5199,2019,AU,CN,CRUDE,KEROS,315.19
29772,2019,AU,KR,PRECI,PREC1,313.61
7905,2019,AU,CN,WOODW,FURNI,311.20
50071,2019,AU,WA,VEGET,WOODW,305.91
38657,2019,AU,US,BASIC,FABRI,301.65
47574,2019,AU,WA,PREC1,ELECT,301.43
7093,2019,AU,CN,PLANT,PLANT,297.47
7965,2019,AU,CN,WOODW,WOODW,296.44
38639,2019,AU,US,BASIC,BASIC,293.46
49623,2019,AU,WA,TEXTI,TEXTI,291.39
21256,2019,AU,IN,BITUM,FABRI,290.60
19431,2019,AU,ID,CRUDE,MOTOR,288.90
45945,2019,AU,WA,MEAT4,CHEM1,287.75
27434,2019,AU,JP,SEACO,SEACO,285.21
5248,2019,AU,CN,DAIRY,FOOD5,284.49
42268,2019,AU,WA,BITUM,GLASS,281.52
10749,2019,AU,DE,SEACO,WOODW,281.12
42949,2019,AU,WA,CHEM1,TEXTI,280.61
43527,2019,AU,WA,CRUDE,NAPHT,271.50
6274,2019,AU,CN,MEAT4,MEAT4,267.48
44490,2019,AU,WA,FURNI,RETA1,265.19
54790,2019,AU,WM,ALUM1,FABRI,263.85
49894,2019,AU,WA,TRANS,TRANS,257.05
24735,2019,AU,JP,CEREA,FOOD5,253.94
7179,2019,AU,CN,PREC1,ELECT,251.47
6727,2019,AU,CN,NONF1,ELECT,249.95
42927,2019,AU,WA,CHEM1,PUBLI,248.47
10743,2019,AU,DE,SEACO,SEACO,248.16
21425,2019,AU,IN,COKIN,ELEC1,242.30
6728,2019,AU,CN,NONF1,FABRI,237.37
1747,2019,AU,BE,OILSE,FOOD5,234.77
14171,2019,AU,FR,BITUM,STEAM,233.84
5740,2019,AU,CN,FORES,WOODW,233.09
21268,2019,AU,IN,BITUM,LEAD1,228.50
