trade_id,year,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_Minerals,materials_Other_Materials,materials_intensity
24472,2019,AU,JP,BITUM,ELEC1,16022.55,3923266771.949,1.0,1.0,3923266771.949,3923266771.949,3923266771.949,244859.074988
21231,2019,AU,IN,BITUM,BASIC,10887.92,2666004957.246,1.0,1.0,2666004957.246,2666004957.246,2666004957.246,244858.977403
28226,2019,AU,KR,BITUM,ELEC1,7956.05,1948109953.285,1.0,1.0,1948109953.285,1948109953.285,1948109953.285,244858.937951
4717,2019,AU,CN,BITUM,DIST1,5685.05,1392034718.813,1.0,1.0,1392034718.813,1392034718.813,1392034718.813,244858.834806
4721,2019,AU,CN,BITUM,ELEC1,5679.95,1390788053.135,1.0,1.0,1390788053.135,1390788053.135,1390788053.135,244859.207059
42249,2019,AU,WA,BITUM,ELEC1,3780.85,925775903.645,1.0,1.0,925775903.645,925775903.645,925775903.645,244859.199292
21241,2019,AU,IN,BITUM,CEMEN,3443.97,843287116.442,1.0,1.0,843287116.442,843287116.442,843287116.442,244859.019225
4701,2019,AU,CN,BITUM,BLAST,2777.6,680120422.284,1.0,1.0,680120422.284,680120422.284,680120422.284,244859.023
21236,2019,AU,IN,BITUM,BITUM,1890.66,462946332.263,1.0,1.0,462946332.263,462946332.263,462946332.263,244859.642804
21421,2019,AU,IN,COKIN,COKEO,2412.55,456130582.018,1.0,1.0,456130582.018,456130582.018,456130582.018,189065.752842
4710,2019,AU,CN,BITUM,COKE1,1423.0,348434912.277,1.0,1.0,348434912.277,348434912.277,348434912.277,244859.390216
24515,2019,AU,JP,BITUM,PLAST,1144.34,280200724.74,1.0,1.0,280200724.74,280200724.74,280200724.74,244857.930982
2609,2019,AU,BR,BITUM,BASIC,975.75,238920562.479,1.0,1.0,238920562.479,238920562.479,238920562.479,244858.378149
19260,2019,AU,ID,BITUM,BASIC,833.06,203982144.558,1.0,1.0,203982144.558,203982144.558,203982144.558,244858.887185
19288,2019,AU,ID,CATTL,MEATC,1031.71,185645583.61,1.0,1.0,185645583.61,185645583.61,185645583.61,179939.695854
4758,2019,AU,CN,BITUM,OXYGE,714.98,175069815.838,1.0,1.0,175069815.838,175069815.838,175069815.838,244859.738507
4698,2019,AU,CN,BITUM,BIOG1,643.37,157534878.423,1.0,1.0,157534878.423,157534878.423,157534878.423,244858.912326
24514,2019,AU,JP,BITUM,PFERT,619.57,151706702.795,1.0,1.0,151706702.795,151706702.795,151706702.795,244858.051221
42546,2019,AU,WA,CATTL,CHEM1,828.55,149089517.1,1.0,1.0,149089517.1,149089517.1,149089517.1,179940.277714
7263,2019,AU,CN,PRECI,PREC1,795.88,136269383.748,1.0,1.0,136269383.748,136269383.748,136269383.748,171218.504986
4801,2019,AU,CN,CATTL,MEATC,725.74,130588833.794,1.0,1.0,130588833.794,130588833.794,130588833.794,179938.86763
4705,2019,AU,CN,BITUM,CEMEN,520.52,127455049.036,1.0,1.0,127455049.036,127455049.036,127455049.036,244861.002528
4700,2019,AU,CN,BITUM,BITUM,486.34,119084658.769,1.0,1.0,119084658.769,119084658.769,119084658.769,244858.861638
4713,2019,AU,CN,BITUM,COPP1,438.42,107351671.453,1.0,1.0,107351671.453,107351671.453,107351671.453,244860.342715
42303,2019,AU,WA,BITUM,NONME,410.3,100464924.822,1.0,1.0,100464924.822,100464924.822,100464924.822,244857.238172
31622,2019,AU,NL,BITUM,ELEC1,371.63,90997377.133,1.0,1.0,90997377.133,90997377.133,90997377.133,244860.148893
