trade_id,year,region1,region2,industry1,industry2,amount,total_materials_value,materials_count
19152,2019,BR,BR,WHOLE,WHOLE,22696.45,0,0
3281,2019,BR,BR,CONST,CONST,18909.66,0,0
6066,2019,BR,BR,FINAN,FINAN,16008.46,0,0
13826,2019,BR,BR,POULT,MEAT1,14856.48,0,0
1645,2019,BR,BR,BUSIN,BUSIN,14416.36,0,0
7583,2019,BR,BR,GASDI,RAILW,13017.05,0,0
3803,2019,BR,BR,CRUDE,GASDI,12817.45,0,0
1847,2019,BR,BR,CATTL,MEATC,11298.63,0,0
7528,2019,BR,BR,GASDI,LANDT,11134.95,0,0
10905,2019,BR,BR,MOTOR,GASDI,11004.4,0,0
19123,2019,BR,BR,WHOLE,RETA1,10114.57,0,0
1679,2019,BR,BR,BUSIN,FINAN,10012.76,0,0
1019,2019,BR,BR,BEVER,HOTEL,9979.09,0,0
13111,2019,BR,BR,PFERT,PFERT,9798.92,0,0
1659,2019,BR,BR,BUSIN,CONST,9531.97,0,0
3815,2019,BR,BR,CRUDE,MOTOR,9107.92,0,0
1761,2019,BR,BR,BUSIN,PUBLI,8841.99,0,0
19010,2019,BR,BR,WHOLE,CONST,8680.27,0,0
10792,2019,BR,BR,MOTO1,MOTO1,8497.43,0,0
5871,2019,BR,BR,FABRI,CONST,8363.57,0,0
698,2019,BR,BR,AUXIL,FINAN,8031.16,0,0
10933,2019,BR,BR,MOTOR,MOTOR,7819.6,0,0
1772,2019,BR,BR,BUSIN,RETA1,7571.53,0,0
15080,2019,BR,BR,REALE,RETA1,7119.28,0,0
14873,2019,BR,BR,RAWMI,DAIRY,7076.63,0,0
11798,2019,BR,BR,NONME,CONST,7021.34,0,0
18471,2019,BR,BR,VEGET,FOOD5,6537.73,0,0
1696,2019,BR,BR,BUSIN,HEALT,6352.0,0,0
13733,2019,BR,BR,POSTT,POSTT,6332.53,0,0
13587,2019,BR,BR,PLAST,RUBBE,6222.95,0,0
859,2019,BR,BR,BASIC,CONST,5931.06,0,0
7860,2019,BR,BR,HEALT,HEALT,5864.93,0,0
8994,2019,BR,BR,LANDT,CONST,5801.09,0,0
6152,2019,BR,BR,FINAN,REALE,5362.26,0,0
17765,2019,BR,BR,TEXTI,WEARI,5148.51,0,0
16099,2019,BR,BR,RUBBE,CONST,4997.24,0,0
1801,2019,BR,BR,BUSIN,WHOLE,4989.07,0,0
13104,2019,BR,BR,PFERT,OILSE,4699.0,0,0
19342,2019,BR,BR,WOODW,CONST,4564.34,0,0
18996,2019,BR,BR,WHOLE,BUSIN,4544.21,0,0
2016,2019,BR,BR,CERAM,CONST,4482.2,0,0
7488,2019,BR,BR,GASDI,CONST,4420.76,0,0
9933,2019,BR,BR,MACHI,MACHI,4366.41,0,0
907,2019,BR,BR,BASIC,MOTO1,4354.22,0,0
17445,2019,BR,BR,SUPPO,SUPPO,4206.45,0,0
8149,2019,BR,BR,HOTEL,HEALT,4096.42,0,0
1667,2019,BR,BR,BUSIN,EDUCA,3782.68,0,0
8946,2019,BR,BR,KEROS,AIRTR,3660.32,0,0
15069,2019,BR,BR,REALE,PUBLI,3653.38,0,0
4146,2019,BR,BR,DISTR,DISTR,3649.97,0,0
3132,2019,BR,BR,COMPU,FINAN,3634.97,0,0
16204,2019,BR,BR,RUBBE,RUBBE,3606.04,0,0
15810,2019,BR,BR,RETA1,HOTEL,3592.6,0,0
3210,2019,BR,BR,COMPU,PUBLI,3565.21,0,0
15228,2019,BR,BR,RECRE,POSTT,3512.81,0,0
13192,2019,BR,BR,PIGS9,MEATP,3428.95,0,0
1723,2019,BR,BR,BUSIN,MOTO1,3394.01,0,0
16154,2019,BR,BR,RUBBE,MOTO1,3380.0,0,0
15240,2019,BR,BR,RECRE,RECRE,3303.25,0,0
3373,2019,BR,BR,CONST,PUBLI,3281.06,0,0
16312,2019,BR,BR,SALEM,LANDT,3235.2,0,0
3378,2019,BR,BR,CONST,REALE,3095.94,0,0
1755,2019,BR,BR,BUSIN,POSTT,3090.29,0,0
15873,2019,BR,BR,RETA1,PUBLI,3028.42,0,0
15771,2019,BR,BR,RETA1,CONST,3015.98,0,0
19126,2019,BR,BR,WHOLE,SALEM,2991.42,0,0
1906,2019,BR,BR,CEMEN,CONST,2925.57,0,0
13739,2019,BR,BR,POSTT,PUBLI,2891.08,0,0
8213,2019,BR,BR,HOTEL,PUBLI,2851.43,0,0
1686,2019,BR,BR,BUSIN,FOOD5,2775.8,0,0
8102,2019,BR,BR,HOTEL,BUSIN,2749.75,0,0
6032,2019,BR,BR,FINAN,BUSIN,2745.67,0,0
14956,2019,BR,BR,REALE,BUSIN,2743.95,0,0
15808,2019,BR,BR,RETA1,HEALT,2672.62,0,0
15128,2019,BR,BR,RECRE,BUSIN,2671.19,0,0
6158,2019,BR,BR,FINAN,RETA1,2636.58,0,0
6046,2019,BR,BR,FINAN,CONST,2604.39,0,0
15004,2019,BR,BR,REALE,HEALT,2582.88,0,0
14989,2019,BR,BR,REALE,FINAN,2572.97,0,0
13660,2019,BR,BR,POSTT,FINAN,2566.06,0,0
7913,2019,BR,BR,HEALT,PUBLI,2565.48,0,0
19106,2019,BR,BR,WHOLE,POSTT,2538.4,0,0
17758,2019,BR,BR,TEXTI,TEXTI,2517.22,0,0
10776,2019,BR,BR,MOTO1,LANDT,2436.62,0,0
13149,2019,BR,BR,PFERT,VEGET,2417.3,0,0
10056,2019,BR,BR,MEAT1,MEAT1,2370.52,0,0
839,2019,BR,BR,BASIC,BASIC,2326.34,0,0
1760,2019,BR,BR,BUSIN,PROCE,2314.58,0,0
15108,2019,BR,BR,REALE,WHOLE,2305.24,0,0
17279,2019,BR,BR,SUGAR,SUGA1,2301.45,0,0
19058,2019,BR,BR,WHOLE,LANDT,2282.76,0,0
10834,2019,BR,BR,MOTO1,SALEM,2262.87,0,0
15779,2019,BR,BR,RETA1,EDUCA,2233.53,0,0
19037,2019,BR,BR,WHOLE,FOOD5,2221.19,0,0
19009,2019,BR,BR,WHOLE,COMPU,2203.95,0,0
6877,2019,BR,BR,FOOD5,FOOD5,2195.53,0,0
1636,2019,BR,BR,BUSIN,BEVER,2192.27,0,0
17367,2019,BR,BR,SUPPO,LANDT,2157.25,0,0
17999,2019,BR,BR,TRAN2,CRUDE,2147.63,0,0
9021,2019,BR,BR,LANDT,FOOD5,2142.78,0,0
7492,2019,BR,BR,GASDI,CRUDE,2126.43,0,0
1707,2019,BR,BR,BUSIN,LANDT,2089.65,0,0
1658,2019,BR,BR,BUSIN,COMPU,2084.5,0,0
15819,2019,BR,BR,RETA1,LANDT,2040.02,0,0
9893,2019,BR,BR,MACHI,CRUDE,2035.88,0,0
1722,2019,BR,BR,BUSIN,MEMBE,2000.97,0,0
3808,2019,BR,BR,CRUDE,LIQUE,1989.69,0,0
15776,2019,BR,BR,RETA1,DAIRY,1984.22,0,0
19047,2019,BR,BR,WHOLE,HEALT,1974.25,0,0
12816,2019,BR,BR,PAPER,PAPER,1973.74,0,0
15802,2019,BR,BR,RETA1,FURNI,1956.74,0,0
3804,2019,BR,BR,CRUDE,HEAVY,1943.21,0,0
1786,2019,BR,BR,BUSIN,SUPPO,1934.62,0,0
5889,2019,BR,BR,FABRI,FABRI,1901.53,0,0
867,2019,BR,BR,BASIC,FABRI,1892.86,0,0
1698,2019,BR,BR,BUSIN,HOTEL,1884.59,0,0
6187,2019,BR,BR,FINAN,WHOLE,1878.5,0,0
15757,2019,BR,BR,RETA1,BUSIN,1839.27,0,0
15456,2019,BR,BR,RENTI,CRUDE,1814.23,0,0
8124,2019,BR,BR,HOTEL,EDUCA,1807.47,0,0
3112,2019,BR,BR,COMPU,COMPU,1763.33,0,0
16366,2019,BR,BR,SALEM,PUBLI,1750.79,0,0
10470,2019,BR,BR,MEDIC,HEALT,1747.2,0,0
9058,2019,BR,BR,LANDT,MOTO1,1735.67,0,0
14808,2019,BR,BR,RAILW,RAILW,1734.19,0,0
655,2019,BR,BR,AUXIL,AUXIL,1728.91,0,0
1775,2019,BR,BR,BUSIN,SALEM,1715.4,0,0
9042,2019,BR,BR,LANDT,LANDT,1710.72,0,0
10921,2019,BR,BR,MOTOR,LIQUE,1708.25,0,0
12391,2019,BR,BR,PADDY,PROCE,1695.75,0,0
19112,2019,BR,BR,WHOLE,PUBLI,1695.32,0,0
10908,2019,BR,BR,MOTOR,HEAVY,1668.35,0,0
5932,2019,BR,BR,FABRI,MOTO1,1662.33,0,0
8134,2019,BR,BR,HOTEL,FINAN,1659.82,0,0
15748,2019,BR,BR,RETA1,BEVER,1659.52,0,0
3807,2019,BR,BR,CRUDE,KEROS,1659.06,0,0
13628,2019,BR,BR,POSTT,BUSIN,1642.66,0,0
1715,2019,BR,BR,BUSIN,MACHI,1640.65,0,0
6150,2019,BR,BR,FINAN,RAILW,1616.04,0,0
5693,2019,BR,BR,ELECT,DIST1,1608.36,0,0
16328,2019,BR,BR,SALEM,MOTO1,1597.75,0,0
