trade_id,year,region1,region2,industry1,industry2,amount
5568,2019,BR,CN,CRUDE,MOTOR,11432.07
6527,2019,BR,CN,OILSE,FOOD5,8702.76
5559,2019,BR,CN,CRUDE,GASDI,7871.84
5563,2019,BR,CN,CRUDE,KEROS,4922.74
6552,2019,BR,CN,OILSE,OILSE,4041.25
5564,2019,BR,CN,CRUDE,LIQUE,2360.02
6136,2019,BR,CN,MEAT1,MEAT1,1714.82
48804,2019,BR,WL,BASIC,CONST,1371.80
5561,2019,BR,CN,CRUDE,HEAVY,1340.06
49537,2019,BR,WL,CRUDE,MOTOR,1329.79
5569,2019,BR,CN,CRUDE,NAPHT,1326.11
38441,2019,BR,US,CRUDE,CRUDE,1304.35
37940,2019,BR,US,BASIC,FABRI,1281.53
37917,2019,BR,US,BASIC,BASIC,1246.74
6759,2019,BR,CN,PLANT,WOODW,984.11
42662,2019,BR,WA,KEROS,AIRTR,970.84
6890,2019,BR,CN,PULP5,PAPER,868.92
6871,2019,BR,CN,PULP5,FURNI,841.53
41203,2019,BR,US,WOODW,WOODW,841.11
44010,2019,BR,WA,PLANT,CHEM1,829.37
23148,2019,BR,JP,CEREA,FOOD5,806.02
37964,2019,BR,US,BASIC,MOTO1,770.78
6909,2019,BR,CN,PULP5,WOODW,747.40
3568,2019,BR,CA,ALUM1,ALUM1,727.81
38431,2019,BR,US,CRUDE,CHEM1,715.33
39222,2019,BR,US,KEROS,AIRTR,694.82
48786,2019,BR,WL,BASIC,BASIC,694.13
5573,2019,BR,CN,CRUDE,NONSP,658.13
39772,2019,BR,US,NONME,ELECT,604.34
24935,2019,BR,KR,CEREA,FOOD5,594.47
49519,2019,BR,WL,CRUDE,GASDI,569.30
49524,2019,BR,WL,CRUDE,KEROS,557.12
27597,2019,BR,MX,MOTO1,MOTO1,552.49
20063,2019,BR,IN,CRUDE,GASDI,550.43
5553,2019,BR,CN,CRUDE,BITU1,532.29
23684,2019,BR,JP,MEAT1,FOOD5,493.60
52597,2019,BR,WL,PLAST,MEATP,492.58
21667,2019,BR,IT,HOTEL,CONST,491.73
41577,2019,BR,WA,CEREA,CHEM1,489.18
51224,2019,BR,WL,MEATC,CHEM1,447.29
37773,2019,BR,US,ALUM1,ALUM1,403.57
38486,2019,BR,US,CRUDE,MOTOR,378.37
28541,2019,BR,NL,BUSIN,BUSIN,360.59
43134,2019,BR,WA,MEATC,CHEM1,358.56
5556,2019,BR,CN,CRUDE,CRUDE,346.14
20069,2019,BR,IN,CRUDE,MOTOR,342.47
24082,2019,BR,JP,PRIVA,NATUR,338.95
38527,2019,BR,US,CRUDE,RUBBE,337.78
49295,2019,BR,WL,COPP1,CONST,335.77
2040,2019,BR,BE,CROPS,FOOD5,333.51
6800,2019,BR,CN,PLAST,RUBBE,329.39
5555,2019,BR,CN,CRUDE,COALT,327.24
41373,2019,BR,WA,BASIC,CONST,320.10
10278,2019,BR,DE,SEACO,WOODW,317.54
50734,2019,BR,WL,KEROS,AIRTR,316.01
39998,2019,BR,US,PLAST,RUBBE,307.84
54643,2019,BR,WM,CEREA,FOOD5,297.04
6535,2019,BR,CN,OILSE,HOTEL,291.87
4399,2019,BR,CA,PREC1,FURNI,286.39
10272,2019,BR,DE,SEACO,SEACO,280.31
38459,2019,BR,US,CRUDE,GASDI,274.39
53189,2019,BR,WL,RUBBE,CONST,272.32
54714,2019,BR,WM,CEREA,RESEA,268.13
41904,2019,BR,WA,CRUDE,MOTOR,264.63
49521,2019,BR,WL,CRUDE,HEAVY,261.34
41894,2019,BR,WA,CRUDE,GASDI,260.00
54312,2019,BR,WM,BASIC,FABRI,253.51
38422,2019,BR,US,CRUDE,BIOGA,242.87
6584,2019,BR,CN,OILSE,WHOLE,240.18
53936,2019,BR,WL,TRANS,TRANS,239.41
5574,2019,BR,CN,CRUDE,PARAF,239.40
55752,2019,BR,WM,MEAT1,MEAT1,238.50
40542,2019,BR,US,RUBBE,MOTO1,234.31
49749,2019,BR,WL,ELECT,SALEM,233.04
43839,2019,BR,WA,OILSE,WEARI,232.31
2286,2019,BR,BE,FOOD5,FOOD5,231.83
41897,2019,BR,WA,CRUDE,KEROS,225.69
25325,2019,BR,KR,MEAT1,HOTEL,225.33
40192,2019,BR,US,PULP5,PAPER,221.79
8544,2019,BR,DE,CROPS,FOOD5,220.95
5543,2019,BR,CN,CROPS,TOBAC,219.47
30139,2019,BR,NO,ALUM1,FABRI,217.85
54547,2019,BR,WM,CATTL,PFERT,213.44
11880,2019,BR,ES,CRUDE,PLAST,209.67
6073,2019,BR,CN,LEATH,LEATH,206.49
48658,2019,BR,WL,ALUM1,CHEM1,202.67
7072,2019,BR,CN,SUGA1,FOOD5,201.53
49508,2019,BR,WL,CRUDE,ELEC2,200.62
5417,2019,BR,CN,COPP1,COPP1,199.11
51310,2019,BR,WL,MEATP,CHEM1,198.70
6573,2019,BR,CN,OILSE,RUBBE,194.90
55773,2019,BR,WM,MEAT1,PFERT,192.42
43616,2019,BR,WA,NAPHT,RUBBE,191.62
54601,2019,BR,WM,CEREA,93197,190.12
57367,2019,BR,WM,SUGA1,FOOD5,188.49
11210,2019,BR,DK,SEACO,SEACO,184.61
6894,2019,BR,CN,PULP5,PLAST,183.98
6578,2019,BR,CN,OILSE,TEXTI,181.11
43220,2019,BR,WA,MEATP,CHEM1,179.19
11863,2019,BR,ES,CRUDE,GASDI,177.75
6750,2019,BR,CN,PLANT,PLANT,175.16
55692,2019,BR,WM,MEAT1,93197,174.63
43807,2019,BR,WA,OILSE,OFFIC,168.78
30021,2019,BR,NL,VEGET,FOOD5,168.04
54629,2019,BR,WM,CEREA,EDUCA,161.40
49679,2019,BR,WL,ELECT,ELECT,161.08
41571,2019,BR,WA,CEREA,BUSIN,160.54
49083,2019,BR,WL,CERAM,CONST,158.33
41651,2019,BR,WA,CEREA,REALE,158.14
49238,2019,BR,WL,CEREA,RESEA,155.40
23690,2019,BR,JP,MEAT1,HOTEL,155.38
39733,2019,BR,US,NONF1,MOTO1,154.70
52639,2019,BR,WL,PLAST,TRAN2,154.37
5575,2019,BR,CN,CRUDE,PETRO,152.64
55719,2019,BR,WM,MEAT1,EDUCA,150.66
26958,2019,BR,MX,CEREA,FOOD5,150.00
52620,2019,BR,WL,PLAST,PULP5,148.35
19556,2019,BR,IE,CEREA,RESEA,148.30
6134,2019,BR,CN,MEAT1,HOTEL,147.11
6162,2019,BR,CN,MEATC,HOTEL,143.43
56854,2019,BR,WM,PREC1,PREC1,142.39
29028,2019,BR,NL,FOOD5,FOOD5,142.16
16226,2019,BR,FR,SEACO,SUPPO,142.12
39707,2019,BR,US,NAPHT,PLAST,140.50
49528,2019,BR,WL,CRUDE,LIQUE,137.46
20067,2019,BR,IN,CRUDE,LIQUE,131.81
52551,2019,BR,WL,PLAST,BITUM,131.45
52618,2019,BR,WL,PLAST,PROCE,129.72
19287,2019,BR,ID,MOTO1,MOTO1,128.66
34623,2019,BR,RU,MEATC,MEATC,127.55
26879,2019,BR,MX,BASIC,MOTO1,127.55
52380,2019,BR,WL,PAPER,PRINT,127.33
55890,2019,BR,WM,MEATC,HOTEL,127.11
55707,2019,BR,WM,MEAT1,CHEM1,126.98
16408,2019,BR,FR,TRANS,TRANS,126.90
5562,2019,BR,CN,CRUDE,KERO1,126.37
54525,2019,BR,WM,CATTL,CHEM1,126.28
55912,2019,BR,WM,MEATC,PFERT,125.74
22388,2019,BR,IT,REALE,CONST,123.45
36652,2019,BR,TR,BASIC,BASIC,121.77
9342,2019,BR,DE,MOTO1,MOTO1,120.57
5294,2019,BR,CN,BASIC,CONST,120.46
52557,2019,BR,WL,PLAST,CERAM,119.80
49219,2019,BR,WL,CEREA,PFERT,118.81
11871,2019,BR,ES,CRUDE,MOTOR,118.68
55741,2019,BR,WM,MEAT1,HOTEL,118.49
50432,2019,BR,WL,HEAVY,ELEC6,117.41
8218,2019,BR,DE,BUSIN,BUSIN,117.08
54921,2019,BR,WM,CROPS,PFERT,116.88
58638,2019,BR,ZA,MEAT1,RESEA,113.54
