trade_id,year,region1,region2,industry1,industry2,amount,total_employment_value,employment_count
5568,2019,BR,CN,CRUDE,MOTOR,11432.07,0,0
6527,2019,BR,CN,OILSE,FOOD5,8702.76,0,0
5559,2019,BR,CN,CRUDE,GASDI,7871.84,0,0
5563,2019,BR,CN,CRUDE,KEROS,4922.74,0,0
6552,2019,BR,CN,OILSE,OILSE,4041.25,0,0
5564,2019,BR,CN,CRUDE,LIQUE,2360.02,0,0
6136,2019,BR,CN,MEAT1,MEAT1,1714.82,0,0
48804,2019,BR,WL,BASIC,CONST,1371.8,0,0
5561,2019,BR,CN,CRUDE,HEAVY,1340.06,0,0
49537,2019,BR,WL,CRUDE,MOTOR,1329.79,0,0
5569,2019,BR,CN,CRUDE,NAPHT,1326.11,0,0
38441,2019,BR,US,CRUDE,CRUDE,1304.35,0,0
37940,2019,BR,US,BASIC,FABRI,1281.53,0,0
37917,2019,BR,US,BASIC,BASIC,1246.74,0,0
6759,2019,BR,CN,PLANT,WOODW,984.11,0,0
42662,2019,BR,WA,KEROS,AIRTR,970.84,0,0
6890,2019,BR,CN,PULP5,PAPER,868.92,0,0
6871,2019,BR,CN,PULP5,FURNI,841.53,0,0
41203,2019,BR,US,WOODW,WOODW,841.11,0,0
44010,2019,BR,WA,PLANT,CHEM1,829.37,0,0
23148,2019,BR,JP,CEREA,FOOD5,806.02,0,0
37964,2019,BR,US,BASIC,MOTO1,770.78,0,0
6909,2019,BR,CN,PULP5,WOODW,747.4,0,0
3568,2019,BR,CA,ALUM1,ALUM1,727.81,0,0
38431,2019,BR,US,CRUDE,CHEM1,715.33,0,0
39222,2019,BR,US,KEROS,AIRTR,694.82,0,0
48786,2019,BR,WL,BASIC,BASIC,694.13,0,0
5573,2019,BR,CN,CRUDE,NONSP,658.13,0,0
39772,2019,BR,US,NONME,ELECT,604.34,0,0
24935,2019,BR,KR,CEREA,FOOD5,594.47,0,0
49519,2019,BR,WL,CRUDE,GASDI,569.3,0,0
49524,2019,BR,WL,CRUDE,KEROS,557.12,0,0
27597,2019,BR,MX,MOTO1,MOTO1,552.49,0,0
20063,2019,BR,IN,CRUDE,GASDI,550.43,0,0
5553,2019,BR,CN,CRUDE,BITU1,532.29,0,0
23684,2019,BR,JP,MEAT1,FOOD5,493.6,0,0
52597,2019,BR,WL,PLAST,MEATP,492.58,0,0
21667,2019,BR,IT,HOTEL,CONST,491.73,0,0
41577,2019,BR,WA,CEREA,CHEM1,489.18,0,0
51224,2019,BR,WL,MEATC,CHEM1,447.29,0,0
37773,2019,BR,US,ALUM1,ALUM1,403.57,0,0
38486,2019,BR,US,CRUDE,MOTOR,378.37,0,0
28541,2019,BR,NL,BUSIN,BUSIN,360.59,0,0
43134,2019,BR,WA,MEATC,CHEM1,358.56,0,0
5556,2019,BR,CN,CRUDE,CRUDE,346.14,0,0
20069,2019,BR,IN,CRUDE,MOTOR,342.47,0,0
24082,2019,BR,JP,PRIVA,NATUR,338.95,0,0
38527,2019,BR,US,CRUDE,RUBBE,337.78,0,0
49295,2019,BR,WL,COPP1,CONST,335.77,0,0
2040,2019,BR,BE,CROPS,FOOD5,333.51,0,0
6800,2019,BR,CN,PLAST,RUBBE,329.39,0,0
5555,2019,BR,CN,CRUDE,COALT,327.24,0,0
41373,2019,BR,WA,BASIC,CONST,320.1,0,0
10278,2019,BR,DE,SEACO,WOODW,317.54,0,0
50734,2019,BR,WL,KEROS,AIRTR,316.01,0,0
39998,2019,BR,US,PLAST,RUBBE,307.84,0,0
54643,2019,BR,WM,CEREA,FOOD5,297.04,0,0
6535,2019,BR,CN,OILSE,HOTEL,291.87,0,0
4399,2019,BR,CA,PREC1,FURNI,286.39,0,0
10272,2019,BR,DE,SEACO,SEACO,280.31,0,0
38459,2019,BR,US,CRUDE,GASDI,274.39,0,0
53189,2019,BR,WL,RUBBE,CONST,272.32,0,0
54714,2019,BR,WM,CEREA,RESEA,268.13,0,0
41904,2019,BR,WA,CRUDE,MOTOR,264.63,0,0
49521,2019,BR,WL,CRUDE,HEAVY,261.34,0,0
41894,2019,BR,WA,CRUDE,GASDI,260.0,0,0
54312,2019,BR,WM,BASIC,FABRI,253.51,0,0
38422,2019,BR,US,CRUDE,BIOGA,242.87,0,0
6584,2019,BR,CN,OILSE,WHOLE,240.18,0,0
53936,2019,BR,WL,TRANS,TRANS,239.41,0,0
5574,2019,BR,CN,CRUDE,PARAF,239.4,0,0
55752,2019,BR,WM,MEAT1,MEAT1,238.5,0,0
40542,2019,BR,US,RUBBE,MOTO1,234.31,0,0
49749,2019,BR,WL,ELECT,SALEM,233.04,0,0
43839,2019,BR,WA,OILSE,WEARI,232.31,0,0
2286,2019,BR,BE,FOOD5,FOOD5,231.83,0,0
41897,2019,BR,WA,CRUDE,KEROS,225.69,0,0
25325,2019,BR,KR,MEAT1,HOTEL,225.33,0,0
40192,2019,BR,US,PULP5,PAPER,221.79,0,0
8544,2019,BR,DE,CROPS,FOOD5,220.95,0,0
5543,2019,BR,CN,CROPS,TOBAC,219.47,0,0
30139,2019,BR,NO,ALUM1,FABRI,217.85,0,0
54547,2019,BR,WM,CATTL,PFERT,213.44,0,0
11880,2019,BR,ES,CRUDE,PLAST,209.67,0,0
6073,2019,BR,CN,LEATH,LEATH,206.49,0,0
48658,2019,BR,WL,ALUM1,CHEM1,202.67,0,0
7072,2019,BR,CN,SUGA1,FOOD5,201.53,0,0
49508,2019,BR,WL,CRUDE,ELEC2,200.62,0,0
5417,2019,BR,CN,COPP1,COPP1,199.11,0,0
51310,2019,BR,WL,MEATP,CHEM1,198.7,0,0
6573,2019,BR,CN,OILSE,RUBBE,194.9,0,0
55773,2019,BR,WM,MEAT1,PFERT,192.42,0,0
43616,2019,BR,WA,NAPHT,RUBBE,191.62,0,0
54601,2019,BR,WM,CEREA,93197,190.12,0,0
57367,2019,BR,WM,SUGA1,FOOD5,188.49,0,0
11210,2019,BR,DK,SEACO,SEACO,184.61,0,0
6894,2019,BR,CN,PULP5,PLAST,183.98,0,0
6578,2019,BR,CN,OILSE,TEXTI,181.11,0,0
43220,2019,BR,WA,MEATP,CHEM1,179.19,0,0
11863,2019,BR,ES,CRUDE,GASDI,177.75,0,0
6750,2019,BR,CN,PLANT,PLANT,175.16,0,0
55692,2019,BR,WM,MEAT1,93197,174.63,0,0
43807,2019,BR,WA,OILSE,OFFIC,168.78,0,0
30021,2019,BR,NL,VEGET,FOOD5,168.04,0,0
54629,2019,BR,WM,CEREA,EDUCA,161.4,0,0
49679,2019,BR,WL,ELECT,ELECT,161.08,0,0
41571,2019,BR,WA,CEREA,BUSIN,160.54,0,0
49083,2019,BR,WL,CERAM,CONST,158.33,0,0
41651,2019,BR,WA,CEREA,REALE,158.14,0,0
49238,2019,BR,WL,CEREA,RESEA,155.4,0,0
23690,2019,BR,JP,MEAT1,HOTEL,155.38,0,0
39733,2019,BR,US,NONF1,MOTO1,154.7,0,0
52639,2019,BR,WL,PLAST,TRAN2,154.37,0,0
5575,2019,BR,CN,CRUDE,PETRO,152.64,0,0
55719,2019,BR,WM,MEAT1,EDUCA,150.66,0,0
26958,2019,BR,MX,CEREA,FOOD5,150.0,0,0
52620,2019,BR,WL,PLAST,PULP5,148.35,0,0
19556,2019,BR,IE,CEREA,RESEA,148.3,0,0
6134,2019,BR,CN,MEAT1,HOTEL,147.11,0,0
6162,2019,BR,CN,MEATC,HOTEL,143.43,0,0
56854,2019,BR,WM,PREC1,PREC1,142.39,0,0
29028,2019,BR,NL,FOOD5,FOOD5,142.16,0,0
16226,2019,BR,FR,SEACO,SUPPO,142.12,0,0
39707,2019,BR,US,NAPHT,PLAST,140.5,0,0
49528,2019,BR,WL,CRUDE,LIQUE,137.46,0,0
20067,2019,BR,IN,CRUDE,LIQUE,131.81,0,0
52551,2019,BR,WL,PLAST,BITUM,131.45,0,0
52618,2019,BR,WL,PLAST,PROCE,129.72,0,0
19287,2019,BR,ID,MOTO1,MOTO1,128.66,0,0
34623,2019,BR,RU,MEATC,MEATC,127.55,0,0
26879,2019,BR,MX,BASIC,MOTO1,127.55,0,0
52380,2019,BR,WL,PAPER,PRINT,127.33,0,0
55890,2019,BR,WM,MEATC,HOTEL,127.11,0,0
55707,2019,BR,WM,MEAT1,CHEM1,126.98,0,0
16408,2019,BR,FR,TRANS,TRANS,126.9,0,0
5562,2019,BR,CN,CRUDE,KERO1,126.37,0,0
54525,2019,BR,WM,CATTL,CHEM1,126.28,0,0
55912,2019,BR,WM,MEATC,PFERT,125.74,0,0
22388,2019,BR,IT,REALE,CONST,123.45,0,0
36652,2019,BR,TR,BASIC,BASIC,121.77,0,0
9342,2019,BR,DE,MOTO1,MOTO1,120.57,0,0
5294,2019,BR,CN,BASIC,CONST,120.46,0,0
52557,2019,BR,WL,PLAST,CERAM,119.8,0,0
49219,2019,BR,WL,CEREA,PFERT,118.81,0,0
11871,2019,BR,ES,CRUDE,MOTOR,118.68,0,0
55741,2019,BR,WM,MEAT1,HOTEL,118.49,0,0
50432,2019,BR,WL,HEAVY,ELEC6,117.41,0,0
8218,2019,BR,DE,BUSIN,BUSIN,117.08,0,0
54921,2019,BR,WM,CROPS,PFERT,116.88,0,0
58638,2019,BR,ZA,MEAT1,RESEA,113.54,0,0
54075,2019,BR,WL,WOODW,COPP1,112.88,0,0
49746,2019,BR,WL,ELECT,RETA1,111.93,0,0
49388,2019,BR,WL,CROPS,CHEM1,111.34,0,0
38507,2019,BR,US,CRUDE,PLAST,109.96,0,0
43059,2019,BR,WA,MEAT4,CHEM1,109.81,0,0
5493,2019,BR,CN,CROPS,FOOD5,109.46,0,0
57410,2019,BR,WM,SUGA1,PFERT,108.92,0,0
39017,2019,BR,US,GASDI,WOODW,107.06,0,0
7279,2019,BR,CN,WOODW,CONST,106.5,0,0
51679,2019,BR,WL,MOTO1,WHOLE,106.48,0,0
39818,2019,BR,US,NONME,RESEA,104.71,0,0
44009,2019,BR,WA,PLANT,CHARC,104.7,0,0
49736,2019,BR,WL,ELECT,PUBLI,104.41,0,0
49671,2019,BR,WL,ELECT,CRUDE,103.97,0,0
52373,2019,BR,WL,PAPER,PAPER,103.32,0,0
26859,2019,BR,MX,BASIC,FABRI,102.26,0,0
52610,2019,BR,WL,PLAST,PADDY,101.75,0,0
52661,2019,BR,WL,POULT,CHEM1,101.68,0,0
55786,2019,BR,WM,MEAT1,REALE,101.07,0,0
47389,2019,BR,WF,KEROS,AIRTR,100.32,0,0
51552,2019,BR,WL,MOTO1,CONST,100.22,0,0
52326,2019,BR,WL,PAPER,FOOD5,100.17,0,0
37961,2019,BR,US,BASIC,MACHI,98.71,0,0
38216,2019,BR,US,CERAM,CONST,98.25,0,0
51553,2019,BR,WL,MOTO1,COPP1,98.13,0,0
58051,2019,BR,WM,WOODW,CONST,97.98,0,0
41666,2019,BR,WA,CEREA,TOBAC,97.74,0,0
55790,2019,BR,WM,MEAT1,RESEA,97.64,0,0
6164,2019,BR,CN,MEATC,MEATC,96.66,0,0
40200,2019,BR,US,PULP5,WOODW,96.46,0,0
5429,2019,BR,CN,COPP1,ELECT,96.42,0,0
15968,2019,BR,FR,REALE,TRANS,95.38,0,0
10349,2019,BR,DE,TRANS,TRANS,95.36,0,0
41574,2019,BR,WA,CEREA,CERAM,94.27,0,0
24910,2019,BR,KR,BEVER,RETA1,94.18,0,0
20066,2019,BR,IN,CRUDE,KEROS,94.13,0,0
