trade_id,year,region1,region2,industry1,industry2,amount
5464,2019,CA,CA,FINAN,FINAN,23241.02
7338,2019,CA,CA,HEALT,HEALT,20551.29
7342,2019,CA,CA,HEALT,INSUR,20009.76
7325,2019,CA,CA,HEALT,FINAN,19306.77
17315,2019,CA,CA,WHOLE,RETA1,18810.25
2758,2019,CA,CA,CONST,CONST,18154.32
7378,2019,CA,CA,HEALT,PUBLI,17684.84
5549,2019,CA,CA,FINAN,REALE,17185.74
5544,2019,CA,CA,FINAN,PUBLI,16300.58
1495,2019,CA,CA,BUSIN,PUBLI,14427.02
1379,2019,CA,CA,BUSIN,BUSIN,13129.13
5440,2019,CA,CA,FINAN,CONST,12992.46
17200,2019,CA,CA,WHOLE,CONST,11453.32
1500,2019,CA,CA,BUSIN,REALE,9957.51
10031,2019,CA,CA,MOTO1,MOTO1,6956.28
1534,2019,CA,CA,BUSIN,WHOLE,6721.47
10677,2019,CA,CA,NONME,CONST,6698.81
17642,2019,CA,CA,WOODW,CONST,6523.97
12714,2019,CA,CA,POSTT,POSTT,6167.63
1415,2019,CA,CA,BUSIN,FINAN,5730.05
6274,2019,CA,CA,FOOD5,FOOD5,5685.79
5264,2019,CA,CA,FABRI,CONST,5321.41
3245,2019,CA,CA,CRUDE,MOTOR,5308.18
5583,2019,CA,CA,FINAN,WHOLE,5235.99
3291,2019,CA,CA,DAIRY,DAIRY,5208.33
14389,2019,CA,CA,RETA1,HOTEL,5048.00
13680,2019,CA,CA,RAWMI,DAIRY,5027.32
5426,2019,CA,CA,FINAN,BUSIN,5024.84
8634,2019,CA,CA,LANDT,LANDT,4906.79
7707,2019,CA,CA,HYDRO,MOTOR,4832.38
14005,2019,CA,CA,RECRE,RECRE,4591.44
7383,2019,CA,CA,HEALT,RECRE,4398.88
13875,2019,CA,CA,REALE,REALE,4341.38
1582,2019,CA,CA,CATTL,MEATC,4157.97
7635,2019,CA,CA,HOTEL,PUBLI,4002.27
14837,2019,CA,CA,SALEM,MOTO1,3837.53
2859,2019,CA,CA,CONST,PUBLI,3784.23
6561,2019,CA,CA,FORES,FORES,3421.64
8585,2019,CA,CA,LANDT,CONST,3418.12
14347,2019,CA,CA,RETA1,CONST,3387.38
3233,2019,CA,CA,CRUDE,GASDI,3365.06
5555,2019,CA,CA,FINAN,RETA1,3331.86
8160,2019,CA,CA,INSUR,REALE,3331.03
1396,2019,CA,CA,BUSIN,CRUDE,3294.32
1392,2019,CA,CA,BUSIN,COMPU,3262.82
5444,2019,CA,CA,FINAN,CRUDE,3221.96
6660,2019,CA,CA,FORES,WOODW,3169.43
866,2019,CA,CA,BEVER,BEVER,3065.06
7695,2019,CA,CA,HYDRO,GASDI,3063.43
1506,2019,CA,CA,BUSIN,RETA1,2909.15
5285,2019,CA,CA,FABRI,FABRI,2902.78
14156,2019,CA,CA,RENTI,CONST,2872.85
12150,2019,CA,CA,PIGS9,MEATP,2853.81
5695,2019,CA,CA,FISHF,FISH5,2835.73
12719,2019,CA,CA,POSTT,PUBLI,2800.27
13881,2019,CA,CA,REALE,RETA1,2756.89
7596,2019,CA,CA,HOTEL,HEALT,2737.74
8100,2019,CA,CA,INSUR,INSUR,2735.94
13870,2019,CA,CA,REALE,PUBLI,2721.37
1849,2019,CA,CA,CEREA,FOOD5,2606.26
1400,2019,CA,CA,BUSIN,EDUCA,2573.49
737,2019,CA,CA,BASIC,CONST,2567.72
1489,2019,CA,CA,BUSIN,POSTT,2542.04
5558,2019,CA,CA,FINAN,SALEM,2531.91
14324,2019,CA,CA,RETA1,BEVER,2505.33
5491,2019,CA,CA,FINAN,LANDT,2498.78
241,2019,CA,CA,AIRTR,PUBLI,2371.60
1431,2019,CA,CA,BUSIN,HEALT,2332.18
8725,2019,CA,CA,LANDT,WHOLE,2231.47
5439,2019,CA,CA,FINAN,COMPU,2223.88
5448,2019,CA,CA,FINAN,EDUCA,2221.63
13908,2019,CA,CA,REALE,WHOLE,2180.64
14378,2019,CA,CA,RETA1,FOOD5,2061.72
5486,2019,CA,CA,FINAN,INSUR,2061.23
13091,2019,CA,CA,PRINT,PRINT,2022.98
5480,2019,CA,CA,FINAN,HEALT,1986.45
5414,2019,CA,CA,FINAN,AUXIL,1971.05
8589,2019,CA,CA,LANDT,CRUDE,1964.91
5328,2019,CA,CA,FABRI,MOTO1,1952.58
14387,2019,CA,CA,RETA1,HEALT,1928.43
1509,2019,CA,CA,BUSIN,SALEM,1911.63
5320,2019,CA,CA,FABRI,MACHI,1879.50
6625,2019,CA,CA,FORES,PULP5,1876.90
17310,2019,CA,CA,WHOLE,RECRE,1874.98
132,2019,CA,CA,AIRTR,AIRTR,1874.52
13999,2019,CA,CA,RECRE,PUBLI,1859.32
17267,2019,CA,CA,WHOLE,MOTO1,1839.66
5507,2019,CA,CA,FINAN,MOTO1,1830.32
7566,2019,CA,CA,HOTEL,BUSIN,1827.89
585,2019,CA,CA,AUXIL,FINAN,1773.91
14619,2019,CA,CA,RUBBE,CONST,1766.76
12785,2019,CA,CA,POULT,MEAT1,1743.38
8485,2019,CA,CA,KEROS,AIRTR,1737.79
895,2019,CA,CA,BEVER,HOTEL,1713.72
8687,2019,CA,CA,LANDT,PUBLI,1705.14
12642,2019,CA,CA,POSTT,FINAN,1678.05
17240,2019,CA,CA,WHOLE,HEALT,1664.15
5568,2019,CA,CA,FINAN,SUPPO,1660.09
13661,2019,CA,CA,RAILW,WHOLE,1654.45
6323,2019,CA,CA,FOOD5,PIGS9,1651.89
273,2019,CA,CA,AIRTR,WHOLE,1651.72
14352,2019,CA,CA,RETA1,DAIRY,1635.21
13770,2019,CA,CA,REALE,CONST,1626.87
10123,2019,CA,CA,MOTOR,CONST,1588.93
5538,2019,CA,CA,FINAN,POSTT,1572.91
7575,2019,CA,CA,HOTEL,EDUCA,1564.01
1519,2019,CA,CA,BUSIN,SUPPO,1561.40
12606,2019,CA,CA,POSTT,BUSIN,1547.23
11816,2019,CA,CA,PAPER,PAPER,1539.14
10172,2019,CA,CA,MOTOR,LANDT,1538.76
5499,2019,CA,CA,FINAN,MACHI,1531.40
1501,2019,CA,CA,BUSIN,RECRE,1524.87
14451,2019,CA,CA,RETA1,PUBLI,1495.38
5553,2019,CA,CA,FINAN,RENTI,1495.14
1442,2019,CA,CA,BUSIN,LANDT,1488.27
