trade_id,year,region1,region2,industry1,industry2,amount,total_materials_value,materials_count
5464,2019,CA,CA,FINAN,FINAN,23241.02,0,0
7338,2019,CA,CA,HEALT,HEALT,20551.29,0,0
7342,2019,CA,CA,HEALT,INSUR,20009.76,0,0
7325,2019,CA,CA,HEALT,FINAN,19306.77,0,0
17315,2019,CA,CA,WHOLE,RETA1,18810.25,0,0
2758,2019,CA,CA,CONST,CONST,18154.32,0,0
7378,2019,CA,CA,HEALT,PUBLI,17684.84,0,0
5549,2019,CA,CA,FINAN,REALE,17185.74,0,0
5544,2019,CA,CA,FINAN,PUBLI,16300.58,0,0
1495,2019,CA,CA,BUSIN,PUBLI,14427.02,0,0
1379,2019,CA,CA,BUSIN,BUSIN,13129.13,0,0
5440,2019,CA,CA,FINAN,CONST,12992.46,0,0
17200,2019,CA,CA,WHOLE,CONST,11453.32,0,0
1500,2019,CA,CA,BUSIN,REALE,9957.51,0,0
10031,2019,CA,CA,MOTO1,MOTO1,6956.28,0,0
1534,2019,CA,CA,BUSIN,WHOLE,6721.47,0,0
10677,2019,CA,CA,NONME,CONST,6698.81,0,0
17642,2019,CA,CA,WOODW,CONST,6523.97,0,0
12714,2019,CA,CA,POSTT,POSTT,6167.63,0,0
1415,2019,CA,CA,BUSIN,FINAN,5730.05,0,0
6274,2019,CA,CA,FOOD5,FOOD5,5685.79,0,0
5264,2019,CA,CA,FABRI,CONST,5321.41,0,0
3245,2019,CA,CA,CRUDE,MOTOR,5308.18,0,0
5583,2019,CA,CA,FINAN,WHOLE,5235.99,0,0
3291,2019,CA,CA,DAIRY,DAIRY,5208.33,0,0
14389,2019,CA,CA,RETA1,HOTEL,5048.0,0,0
13680,2019,CA,CA,RAWMI,DAIRY,5027.32,0,0
5426,2019,CA,CA,FINAN,BUSIN,5024.84,0,0
8634,2019,CA,CA,LANDT,LANDT,4906.79,0,0
7707,2019,CA,CA,HYDRO,MOTOR,4832.38,0,0
14005,2019,CA,CA,RECRE,RECRE,4591.44,0,0
7383,2019,CA,CA,HEALT,RECRE,4398.88,0,0
13875,2019,CA,CA,REALE,REALE,4341.38,0,0
