trade_id,year,region1,region2,industry1,industry2,amount
50185,2019,CA,US,CRUDE,CRUDE,30288.11
50174,2019,CA,US,CRUDE,CHEM1,16610.51
50239,2019,CA,US,CRUDE,MOTOR,8786.16
50282,2019,CA,US,CRUDE,RUBBE,7843.48
50210,2019,CA,US,CRUDE,GASDI,6371.58
49014,2019,CA,US,ALUM1,ALUM1,5992.44
50164,2019,CA,US,CRUDE,BIOGA,5639.63
55805,2019,CA,US,WOODW,WOODW,5521.97
53850,2019,CA,US,PFERT,PFERT,4830.54
54754,2019,CA,US,RUBBE,MOTO1,4351.88
51871,2019,CA,US,GASDI,WOODW,4114.89
50262,2019,CA,US,CRUDE,PLAST,2553.25
49259,2019,CA,US,BASIC,FABRI,2430.15
49232,2019,CA,US,BASIC,BASIC,2364.17
50085,2019,CA,US,COPP1,ELECT,2362.86
53179,2019,CA,US,MOTOR,PUBLI,1744.80
31864,2019,CA,JP,PRIVA,NATUR,1689.41
50287,2019,CA,US,CRUDE,STEAM,1674.42
52479,2019,CA,US,LEAD1,ELECT,1626.98
50279,2019,CA,US,CRUDE,RESEA,1569.62
52295,2019,CA,US,KEROS,AIRTR,1519.81
49285,2019,CA,US,BASIC,MOTO1,1461.63
53347,2019,CA,US,NATUR,SEWAG,1430.80
52208,2019,CA,US,INSUR,INSUR,1287.08
49656,2019,CA,US,CATTL,MEATC,1284.89
49678,2019,CA,US,CEMEN,CONST,1251.40
53420,2019,CA,US,NONF1,MOTO1,1189.91
50221,2019,CA,US,CRUDE,KEROS,1120.34
50181,2019,CA,US,CRUDE,CONST,1074.04
53468,2019,CA,US,NONME,ELECT,973.32
54780,2019,CA,US,RUBBE,PUBLI,939.47
50209,2019,CA,US,CRUDE,FURNI,934.10
54791,2019,CA,US,RUBBE,RUBBE,921.02
9089,2019,CA,CN,PFERT,VEGET,909.28
51280,2019,CA,US,FABRI,MOTO1,889.34
9820,2019,CA,CN,WHEAT,FOOD5,857.17
9297,2019,CA,CN,PULP5,PAPER,804.13
5880,2019,CA,BR,PFERT,PFERT,796.95
