trade_id,year,region1,region2,industry1,industry2,amount,total_employment_value,employment_count
50185,2019,CA,US,CRUDE,CRUDE,30288.11,0,0
50174,2019,CA,US,CRUDE,CHEM1,16610.51,0,0
50239,2019,CA,US,CRUDE,MOTOR,8786.16,0,0
50282,2019,CA,US,CRUDE,RUBBE,7843.48,0,0
50210,2019,CA,US,CRUDE,GASDI,6371.58,0,0
49014,2019,CA,US,ALUM1,ALUM1,5992.44,0,0
50164,2019,CA,US,CRUDE,BIOGA,5639.63,0,0
55805,2019,CA,US,WOODW,WOODW,5521.97,0,0
53850,2019,CA,US,PFERT,PFERT,4830.54,0,0
54754,2019,CA,US,RUBBE,MOTO1,4351.88,0,0
51871,2019,CA,US,GASDI,WOODW,4114.89,0,0
50262,2019,CA,US,CRUDE,PLAST,2553.25,0,0
49259,2019,CA,US,BASIC,FABRI,2430.15,0,0
49232,2019,CA,US,BASIC,BASIC,2364.17,0,0
50085,2019,CA,US,COPP1,ELECT,2362.86,0,0
53179,2019,CA,US,MOTOR,PUBLI,1744.8,0,0
31864,2019,CA,JP,PRIVA,NATUR,1689.41,0,0
50287,2019,CA,US,CRUDE,STEAM,1674.42,0,0
52479,2019,CA,US,LEAD1,ELECT,1626.98,0,0
50279,2019,CA,US,CRUDE,RESEA,1569.62,0,0
52295,2019,CA,US,KEROS,AIRTR,1519.81,0,0
49285,2019,CA,US,BASIC,MOTO1,1461.63,0,0
53347,2019,CA,US,NATUR,SEWAG,1430.8,0,0
52208,2019,CA,US,INSUR,INSUR,1287.08,0,0
49656,2019,CA,US,CATTL,MEATC,1284.89,0,0
49678,2019,CA,US,CEMEN,CONST,1251.4,0,0
53420,2019,CA,US,NONF1,MOTO1,1189.91,0,0
50221,2019,CA,US,CRUDE,KEROS,1120.34,0,0
50181,2019,CA,US,CRUDE,CONST,1074.04,0,0
53468,2019,CA,US,NONME,ELECT,973.32,0,0
54780,2019,CA,US,RUBBE,PUBLI,939.47,0,0
50209,2019,CA,US,CRUDE,FURNI,934.1,0,0
