trade_id,factor_id,coefficient,impact_value
53239,414,80750441883.2,1086741872623.5299
53240,414,80750441883.2,289875481936.9207
53241,414,80750441883.2,910614298.4747902
53242,414,80750441883.2,176260626898.11935
53243,414,80750441883.2,156535193992.64606
53244,414,80750441883.2,9278744889.273146
53245,414,80750441883.2,3340905931007.005
53246,414,80750441883.2,1446066360967.682
53247,414,80750441883.2,344969832469.71185
53248,414,80750441883.2,5741270964.693252
53249,414,80750441883.2,3561695615334.919
53250,414,80750441883.2,12191427004298.758
53251,414,80750441883.2,1495176722.3693607
53252,414,80750441883.2,462304398434.7844
53253,414,80750441883.2,19891987557502.23
53254,414,80750441883.2,2162385504015.327
53255,414,80750441883.2,10104937619791.97
53256,414,80750441883.2,12593065971.420658
53257,414,80750441883.2,7892756219.049248
53258,414,80750441883.2,36094688510.91893
53259,414,80750441883.2,1430306163833.6829
53260,414,80750441883.2,398753475166.8673
53261,414,80750441883.2,1082485234835.1732
53262,414,80750441883.2,1105469838341.0254
53263,414,80750441883.2,2941050952.3652368
53264,414,80750441883.2,171978559640.07492
53265,414,80750441883.2,1260263706564.1174
53266,414,80750441883.2,1560095248234.076
53267,414,80750441883.2,752397237210.6494
53268,414,80750441883.2,837756611.8657625
53269,414,80750441883.2,34710412749.57578
53270,414,80750441883.2,60692974494673.49
53271,414,80750441883.2,4265850420.1978273
53272,414,80750441883.2,2008962269.8421795
53273,414,80750441883.2,883132509.3178035
53274,414,80750441883.2,713216170507.6547
53275,414,80750441883.2,1487174853020.2188
53276,414,80750441883.2,356432976471.1332
53277,414,80750441883.2,439869013846.95984
53278,414,80750441883.2,1287453871.8068523
53279,414,80750441883.2,2509654375.3503623
53280,414,80750441883.2,190423344411.55298
53281,414,80750441883.2,74556347428.79535
53282,414,80750441883.2,7938657042080.891
53283,414,80750441883.2,27214433436.442123
53284,414,80750441883.2,32555700642.751827
53285,414,80750441883.2,46106042036199.55
53286,414,80750441883.2,1628539508500.2927
53287,414,80750441883.2,11607149357.577297
53288,414,80750441883.2,1052006950.3430163
53289,414,80750441883.2,1553812946640.9163
53290,414,80750441883.2,14025443226479.932
53291,414,80750441883.2,2895528506.93598
53292,414,80750441883.2,1317702195973.8938
53293,414,80750441883.2,117197327732.14146
53294,414,80750441883.2,401476901946.77716
53295,414,80750441883.2,38553284185.045425
53296,414,80750441883.2,3397642861.942383
53297,414,80750441883.2,6500643372.997812
53298,414,80750441883.2,2103212650.0739977
53299,414,80750441883.2,509907245734.2854
53300,414,80750441883.2,104847979978.87155
53301,414,80750441883.2,1035787136.0996969
53302,414,80750441883.2,26380314957.996956
53303,414,80750441883.2,24354385975.606274
53304,414,80750441883.2,706510144534.3644
53305,414,80750441883.2,385957844204.03546
53306,414,80750441883.2,27002958832.99389
53307,414,80750441883.2,262548974827.49716
53308,414,80750441883.2,419844122291.5166
53309,414,80750441883.2,24948669687.847504
53310,414,80750441883.2,9468685448252.11
53311,414,80750441883.2,257586790710.6294
53312,414,80750441883.2,18846505859.7806
53313,414,80750441883.2,8947853334.892792
53314,414,80750441883.2,28879742939.326317
53315,414,80750441883.2,121453120752.17284
53316,414,80750441883.2,505812777780.8909
53317,414,80750441883.2,23039948648.754295
53318,414,80750441883.2,3231609606.0527506
53319,414,80750441883.2,35995703424.79797
53320,414,80750441883.2,62598125994.96369
53321,414,80750441883.2,91108858350.62015
53322,414,80750441883.2,629153554958.5919
53323,414,80750441883.2,2099929026.0563247
53324,414,80750441883.2,19779818583091.54
53325,414,80750441883.2,4691910253.771633
53326,414,80750441883.2,36536800143.124664
53327,414,80750441883.2,69638043987.23326
53328,414,80750441883.2,21540973416780.8
53329,414,80750441883.2,7348036139028.738
53330,414,80750441883.2,1416678447.8834639
53331,414,80750441883.2,50046089577.912285
53332,414,80750441883.2,1665067647970.5383
53333,414,80750441883.2,8819520306155.037
53334,414,80750441883.2,60922843482.802864
53335,414,80750441883.2,305768655430.3816
53336,414,80750441883.2,133154023899.0541
53337,414,80750441883.2,3013301643337.134
