trade_id,year,region1,region2,industry1,industry2,amount
11521,2019,CN,CN,OFFIC,OFFIC,715540.22
17732,2019,CN,CN,VEGET,VEGET,325904.54
9619,2019,CN,CN,MACHI,MACHI,305993.93
16902,2019,CN,CN,TEXTI,TEXTI,302661.73
823,2019,CN,CN,BASIC,BASIC,302352.75
10356,2019,CN,CN,MOTO1,MOTO1,275638.32
13099,2019,CN,CN,PLAST,RUBBE,264539.37
1982,2019,CN,CN,CERAM,CONST,228336.74
863,2019,CN,CN,BASIC,FABRI,214716.04
1418,2019,CN,CN,BITUM,ELEC1,198367.87
1648,2019,CN,CN,BUSIN,BUSIN,196887.14
18507,2019,CN,CN,WOODW,CONST,195983.71
889,2019,CN,CN,BASIC,MACHI,189119.42
862,2019,CN,CN,BASIC,ELECT,177046.77
9568,2019,CN,CN,MACHI,CONST,176585.73
16911,2019,CN,CN,TEXTI,WEARI,176355.25
1661,2019,CN,CN,BUSIN,CONST,170542.48
6596,2019,CN,CN,FOOD5,FOOD5,165451.50
18307,2019,CN,CN,WHOLE,WHOLE,161493.38
15432,2019,CN,CN,RUBBE,CONST,153091.61
18179,2019,CN,CN,WHOLE,CONST,142330.75
5563,2019,CN,CN,ELECT,CONST,126258.33
15532,2019,CN,CN,RUBBE,RUBBE,123324.82
1880,2019,CN,CN,CEMEN,CONST,121521.98
7093,2019,CN,CN,FURNI,FURNI,117999.16
6177,2019,CN,CN,FISHF,FISH5,117904.55
2261,2019,CN,CN,CHEM1,CHEM1,114470.69
5871,2019,CN,CN,FINAN,CONST,113652.03
17673,2019,CN,CN,VEGET,FOOD5,110592.33
12849,2019,CN,CN,PLANT,WOODW,108192.90
11203,2019,CN,CN,NONME,CONST,104178.06
896,2019,CN,CN,BASIC,MOTO1,102395.02
7465,2019,CN,CN,GLASS,CONST,99288.28
3645,2019,CN,CN,CRUDE,MOTOR,99277.48
10499,2019,CN,CN,MOTOR,LANDT,99023.23
5973,2019,CN,CN,FINAN,REALE,95526.94
12670,2019,CN,CN,PFERT,VEGET,93339.06
3938,2019,CN,CN,DISTR,DISTR,85784.87
5765,2019,CN,CN,FABRI,MACHI,85094.62
5582,2019,CN,CN,ELECT,ELECT,81863.63
11899,2019,CN,CN,PADDY,PADDY,77999.72
15922,2019,CN,CN,SEACO,SEACO,77660.96
7493,2019,CN,CN,GLASS,GLASS,77123.12
8919,2019,CN,CN,LANDT,CONST,74766.44
18295,2019,CN,CN,WHOLE,TEXTI,73988.20
5894,2019,CN,CN,FINAN,FINAN,72535.43
9627,2019,CN,CN,MACHI,MOTO1,71775.66
17477,2019,CN,CN,TRANS,TRANS,70915.71
2075,2019,CN,CN,CEREA,FOOD5,70799.05
1391,2019,CN,CN,BITUM,BITUM,70644.04
5858,2019,CN,CN,FINAN,BUSIN,69936.10
7844,2019,CN,CN,HOTEL,BUSIN,68905.48
5738,2019,CN,CN,FABRI,FABRI,68772.56
3633,2019,CN,CN,CRUDE,GASDI,68359.97
9588,2019,CN,CN,MACHI,ELECT,68205.79
12742,2019,CN,CN,PIGS9,MEATP,67797.08
9035,2019,CN,CN,LANDT,TEXTI,67623.80
6603,2019,CN,CN,FOOD5,HOTEL,66765.12
18534,2019,CN,CN,WOODW,FURNI,65428.41
3167,2019,CN,CN,CONST,CONST,64645.85
18052,2019,CN,CN,WHEAT,FOOD5,64116.22
18252,2019,CN,CN,WHOLE,OFFIC,57857.53
18158,2019,CN,CN,WHOLE,BASIC,56863.60
7061,2019,CN,CN,FURNI,CONST,56666.00
385,2019,CN,CN,ALUM1,MACHI,52405.90
9272,2019,CN,CN,LEATH,LEATH,51661.12
15488,2019,CN,CN,RUBBE,MOTO1,49698.41
11871,2019,CN,CN,PADDY,FOOD5,49567.62
330,2019,CN,CN,ALUM1,ALUM1,49062.03
17704,2019,CN,CN,VEGET,PLAST,48048.51
18167,2019,CN,CN,WHOLE,BUSIN,47963.13
6845,2019,CN,CN,FORES,PAPER,46835.19
5696,2019,CN,CN,FABRI,BASIC,45733.96
1756,2019,CN,CN,BUSIN,PUBLI,45528.08
15233,2019,CN,CN,RETA1,TEXTI,45350.26
5612,2019,CN,CN,ELECT,MACHI,44448.57
1791,2019,CN,CN,BUSIN,WHOLE,43918.58
2267,2019,CN,CN,CHEM1,CONST,43910.55
13226,2019,CN,CN,POSTT,POSTT,43254.80
3637,2019,CN,CN,CRUDE,KEROS,42749.64
6887,2019,CN,CN,FORES,WOODW,42338.78
9546,2019,CN,CN,MACHI,BASIC,41382.93
3322,2019,CN,CN,COPP1,COPP1,40709.43
18010,2019,CN,CN,WEARI,WEARI,40401.34
11731,2019,CN,CN,OILSE,OILSE,39717.32
2243,2019,CN,CN,CHEM1,ALUM1,39602.53
5773,2019,CN,CN,FABRI,MOTO1,39541.89
7221,2019,CN,CN,GASDI,CONST,39518.66
5968,2019,CN,CN,FINAN,PUBLI,38854.11
907,2019,CN,CN,BASIC,OFFIC,38836.96
18233,2019,CN,CN,WHOLE,MACHI,38441.12
5849,2019,CN,CN,FINAN,BASIC,38426.02
18577,2019,CN,CN,WOODW,PAPER,38367.21
8875,2019,CN,CN,KEROS,SUPPO,38040.51
6178,2019,CN,CN,FISHF,FISHF,37650.51
7622,2019,CN,CN,HEALT,HEALT,37261.42
9572,2019,CN,CN,MACHI,CRUDE,37231.15
12285,2019,CN,CN,PAPER,PAPER,36777.22
2066,2019,CN,CN,CEREA,CEREA,36313.01
14093,2019,CN,CN,RADIO,RADIO,35851.44
7894,2019,CN,CN,HOTEL,HEALT,35488.60
15480,2019,CN,CN,RUBBE,MACHI,35324.02
3321,2019,CN,CN,COPP1,CONST,35100.26
18624,2019,CN,CN,WOODW,WOODW,34823.89
6917,2019,CN,CN,FOUND,CONST,34657.03
12297,2019,CN,CN,PAPER,PRINT,33913.42
4359,2019,CN,CN,ELEC1,CHEM1,33799.12
947,2019,CN,CN,BASIC,TRANS,33616.96
8855,2019,CN,CN,KEROS,PUBLI,33152.80
5620,2019,CN,CN,ELECT,MOTO1,32956.46
1396,2019,CN,CN,BITUM,CEMEN,32635.90
15117,2019,CN,CN,RETA1,CONST,32090.01
7097,2019,CN,CN,FURNI,HEALT,31972.01
9101,2019,CN,CN,LEAD1,LEAD1,31883.17
12332,2019,CN,CN,PAPER,WOODW,31499.06
5855,2019,CN,CN,FINAN,BITUM,31431.68
15452,2019,CN,CN,RUBBE,ELECT,31167.54
13127,2019,CN,CN,POSTT,BUSIN,31054.59
9589,2019,CN,CN,MACHI,FABRI,31023.26
5737,2019,CN,CN,FABRI,ELECT,30981.08
18284,2019,CN,CN,WHOLE,RETA1,30731.47
13574,2019,CN,CN,PRINT,PRINT,30664.97
