trade_id,year,region1,region2,industry1,industry2,amount,total_employment_value,employment_count,unique_employment_factors,economic/employment,employment_People,employment_Hours,employment_intensity
11521,2019,CN,CN,OFFIC,OFFIC,715540.22,27853151225.5,12.0,12.0,27853151225.5,127983497.028,27725167728.472,38926.04559
823,2019,CN,CN,BASIC,BASIC,302352.75,13741733558.219,12.0,12.0,13741733558.219,55629108.701,13686104449.518,45449.342062
16902,2019,CN,CN,TEXTI,TEXTI,302661.73,10649395564.914,12.0,12.0,10649395564.914,45391318.099,10604004246.815,35185.801538
17732,2019,CN,CN,VEGET,VEGET,325904.54,9723264369.906,12.0,12.0,9723264369.906,36661115.214,9686603254.692,29834.700584
9619,2019,CN,CN,MACHI,MACHI,305993.93,9632411058.779,12.0,12.0,9632411058.779,36078505.681,9596332553.098,31479.091951
1982,2019,CN,CN,CERAM,CONST,228336.74,8166720416.638,12.0,12.0,8166720416.638,35738756.045,8130981660.593,35766.125139
10356,2019,CN,CN,MOTO1,MOTO1,275638.32,7998666507.02,12.0,12.0,7998666507.02,47766763.835,7950899743.185,29018.702868
863,2019,CN,CN,BASIC,FABRI,214716.04,7826935775.765,12.0,12.0,7826935775.765,40157249.931,7786778525.835,36452.496869
16911,2019,CN,CN,TEXTI,WEARI,176355.25,7585852316.57,12.0,12.0,7585852316.57,28730079.423,7557122237.147,43014.610093
13099,2019,CN,CN,PLAST,RUBBE,264539.37,7409911376.597,12.0,12.0,7409911376.597,52692045.112,7357219331.485,28010.61852
18507,2019,CN,CN,WOODW,CONST,195983.71,7250740592.928,12.0,12.0,7250740592.928,34052271.223,7216688321.705,36996.649328
862,2019,CN,CN,BASIC,ELECT,177046.77,6694952763.975,12.0,12.0,6694952763.975,30588233.88,6664364530.095,37814.59986
889,2019,CN,CN,BASIC,MACHI,189119.42,5681201830.808,12.0,12.0,5681201830.808,27287273.195,5653914557.614,30040.287935
18307,2019,CN,CN,WHOLE,WHOLE,161493.38,5541468401.615,12.0,12.0,5541468401.615,33188605.223,5508279796.392,34313.904394
6596,2019,CN,CN,FOOD5,FOOD5,165451.5,5521132637.604,12.0,12.0,5521132637.604,32547444.776,5488585192.829,33370.097204
1418,2019,CN,CN,BITUM,ELEC1,198367.87,5514304508.462,12.0,12.0,5514304508.462,26903248.71,5487401259.752,27798.375354
9568,2019,CN,CN,MACHI,CONST,176585.73,5251229627.555,12.0,12.0,5251229627.555,36013885.589,5215215741.966,29737.56502
1661,2019,CN,CN,BUSIN,CONST,170542.48,5216028206.515,12.0,12.0,5216028206.515,18648629.604,5197379576.911,30584.920581
1648,2019,CN,CN,BUSIN,BUSIN,196887.14,4847052220.714,12.0,12.0,4847052220.714,32303233.444,4814748987.27,24618.429729
15432,2019,CN,CN,RUBBE,CONST,153091.61,4537366982.517,12.0,12.0,4537366982.517,17182151.531,4520184830.986,29638.247207
5563,2019,CN,CN,ELECT,CONST,126258.33,4471096161.084,12.0,12.0,4471096161.084,23999069.633,4447097091.451,35412.286548
896,2019,CN,CN,BASIC,MOTO1,102395.02,4366844933.251,12.0,12.0,4366844933.251,15789418.971,4351055514.28,42647.044097
18179,2019,CN,CN,WHOLE,CONST,142330.75,4323785653.146,12.0,12.0,4323785653.146,17660737.038,4306124916.108,30378.436516
15532,2019,CN,CN,RUBBE,RUBBE,123324.82,4027648673.048,12.0,12.0,4027648673.048,17913616.303,4009735056.745,32658.865207
7465,2019,CN,CN,GLASS,CONST,99288.28,3869776050.473,12.0,12.0,3869776050.473,20263259.946,3849512790.527,38975.154474
3645,2019,CN,CN,CRUDE,MOTOR,99277.48,3800374842.047,12.0,12.0,3800374842.047,11611703.047,3788763138.999,38280.331471
7093,2019,CN,CN,FURNI,FURNI,117999.16,3775332831.627,12.0,12.0,3775332831.627,25792154.467,3749540677.161,31994.573789
6177,2019,CN,CN,FISHF,FISH5,117904.55,3759095056.288,12.0,12.0,3759095056.288,14782652.437,3744312403.851,31882.527488
1880,2019,CN,CN,CEMEN,CONST,121521.98,3677036208.446,12.0,12.0,3677036208.446,20062984.706,3656973223.74,30258.198627
5871,2019,CN,CN,FINAN,CONST,113652.03,3451591797.783,12.0,12.0,3451591797.783,19984806.664,3431606991.119,30369.820915
17673,2019,CN,CN,VEGET,FOOD5,110592.33,3367488847.11,12.0,12.0,3367488847.11,16649088.929,3350839758.181,30449.569578
5973,2019,CN,CN,FINAN,REALE,95526.94,3264077889.027,12.0,12.0,3264077889.027,13032552.277,3251045336.751,34169.187132
10499,2019,CN,CN,MOTOR,LANDT,99023.23,3243663404.766,12.0,12.0,3243663404.766,13720193.149,3229943211.617,32756.590598
3938,2019,CN,CN,DISTR,DISTR,85784.87,3098700357.83,12.0,12.0,3098700357.83,12920174.5,3085780183.331,36121.758509
9627,2019,CN,CN,MACHI,MOTO1,71775.66,2950763173.423,12.0,12.0,2950763173.423,15956952.092,2934806221.331,41110.916617
2261,2019,CN,CN,CHEM1,CHEM1,114470.69,2892505249.932,12.0,12.0,2892505249.932,19516241.565,2872989008.368,25268.522885
12670,2019,CN,CN,PFERT,VEGET,93339.06,2808435038.383,12.0,12.0,2808435038.383,8927365.962,2799507672.421,30088.529265
5582,2019,CN,CN,ELECT,ELECT,81863.63,2761441024.235,12.0,12.0,2761441024.235,12980544.776,2748460479.459,33732.20836
5765,2019,CN,CN,FABRI,MACHI,85094.62,2702539028.242,12.0,12.0,2702539028.242,13135291.142,2689403737.1,31759.223183
8919,2019,CN,CN,LANDT,CONST,74766.44,2663725654.247,12.0,12.0,2663725654.247,13860644.544,2649865009.702,35627.290189
11899,2019,CN,CN,PADDY,PADDY,77999.72,2603158286.298,12.0,12.0,2603158286.298,14007369.503,2589150916.796,33373.943987
11203,2019,CN,CN,NONME,CONST,104178.06,2599569570.422,12.0,12.0,2599569570.422,20382073.874,2579187496.548,24953.138602
18295,2019,CN,CN,WHOLE,TEXTI,73988.2,2587661095.747,12.0,12.0,2587661095.747,8087387.633,2579573708.114,34973.970116
5738,2019,CN,CN,FABRI,FABRI,68772.56,2562756869.571,12.0,12.0,2562756869.571,12123842.457,2550633027.114,37264.235468
6603,2019,CN,CN,FOOD5,HOTEL,66765.12,2520621066.303,12.0,12.0,2520621066.303,9771864.101,2510849202.202,37753.561535
1391,2019,CN,CN,BITUM,BITUM,70644.04,2506273695.86,12.0,12.0,2506273695.86,12822161.758,2493451534.102,35477.496698
17477,2019,CN,CN,TRANS,TRANS,70915.71,2474985441.378,12.0,12.0,2474985441.378,10407334.313,2464578107.065,34900.383023
5858,2019,CN,CN,FINAN,BUSIN,69936.1,2468864354.797,12.0,12.0,2468864354.797,14140622.754,2454723732.043,35301.716207
3167,2019,CN,CN,CONST,CONST,64645.85,2463041342.566,12.0,12.0,2463041342.566,8809912.392,2454231430.175,38100.533021
3633,2019,CN,CN,CRUDE,GASDI,68359.97,2374842898.648,12.0,12.0,2374842898.648,9730382.963,2365112515.686,34740.256595
7493,2019,CN,CN,GLASS,GLASS,77123.12,2234798460.024,12.0,12.0,2234798460.024,7921798.885,2226876661.139,28977.023492
12849,2019,CN,CN,PLANT,WOODW,108192.9,2230525342.708,12.0,12.0,2230525342.708,23774738.681,2206750604.027,20616.189627
9588,2019,CN,CN,MACHI,ELECT,68205.79,2152328882.135,12.0,12.0,2152328882.135,12860084.951,2139468797.184,31556.395463
2267,2019,CN,CN,CHEM1,CONST,43910.55,2101280449.733,12.0,12.0,2101280449.733,7477843.664,2093802606.069,47853.658169
7844,2019,CN,CN,HOTEL,BUSIN,68905.48,2073566766.806,12.0,12.0,2073566766.806,9108191.525,2064458575.281,30092.915205
9035,2019,CN,CN,LANDT,TEXTI,67623.8,2066327528.387,12.0,12.0,2066327528.387,12374531.354,2053952997.034,30556.217314
15922,2019,CN,CN,SEACO,SEACO,77660.96,2063894656.143,12.0,12.0,2063894656.143,17845410.986,2046049245.156,26575.703624
17704,2019,CN,CN,VEGET,PLAST,48048.51,1988815772.741,12.0,12.0,1988815772.741,9488375.461,1979327397.28,41391.830314
5894,2019,CN,CN,FINAN,FINAN,72535.43,1948405020.746,12.0,12.0,1948405020.746,9249295.065,1939155725.681,26861.42511
7061,2019,CN,CN,FURNI,CONST,56666.0,1905851384.774,12.0,12.0,1905851384.774,6423495.257,1899427889.517,33633.067179
15488,2019,CN,CN,RUBBE,MOTO1,49698.41,1835165815.76,12.0,12.0,1835165815.76,8743311.619,1826422504.142,36926.046845
18158,2019,CN,CN,WHOLE,BASIC,56863.6,1768251900.9,12.0,12.0,1768251900.9,10139192.37,1758112708.53,31096.376257
11871,2019,CN,CN,PADDY,FOOD5,49567.62,1768049223.907,12.0,12.0,1768049223.907,10236492.122,1757812731.785,35669.439523
1756,2019,CN,CN,BUSIN,PUBLI,45528.08,1712408449.249,12.0,12.0,1712408449.249,5363290.372,1707045158.877,37612.13847
18167,2019,CN,CN,WHOLE,BUSIN,47963.13,1697904009.777,12.0,12.0,1697904009.777,8163020.415,1689740989.362,35400.191976
18534,2019,CN,CN,WOODW,FURNI,65428.41,1673049675.556,12.0,12.0,1673049675.556,7968180.379,1665081495.177,25570.691318
2075,2019,CN,CN,CEREA,FOOD5,70799.05,1668025849.754,12.0,12.0,1668025849.754,13345450.442,1654680399.312,23560.003273
18052,2019,CN,CN,WHEAT,FOOD5,64116.22,1631885645.669,12.0,12.0,1631885645.669,14256026.615,1617629619.055,25451.993983
3322,2019,CN,CN,COPP1,COPP1,40709.43,1627876408.969,12.0,12.0,1627876408.969,6673920.095,1621202488.874,39987.698402
3637,2019,CN,CN,CRUDE,KEROS,42749.64,1602653131.432,12.0,12.0,1602653131.432,8852226.774,1593800904.658,37489.277838
385,2019,CN,CN,ALUM1,MACHI,52405.9,1574825686.102,12.0,12.0,1574825686.102,7857771.714,1566967914.389,30050.541754
9272,2019,CN,CN,LEATH,LEATH,51661.12,1546867756.235,12.0,12.0,1546867756.235,7267523.95,1539600232.285,29942.590409
5849,2019,CN,CN,FINAN,BASIC,38426.02,1543118337.791,12.0,12.0,1543118337.791,6194719.493,1536923618.297,40158.162042
15233,2019,CN,CN,RETA1,TEXTI,45350.26,1532969802.217,12.0,12.0,1532969802.217,6426600.608,1526543201.61,33802.888941
9546,2019,CN,CN,MACHI,BASIC,41382.93,1518353144.449,12.0,12.0,1518353144.449,8068849.514,1510284294.936,36690.324838
5696,2019,CN,CN,FABRI,BASIC,45733.96,1495121959.748,12.0,12.0,1495121959.748,5282076.659,1489839883.089,32691.723169
12742,2019,CN,CN,PIGS9,MEATP,67797.08,1476325035.538,12.0,12.0,1476325035.538,15132252.891,1461192782.647,21775.643369
7894,2019,CN,CN,HOTEL,HEALT,35488.6,1469047848.558,12.0,12.0,1469047848.558,5784148.614,1463263699.944,41394.922554
5612,2019,CN,CN,ELECT,MACHI,44448.57,1463514218.968,12.0,12.0,1463514218.968,8943449.774,1454570769.193,32926.01357
12285,2019,CN,CN,PAPER,PAPER,36777.22,1446676539.766,12.0,12.0,1446676539.766,5440566.839,1441235972.927,39336.212464
12332,2019,CN,CN,PAPER,WOODW,31499.06,1439358252.387,12.0,12.0,1439358252.387,4994150.633,1434364101.755,45695.276379
13127,2019,CN,CN,POSTT,BUSIN,31054.59,1404393172.501,12.0,12.0,1404393172.501,5037845.556,1399355326.945,45223.368671
