trade_id,year,region1,region2,industry1,industry2,amount
1696,2019,DE,DE,BUSIN,BUSIN,100960.26
17161,2019,DE,DE,SUPPO,WHOLE,51365.99
3184,2019,DE,DE,CONST,REALE,43126.76
2918,2019,DE,DE,COMPU,COMPU,41666.84
1804,2019,DE,DE,BUSIN,PUBLI,27819.82
3083,2019,DE,DE,CONST,CONST,27662.52
18665,2019,DE,DE,WHOLE,CONST,24304.30
5885,2019,DE,DE,FINAN,REALE,23535.10
644,2019,DE,DE,AUXIL,INSUR,23190.32
1809,2019,DE,DE,BUSIN,REALE,22751.23
17146,2019,DE,DE,SUPPO,SUPPO,22673.84
9930,2019,DE,DE,MACHI,MACHI,21904.32
14805,2019,DE,DE,REALE,CONST,20411.64
15955,2019,DE,DE,SALEM,MOTO1,19570.62
14793,2019,DE,DE,REALE,BUSIN,19235.13
13548,2019,DE,DE,POSTT,RETA1,19120.03
5805,2019,DE,DE,FINAN,FINAN,18898.15
13531,2019,DE,DE,POSTT,POSTT,18868.28
5641,2019,DE,DE,FABRI,FABRI,18003.88
3179,2019,DE,DE,CONST,PUBLI,17880.92
1729,2019,DE,DE,BUSIN,FINAN,17836.00
1762,2019,DE,DE,BUSIN,MACHI,17643.07
11646,2019,DE,DE,OFFIC,OFFIC,17378.55
14906,2019,DE,DE,REALE,REALE,16387.06
1770,2019,DE,DE,BUSIN,MOTO1,15993.92
15058,2019,DE,DE,RECRE,RECRE,15862.29
14912,2019,DE,DE,REALE,RETA1,15344.54
3957,2019,DE,DE,EDUCA,EDUCA,14300.01
1815,2019,DE,DE,BUSIN,RETA1,13926.65
7837,2019,DE,DE,HEALT,HEALT,13717.67
15243,2019,DE,DE,RENTI,CONST,13431.69
18700,2019,DE,DE,WHOLE,HEALT,13219.72
9099,2019,DE,DE,LANDT,WHOLE,13157.71
15449,2019,DE,DE,RETA1,HEALT,13021.35
1842,2019,DE,DE,BUSIN,WHOLE,12908.53
17074,2019,DE,DE,SUPPO,LANDT,12826.17
14901,2019,DE,DE,REALE,PUBLI,12649.37
18718,2019,DE,DE,WHOLE,MACHI,12550.29
17117,2019,DE,DE,SUPPO,POSTT,11890.52
3791,2019,DE,DE,DISTR,DISTR,11738.26
15346,2019,DE,DE,RENTI,RENTI,11316.75
5674,2019,DE,DE,FABRI,MACHI,11145.99
1915,2019,DE,DE,CEMEN,CONST,11021.30
1708,2019,DE,DE,BUSIN,CONST,10923.96
15052,2019,DE,DE,RECRE,PUBLI,10737.49
1744,2019,DE,DE,BUSIN,HEALT,10729.03
3012,2019,DE,DE,COMPU,PUBLI,10667.85
5682,2019,DE,DE,FABRI,MOTO1,10340.31
2907,2019,DE,DE,COMPU,BUSIN,9963.21
5623,2019,DE,DE,FABRI,CONST,9935.76
13433,2019,DE,DE,POSTT,BUSIN,9885.86
18726,2019,DE,DE,WHOLE,MOTO1,9411.47
1736,2019,DE,DE,BUSIN,FOOD5,9187.38
14727,2019,DE,DE,RAWMI,DAIRY,8642.07
6730,2019,DE,DE,FOOD5,FOOD5,8555.65
13537,2019,DE,DE,POSTT,PUBLI,8502.48
1749,2019,DE,DE,BUSIN,INSUR,8442.73
629,2019,DE,DE,AUXIL,FINAN,8265.20
13575,2019,DE,DE,POSTT,WHOLE,8131.15
9084,2019,DE,DE,LANDT,SUPPO,8093.25
18737,2019,DE,DE,WHOLE,OFFIC,8081.47
17090,2019,DE,DE,SUPPO,MOTO1,7698.89
14213,2019,DE,DE,PUBLI,PUBLI,7602.53
18760,2019,DE,DE,WHOLE,PUBLI,7306.89
1707,2019,DE,DE,BUSIN,COMPU,6983.38
3022,2019,DE,DE,COMPU,RESEA,6864.99
14350,2019,DE,DE,PULP5,PAPER,6800.88
18702,2019,DE,DE,WHOLE,HOTEL,6620.18
17134,2019,DE,DE,SUPPO,RETA1,6619.01
3071,2019,DE,DE,CONST,BUSIN,6596.34
14843,2019,DE,DE,REALE,HOTEL,6571.33
13773,2019,DE,DE,PRINT,BUSIN,6536.76
3009,2019,DE,DE,COMPU,PRINT,6491.67
13390,2019,DE,DE,PLAST,RUBBE,6480.25
4036,2019,DE,DE,EDUCA,PUBLI,6478.74
17082,2019,DE,DE,SUPPO,MACHI,6282.46
18018,2019,DE,DE,TRANS,TRANS,6282.04
8534,2019,DE,DE,INSUR,INSUR,6233.52
1817,2019,DE,DE,BUSIN,RUBBE,6141.54
13876,2019,DE,DE,PRINT,PUBLI,6120.43
14826,2019,DE,DE,REALE,FINAN,6087.14
16052,2019,DE,DE,SANDC,CONST,6066.99
14841,2019,DE,DE,REALE,HEALT,6024.96
18798,2019,DE,DE,WHOLE,WHOLE,6016.56
19145,2019,DE,DE,WOODW,CONST,6009.46
7174,2019,DE,DE,FOUND,MOTO1,5998.24
5743,2019,DE,DE,FABRI,TRANS,5730.07
15839,2019,DE,DE,RUBBE,RUBBE,5668.49
1728,2019,DE,DE,BUSIN,FABRI,5624.73
17126,2019,DE,DE,SUPPO,RAILW,5580.01
1,2019,DE,DE,93197,93197,5530.70
2939,2019,DE,DE,COMPU,FINAN,5509.43
15735,2019,DE,DE,RUBBE,CONST,5458.75
14107,2019,DE,DE,PUBLI,BUSIN,5408.84
18161,2019,DE,DE,VEGET,FOOD5,5372.93
18684,2019,DE,DE,WHOLE,FABRI,5363.59
8975,2019,DE,DE,LANDT,EDUCA,5337.30
769,2019,DE,DE,BASIC,FABRI,5292.09
18659,2019,DE,DE,WHOLE,CHEM1,5225.08
15451,2019,DE,DE,RETA1,HOTEL,5211.65
1685,2019,DE,DE,BUSIN,AUXIL,5207.44
13497,2019,DE,DE,POSTT,MACHI,5142.17
17056,2019,DE,DE,SUPPO,FOOD5,5133.99
3119,2019,DE,DE,CONST,HEALT,5133.28
1810,2019,DE,DE,BUSIN,RECRE,5035.11
