trade_id,factor_id,coefficient,impact_value
4186,414,126594576990.0,6097141141988.727
4187,414,126594576990.0,876306577742.1755
4188,414,126594576990.0,57718745824.22121
4189,414,126594576990.0,121962550759988.84
4190,414,126594576990.0,137585652.30008772
4191,414,126594576990.0,29694949421.59144
4192,414,126594576990.0,385953572391.6944
4193,414,126594576990.0,1383322189.6230702
4194,414,126594576990.0,14286287135523.916
4195,414,126594576990.0,5412554321491.289
4196,414,126594576990.0,2771381743487.9653
4197,414,126594576990.0,25422479792.82572
4198,414,126594576990.0,434550322448.5533
4199,414,126594576990.0,156818164888.68204
4200,414,126594576990.0,3607300190529.39
4201,414,126594576990.0,7980126282.676724
4202,414,126594576990.0,736045074735.8174
4203,414,126594576990.0,16329216614774.182
4204,414,126594576990.0,1732326290630.009
4205,414,126594576990.0,12380268255477.965
4206,414,126594576990.0,1734561959227.5542
4207,414,126594576990.0,186206984253.90875
4208,414,126594576990.0,16368971583.376665
4209,414,126594576990.0,21711863944052.79
4210,414,126594576990.0,92111679690.54604
4211,414,126594576990.0,379017482.79194796
4212,414,126594576990.0,14113509898.400423
4213,414,126594576990.0,3183586101740.6523
4214,414,126594576990.0,4200007227524.0815
4215,414,126594576990.0,13764681167962.168
4216,414,126594576990.0,1328743322124.711
4217,414,126594576990.0,249978540.8639849
4218,414,126594576990.0,54683024329.34704
4219,414,126594576990.0,30992861200.87437
4220,414,126594576990.0,13592143955422.592
4221,414,126594576990.0,642976754379.5552
4222,414,126594576990.0,54451204062720.82
4223,414,126594576990.0,8032146880009.341
4224,414,126594576990.0,15701623596.395718
4225,414,126594576990.0,341395329869.65857
4226,414,126594576990.0,233608484574.72406
4227,414,126594576990.0,3786598594.9611573
4228,414,126594576990.0,242466260243.6787
4229,414,126594576990.0,3447916967.6180654
4230,414,126594576990.0,25495441970.632694
4231,414,126594576990.0,114315656979.77304
4232,414,126594576990.0,53518688754.42462
4233,414,126594576990.0,2091875746396.4602
4234,414,126594576990.0,28705453125889.547
4235,414,126594576990.0,4154126399194.193
4236,414,126594576990.0,595310738470.2334
4237,414,126594576990.0,28974232442.53613
4238,414,126594576990.0,36822589975.97604
4239,414,126594576990.0,213989240125.72708
4240,414,126594576990.0,321233125443.6471
4241,414,126594576990.0,26839044493.90564
4242,414,126594576990.0,15491276140383.87
4243,414,126594576990.0,91688875444.1094
4244,414,126594576990.0,48566664245.83116
4245,414,126594576990.0,618158874598.3273
4246,414,126594576990.0,7099101089861.018
4247,414,126594576990.0,8792897818872.05
4248,414,126594576990.0,22424690869.1306
4249,414,126594576990.0,4460477181381.885
4250,414,126594576990.0,22840749742794.137
4251,414,126594576990.0,1369829806778.5586
4252,414,126594576990.0,15384290420269.17
4253,414,126594576990.0,97825922909.78432
4254,414,126594576990.0,6264640089.573327
4255,414,126594576990.0,1175125167742.2664
4256,414,126594576990.0,287132249171.12134
4257,414,126594576990.0,390097713.2810743
4258,414,126594576990.0,332538598.047682
4259,414,126594576990.0,609703618876.7333
4260,414,126594576990.0,18079586974540.746
4261,414,126594576990.0,125122108399.57088
4262,414,126594576990.0,8442665781.635893
4263,414,126594576990.0,281825315519.1064
4264,414,126594576990.0,1339021717025.3472
4265,414,126594576990.0,449723918608.2329
4266,414,126594576990.0,95966847068.27335
4267,414,126594576990.0,63754789933.8722
4268,414,126594576990.0,24848671589829.74
4269,414,126594576990.0,78394048512.29384
4270,414,126594576990.0,237622001593.1413
4271,414,126594576990.0,483016566752.2537
4272,414,126594576990.0,287279503071.59515
4273,414,126594576990.0,659475301261.6472
4274,414,126594576990.0,691828904127.9299
4275,414,126594576990.0,1450559327717.7622
4276,414,126594576990.0,29801123625399.96
4277,414,126594576990.0,6517460301761.714
4278,414,126594576990.0,436762524732.1972
4279,414,126594576990.0,6381151622.615481
4280,414,126594576990.0,1882097173.4357178
4281,414,126594576990.0,164159182.182357
4282,414,126594576990.0,704192222652.3065
4283,414,126594576990.0,242357345.20955124
4284,414,126594576990.0,6684575319946.774
4285,414,126594576990.0,23136544705.623413
4286,414,126594576990.0,13639295905544.213
4287,414,126594576990.0,138550200280.6988
4288,414,126594576990.0,72750024891.89267
4289,414,126594576990.0,432995120.80437964
4290,414,126594576990.0,113244399669.56918
4291,414,126594576990.0,4598682679.751163
4292,414,126594576990.0,1272039652.0398111
4293,414,126594576990.0,28063513122.70632
4294,414,126594576990.0,2462420837679.3086
4295,414,126594576990.0,28345839664.689857
4296,414,126594576990.0,12532289336.267414
4297,414,126594576990.0,4608116850357.956
4298,414,126594576990.0,3316503989019.888
4299,414,126594576990.0,260705346211.96008
4300,414,126594576990.0,6519471348.38561
4301,414,126594576990.0,21265451297253.363
4302,414,126594576990.0,8414304067722.329
4303,414,126594576990.0,1946234155493.2664
4304,414,126594576990.0,135556381756.39401
4305,414,126594576990.0,154635441.66003165
4306,414,126594576990.0,6129016677050.546
4307,414,126594576990.0,2110965577.9123693
4308,414,126594576990.0,13145333902547.297
4309,414,126594576990.0,13145787116956.27
4310,414,126594576990.0,378766034608.36694
4311,414,126594576990.0,4102527683492.432
4312,414,126594576990.0,2149619880080.119
4313,414,126594576990.0,10907583357996.906
4314,414,126594576990.0,4617621369419.269
4315,414,126594576990.0,304315578275.1748
4316,414,126594576990.0,25941311410.229824
4317,414,126594576990.0,2840253748407.979
4318,414,126594576990.0,14285791064293.227
4319,414,126594576990.0,24353536107387.684
4320,414,126594576990.0,279790214486.20294
4321,414,126594576990.0,1372296131746.1143
4322,414,126594576990.0,6184808714723.365
4323,414,126594576990.0,225812090872.16525
4324,414,126594576990.0,133023142845.1922
4325,414,126594576990.0,78448307646.54063
4326,414,126594576990.0,121486699894.18837
