trade_id,year,region1,region2,industry1,industry2,amount,total_resources_value,resources_count,unique_resources_factors,emission/air,natural_resource/water,resources_Water_Consumption,resources_Crops,resources_intensity
1696,2019,DE,DE,BUSIN,BUSIN,100960.26,1679791.015,66.0,66.0,183631.949,1496159.066,1496159.066,764235.99,16.638141
17161,2019,DE,DE,SUPPO,WHOLE,51365.99,992965.233,66.0,66.0,185904.132,807061.101,807061.101,563541.058,19.331181
2918,2019,DE,DE,COMPU,COMPU,41666.84,829289.59,66.0,66.0,179683.647,649605.943,649605.943,428262.538,19.902867
3184,2019,DE,DE,CONST,REALE,43126.76,717145.486,66.0,66.0,99320.98,617824.506,617824.506,365288.166,16.628782
1804,2019,DE,DE,BUSIN,PUBLI,27819.82,526232.562,66.0,66.0,124558.069,401674.493,401674.493,298333.461,18.915743
1809,2019,DE,DE,BUSIN,REALE,22751.23,479421.852,66.0,66.0,74175.715,405246.137,405246.137,257285.44,21.072349
18665,2019,DE,DE,WHOLE,CONST,24304.3,473970.002,66.0,66.0,71162.741,402807.261,402807.261,248682.602,19.501487
3083,2019,DE,DE,CONST,CONST,27662.52,463325.515,66.0,66.0,58101.58,405223.935,405223.935,222563.074,16.749216
644,2019,DE,DE,AUXIL,INSUR,23190.32,450716.074,66.0,66.0,73899.615,376816.459,376816.459,231765.5,19.435526
14805,2019,DE,DE,REALE,CONST,20411.64,409284.491,66.0,66.0,92118.213,317166.278,317166.278,222470.396,20.051524
6730,2019,DE,DE,FOOD5,FOOD5,8555.65,398147.842,66.0,66.0,24632.451,373515.392,373515.392,177757.978,46.536247
13531,2019,DE,DE,POSTT,POSTT,18868.28,385796.843,66.0,66.0,74340.275,311456.568,311456.568,212031.766,20.446847
15955,2019,DE,DE,SALEM,MOTO1,19570.62,382002.398,66.0,66.0,58374.271,323628.127,323628.127,197619.962,19.519177
9930,2019,DE,DE,MACHI,MACHI,21904.32,374685.087,66.0,66.0,58156.821,316528.266,316528.266,182461.677,17.105534
1729,2019,DE,DE,BUSIN,FINAN,17836.0,373914.045,66.0,66.0,55955.601,317958.443,317958.443,185875.655,20.964008
13548,2019,DE,DE,POSTT,RETA1,19120.03,357647.342,66.0,66.0,44227.451,313419.891,313419.891,190577.189,18.705376
17146,2019,DE,DE,SUPPO,SUPPO,22673.84,357530.966,66.0,66.0,45093.114,312437.852,312437.852,170667.045,15.768435
5885,2019,DE,DE,FINAN,REALE,23535.1,356519.942,66.0,66.0,18546.994,337972.949,337972.949,163456.636,15.148435
1762,2019,DE,DE,BUSIN,MACHI,17643.07,351517.732,66.0,66.0,83001.927,268515.804,268515.804,193018.798,19.923842
5641,2019,DE,DE,FABRI,FABRI,18003.88,336628.17,66.0,66.0,48705.44,287922.729,287922.729,158393.271,18.697535
11646,2019,DE,DE,OFFIC,OFFIC,17378.55,325868.872,66.0,66.0,56327.306,269541.566,269541.566,171111.311,18.751212
5805,2019,DE,DE,FINAN,FINAN,18898.15,321077.293,66.0,66.0,47378.503,273698.79,273698.79,164398.884,16.98988
1815,2019,DE,DE,BUSIN,RETA1,13926.65,316372.316,66.0,66.0,68117.859,248254.456,248254.456,173825.474,22.717044
14793,2019,DE,DE,REALE,BUSIN,19235.13,314755.384,66.0,66.0,31852.397,282902.986,282902.986,147232.14,16.363569
15058,2019,DE,DE,RECRE,RECRE,15862.29,305619.877,66.0,66.0,68343.402,237276.475,237276.475,174728.532,19.267072
1770,2019,DE,DE,BUSIN,MOTO1,15993.92,301775.029,66.0,66.0,24722.745,277052.284,277052.284,144069.837,18.868109
3179,2019,DE,DE,CONST,PUBLI,17880.92,300065.225,66.0,66.0,29641.91,270423.315,270423.315,135319.729,16.781308
3957,2019,DE,DE,EDUCA,EDUCA,14300.01,294511.979,66.0,66.0,67770.222,226741.758,226741.758,156221.721,20.595229
14912,2019,DE,DE,REALE,RETA1,15344.54,270586.268,66.0,66.0,50399.149,220187.119,220187.119,155091.937,17.634042
7837,2019,DE,DE,HEALT,HEALT,13717.67,269901.47,66.0,66.0,61178.928,208722.542,208722.542,132734.007,19.67546
