trade_id,factor_id,coefficient,impact_value
1456,414,126594576990.0,9981455973.482252
1457,414,126594576990.0,14978953344.164581
1458,414,126594576990.0,579228770362.0593
1459,414,126594576990.0,44408194015.1327
1460,414,126594576990.0,283754206349.0078
1461,414,126594576990.0,103850414956.66016
1462,414,126594576990.0,8886760786.57037
1463,414,126594576990.0,89327216828.18002
1464,414,126594576990.0,7930927356.390064
1465,414,126594576990.0,3237931553.993384
1466,414,126594576990.0,2294128033.048413
1467,414,126594576990.0,1905295891.5679963
1468,414,126594576990.0,1618661772.0199406
1469,414,126594576990.0,8930447266.304245
1470,414,126594576990.0,15778643661.96585
1471,414,126594576990.0,8345593552.744032
1472,414,126594576990.0,1736822105.633468
1473,414,126594576990.0,3136335190.903852
1474,414,126594576990.0,3600987890.6642337
1475,414,126594576990.0,6325098825.103832
1476,414,126594576990.0,3226061792.0123615
1477,414,126594576990.0,1550479762.4232724
1478,414,126594576990.0,71663496724.09296
1479,414,126594576990.0,46512161794.052864
1480,414,126594576990.0,2888613420.719099
1481,414,126594576990.0,42200564787.654366
1482,414,126594576990.0,3502551733.7874184
1483,414,126594576990.0,67382728606.73412
1484,414,126594576990.0,13448188525.770947
1485,414,126594576990.0,8408137967.313437
1486,414,126594576990.0,4667009169.459848
1487,414,126594576990.0,7332924838.528133
1488,414,126594576990.0,1628587166.1712878
1489,414,126594576990.0,2458145991.117348
1490,414,126594576990.0,63779514015.40687
1491,414,126594576990.0,27600199020533.37
1492,414,126594576990.0,30209994511.392155
1493,414,126594576990.0,12619591833.446798
1494,414,126594576990.0,1901376123.5900953
1495,414,126594576990.0,44631174211.81765
11864,414,126594576990.0,2698286771.5396967
11865,414,126594576990.0,41378644751.14907
11866,414,126594576990.0,2958869677.459263
11867,414,126594576990.0,32514888193.94322
11868,414,126594576990.0,1913076817.7033424
11869,414,126594576990.0,25198623630.155678
11870,414,126594576990.0,1271121350.7393503
11871,414,126594576990.0,10120590638.09358
11872,414,126594576990.0,66561940432.84613
11873,414,126594576990.0,42640606368.170685
11874,414,126594576990.0,16870156261.591984
11875,414,126594576990.0,5610499381.16974
11876,414,126594576990.0,23271459946.272213
11877,414,126594576990.0,9504028255.315275
11878,414,126594576990.0,1966671514603.385
11879,414,126594576990.0,3782192746.014247
11880,414,126594576990.0,275535311764.294
11881,414,126594576990.0,1569753313.3569198
11882,414,126594576990.0,1413210234.3874364
11883,414,126594576990.0,1939661468.0279746
11884,414,126594576990.0,11485541476.531876
11885,414,126594576990.0,3705881221.8350105
11886,414,126594576990.0,1277787771538.5696
11887,414,126594576990.0,2734737321.970079
11888,414,126594576990.0,1578792954.103972
11889,414,126594576990.0,13319314599.370245
11890,414,126594576990.0,7928666134.980981
11891,414,126594576990.0,23967285331.823067
11892,414,126594576990.0,1410852525.516106
11893,414,126594576990.0,15446828838.33197
11894,414,126594576990.0,76811999938.96106
