trade_id,year,region1,region2,industry1,industry2,amount
1282,2019,FR,FR,BUSIN,BUSIN,107215.58
2201,2019,FR,FR,CONST,CONST,51402.52
1293,2019,FR,FR,BUSIN,CONST,26136.28
519,2019,FR,FR,AUXIL,INSUR,23827.77
1413,2019,FR,FR,BUSIN,WHOLE,22756.07
2574,2019,FR,FR,DIST1,ELEC3,22230.62
4635,2019,FR,FR,FINAN,FINAN,18832.12
4704,2019,FR,FR,FINAN,REALE,17191.68
4465,2019,FR,FR,FABRI,CONST,15803.60
2059,2019,FR,FR,COMPU,COMPU,15604.39
7275,2019,FR,FR,LANDT,WHOLE,15536.78
1389,2019,FR,FR,BUSIN,RETA1,15305.87
1383,2019,FR,FR,BUSIN,REALE,14671.15
13769,2019,FR,FR,WHOLE,WHOLE,14544.42
13649,2019,FR,FR,WHOLE,CONST,14391.60
1292,2019,FR,FR,BUSIN,COMPU,13451.65
1379,2019,FR,FR,BUSIN,PUBLI,12657.43
1437,2019,FR,FR,CEMEN,CONST,12552.14
13687,2019,FR,FR,WHOLE,HOTEL,12123.40
12492,2019,FR,FR,SUPPO,WHOLE,12003.46
11014,2019,FR,FR,RENTI,BUSIN,11850.58
1329,2019,FR,FR,BUSIN,HEALT,11744.41
10652,2019,FR,FR,RAWMI,DAIRY,11584.10
12478,2019,FR,FR,SUPPO,SUPPO,11539.16
1388,2019,FR,FR,BUSIN,RESEA,11366.83
501,2019,FR,FR,AUXIL,FINAN,9960.08
10682,2019,FR,FR,REALE,BUSIN,9911.12
1387,2019,FR,FR,BUSIN,RENTI,9581.74
9972,2019,FR,FR,POSTT,BUSIN,9391.43
4602,2019,FR,FR,FINAN,BUSIN,9052.07
13685,2019,FR,FR,WHOLE,HEALT,8957.64
12361,2019,FR,FR,SUPPO,BUSIN,8936.17
7252,2019,FR,FR,LANDT,RETA1,8775.92
14095,2019,FR,FR,WOODW,CONST,8760.75
748,2019,FR,FR,BEVER,HOTEL,8534.94
3536,2019,FR,FR,ELEC3,DISTR,8346.40
10809,2019,FR,FR,REALE,WHOLE,8244.13
1315,2019,FR,FR,BUSIN,FINAN,8195.64
9937,2019,FR,FR,PLAST,PLAST,7955.66
13638,2019,FR,FR,WHOLE,BUSIN,7897.12
1331,2019,FR,FR,BUSIN,HOTEL,7385.95
10786,2019,FR,FR,REALE,RETA1,7045.34
1300,2019,FR,FR,BUSIN,EDUCA,6733.23
5547,2019,FR,FR,FOOD5,HOTEL,6587.83
4485,2019,FR,FR,FABRI,FABRI,6370.88
13245,2019,FR,FR,TRANS,TRANS,6290.79
10063,2019,FR,FR,POSTT,POSTT,6251.28
10780,2019,FR,FR,REALE,REALE,6139.48
13746,2019,FR,FR,WHOLE,RETA1,6044.80
2465,2019,FR,FR,DAIRY,DAIRY,5827.93
10829,2019,FR,FR,RECRE,BUSIN,5751.87
6274,2019,FR,FR,HEALT,HEALT,5655.44
4654,2019,FR,FR,FINAN,INSUR,5595.63
2486,2019,FR,FR,DAIRY,HOTEL,5577.25
4734,2019,FR,FR,FINAN,WHOLE,5575.30
1333,2019,FR,FR,BUSIN,INSUR,5522.75
2287,2019,FR,FR,CONST,PUBLI,5436.09
1384,2019,FR,FR,BUSIN,RECRE,5365.97
10612,2019,FR,FR,RAILW,RAILW,5256.80
9948,2019,FR,FR,PLAST,RUBBE,5013.18
1272,2019,FR,FR,BUSIN,AUXIL,4864.08
12467,2019,FR,FR,SUPPO,RETA1,4793.87
2292,2019,FR,FR,CONST,REALE,4663.16
6801,2019,FR,FR,INSUR,INSUR,4443.54
10068,2019,FR,FR,POSTT,PUBLI,4405.37
12472,2019,FR,FR,SUPPO,SEACO,4299.21
7241,2019,FR,FR,LANDT,PUBLI,4195.77
11147,2019,FR,FR,RENTI,WHOLE,4068.52
1406,2019,FR,FR,BUSIN,TRANS,4039.91
4710,2019,FR,FR,FINAN,RETA1,4033.61
1322,2019,FR,FR,BUSIN,FOOD5,4018.42
10004,2019,FR,FR,POSTT,FINAN,4001.81
12415,2019,FR,FR,SUPPO,LANDT,3975.56
10713,2019,FR,FR,REALE,FINAN,3874.54
13705,2019,FR,FR,WHOLE,MOTO1,3790.96
4519,2019,FR,FR,FABRI,MOTO1,3774.28
10919,2019,FR,FR,RECRE,RECRE,3763.81
12459,2019,FR,FR,SUPPO,RAILW,3760.00
8189,2019,FR,FR,MOTO1,MOTO1,3746.29
12372,2019,FR,FR,SUPPO,CONST,3744.82
1421,2019,FR,FR,CATTL,MEATC,3713.05
1399,2019,FR,FR,BUSIN,SUPPO,3671.25
1342,2019,FR,FR,BUSIN,MACHI,3642.23
4613,2019,FR,FR,FINAN,CONST,3630.31
6552,2019,FR,FR,HOTEL,RETA1,3557.42
1298,2019,FR,FR,BUSIN,DIST1,3518.06
4592,2019,FR,FR,FINAN,AUXIL,3503.19
4512,2019,FR,FR,FABRI,MACHI,3486.53
10102,2019,FR,FR,POSTT,WHOLE,3469.23
10692,2019,FR,FR,REALE,COMPU,3444.33
463,2019,FR,FR,AUXIL,AUXIL,3270.76
6445,2019,FR,FR,HOTEL,BUSIN,3270.23
10836,2019,FR,FR,RECRE,COMPU,3192.23
10785,2019,FR,FR,REALE,RESEA,3182.61
13763,2019,FR,FR,WHOLE,TRANS,3172.53
11120,2019,FR,FR,RENTI,RENTI,3164.04
13311,2019,FR,FR,VEGET,BEVER,3158.18
4699,2019,FR,FR,FINAN,PUBLI,3124.69
2711,2019,FR,FR,DISTR,DISTR,2992.02
6575,2019,FR,FR,HOTEL,WHOLE,2930.28
9982,2019,FR,FR,POSTT,COMPU,2916.12
11025,2019,FR,FR,RENTI,CONST,2866.35
13670,2019,FR,FR,WHOLE,FABRI,2866.30
13678,2019,FR,FR,WHOLE,FOOD5,2830.71
11162,2019,FR,FR,RESEA,RESEA,2822.46
13653,2019,FR,FR,WHOLE,DAIRY,2810.31
13321,2019,FR,FR,VEGET,FOOD5,2801.58
13698,2019,FR,FR,WHOLE,MACHI,2794.13
2081,2019,FR,FR,COMPU,FINAN,2791.59
1275,2019,FR,FR,BUSIN,BEVER,2761.74
6491,2019,FR,FR,HOTEL,HEALT,2759.76
1392,2019,FR,FR,BUSIN,SALEM,2735.42
2834,2019,FR,FR,EDUCA,BUSIN,2694.27
13631,2019,FR,FR,WHOLE,BEVER,2673.94
2880,2019,FR,FR,EDUCA,HEALT,2527.84
10727,2019,FR,FR,REALE,HEALT,2474.73
3400,2019,FR,FR,ELEC2,DISTR,2431.96
7199,2019,FR,FR,LANDT,LANDT,2384.26
1349,2019,FR,FR,BUSIN,MOTO1,2383.80
3632,2019,FR,FR,ELEC3,TRAN1,2329.31
13741,2019,FR,FR,WHOLE,RECRE,2277.10
10784,2019,FR,FR,REALE,RENTI,2228.90
11111,2019,FR,FR,RENTI,PUBLI,2226.16
10079,2019,FR,FR,POSTT,RETA1,2192.90
10729,2019,FR,FR,REALE,HOTEL,2177.31
2575,2019,FR,FR,DIST1,ELEC4,2158.61
3509,2019,FR,FR,ELEC3,ALUM1,2136.29
6493,2019,FR,FR,HOTEL,HOTEL,2063.57
13648,2019,FR,FR,WHOLE,COMPU,2027.11
13643,2019,FR,FR,WHOLE,CHEM1,2026.41
10653,2019,FR,FR,RAWMI,FOOD5,2024.84
1374,2019,FR,FR,BUSIN,POSTT,1965.74
10775,2019,FR,FR,REALE,PUBLI,1949.81
14200,2019,FR,FR,WOODW,WOODW,1924.54
5849,2019,FR,FR,FOUND,CONST,1919.58
6753,2019,FR,FR,INSUR,BUSIN,1918.60
11024,2019,FR,FR,RENTI,COMPU,1899.12
11121,2019,FR,FR,RENTI,RESEA,1878.39
10181,2019,FR,FR,PRINT,FINAN,1869.73
7871,2019,FR,FR,MEATC,HOTEL,1862.28
10152,2019,FR,FR,PRINT,BUSIN,1849.19
13343,2019,FR,FR,VEGET,VEGET,1848.00
9572,2019,FR,FR,PIGS9,MEATP,1815.65
10672,2019,FR,FR,REALE,AUXIL,1811.37
10143,2019,FR,FR,PRINT,AUXIL,1807.66
10249,2019,FR,FR,PRINT,RECRE,1800.44
4497,2019,FR,FR,FABRI,FURNI,1750.25
11675,2019,FR,FR,SALEM,MOTO1,1749.39
10943,2019,FR,FR,RECRE,WHOLE,1742.42
12410,2019,FR,FR,SUPPO,HOTEL,1734.62
7037,2019,FR,FR,KEROS,AIRTR,1730.18
