trade_id,year,region1,region2,industry1,industry2,amount,total_resources_value,resources_count,unique_resources_factors,emission/air,natural_resource/water,resources_Water_Consumption,resources_Crops,resources_intensity
1282,2019,FR,FR,BUSIN,BUSIN,107215.58,1783867.91,66.0,66.0,195009.461,1588858.449,1588858.449,811586.707,16.638141
2201,2019,FR,FR,CONST,CONST,51402.52,993671.401,66.0,66.0,186036.342,807635.06,807635.06,563941.832,19.331181
519,2019,FR,FR,AUXIL,INSUR,23827.77,474240.946,66.0,66.0,102754.627,371486.319,371486.319,244907.971,19.902867
1293,2019,FR,FR,BUSIN,CONST,26136.28,434614.5,66.0,66.0,60191.884,374422.616,374422.616,221377.024,16.628782
1413,2019,FR,FR,BUSIN,WHOLE,22756.07,430447.969,66.0,66.0,101886.071,328561.899,328561.899,244030.951,18.915743
2574,2019,FR,FR,DIST1,ELEC3,22230.62,372345.45,66.0,66.0,46692.57,325652.88,325652.88,178859.884,16.749216
4635,2019,FR,FR,FINAN,FINAN,18832.12,367254.352,66.0,66.0,55140.254,312114.098,312114.098,192691.03,19.501487
2059,2019,FR,FR,COMPU,COMPU,15604.39,328821.148,66.0,66.0,50874.91,277946.237,277946.237,176464.409,21.072349
5547,2019,FR,FR,FOOD5,HOTEL,6587.83,321454.326,66.0,66.0,26814.188,294640.139,294640.139,141112.348,48.795176
4465,2019,FR,FR,FABRI,CONST,15803.6,307151.283,66.0,66.0,50360.666,256790.617,256790.617,157942.161,19.435526
1383,2019,FR,FR,BUSIN,REALE,14671.15,294178.917,66.0,66.0,66211.246,227967.671,227967.671,159903.69,20.051524
13769,2019,FR,FR,WHOLE,WHOLE,14544.42,283895.11,66.0,66.0,43382.372,240512.738,240512.738,146866.462,19.519177
1389,2019,FR,FR,BUSIN,RETA1,15305.87,261815.077,66.0,66.0,40637.68,221177.398,221177.398,127496.982,17.105534
4704,2019,FR,FR,FINAN,REALE,17191.68,260427.054,66.0,66.0,13548.019,246879.035,246879.035,119400.138,15.148435
