trade_id,factor_id,coefficient,impact_value
7457,434,4763293.89258,5927690.284018308
7457,434,4352854.05925,5416917.640744235
7458,434,4763293.89258,359775.2545797558
7458,434,4352854.05925,328774.41800404096
7459,434,4763293.89258,25870302.462365903
7459,434,4352854.05925,23641130.198317572
7460,434,4763293.89258,4516379.496916876
7460,434,4352854.05925,4127215.592741829
7461,434,4763293.89258,10661924.478516422
7461,434,4352854.05925,9743215.995557573
7462,434,4763293.89258,2358185.0419821567
7462,434,4352854.05925,2154986.772587067
7463,434,4763293.89258,2026499.4396961075
7463,434,4352854.05925,1851881.599388611
7464,434,4763293.89258,1484032.089939531
7464,434,4352854.05925,1356157.157720886
7465,434,4763293.89258,1160910.3995578622
7465,434,4352854.05925,1060877.967872756
7466,434,4763293.89258,24437990.234140668
7466,434,4352854.05925,22332236.345167838
7467,434,4763293.89258,2144536.9422810175
7467,434,4352854.05925,1959748.1375148492
7468,434,4763293.89258,18413201.980354406
7468,434,4352854.05925,16826587.39760507
7469,434,4763293.89258,355153.9041281919
7469,434,4352854.05925,324551.27651288867
7470,434,4763293.89258,83644855.70730343
7470,434,4352854.05925,76437410.31139857
7471,434,4763293.89258,1310126.4575568
7471,434,4352854.05925,1197236.491703868
7472,434,4763293.89258,144842.22451847684
7472,434,4352854.05925,132361.57145965204
7473,434,4763293.89258,243418.80401021536
7473,434,4352854.05925,222444.08030001703
7474,434,4763293.89258,7816273.034877259
7474,434,4352854.05925,7142766.450138868
7475,434,4763293.89258,4618179.509743253
7475,434,4352854.05925,4220243.780600081
7476,434,4763293.89258,14546685.42392926
7476,434,4352854.05925,13293237.856857648
7477,434,4763293.89258,274094.2745936607
7477,434,4352854.05925,250476.330599868
7478,434,4763293.89258,11470951.705137175
7478,434,4352854.05925,10482531.588266566
7479,434,4763293.89258,99011.40660568496
7479,434,4352854.05925,90479.86810701911
7480,434,4763293.89258,241096359.3382724
7480,434,4352854.05925,220321754.24883673
7481,434,4763293.89258,4357990.233333324
7481,434,4352854.05925,3982474.293027934
7482,434,4763293.89258,194567.95183911122
7482,434,4352854.05925,177802.57067113344
7483,434,4763293.89258,79852.7069830405
7483,434,4352854.05925,72972.0205328252
7484,434,4763293.89258,1077581.0350799179
7484,434,4352854.05925,984728.8637858615
7485,434,4763293.89258,4504140.794900946
7485,434,4352854.05925,4116031.4657592424
7486,434,4763293.89258,2038369.6705491585
7486,434,4352854.05925,1862729.0053472114
7487,434,4763293.89258,2496993.414253541
7487,434,4352854.05925,2281834.4121250324
7488,434,4763293.89258,1252717.1616098082
7488,434,4352854.05925,1144773.9956796735
7489,434,4763293.89258,1111155.3265014426
7489,434,4352854.05925,1015410.1515662107
7490,434,4763293.89258,62082.79882646314
7490,434,4352854.05925,56733.29611308097
7491,434,4763293.89258,14018271.14312626
7491,434,4352854.05925,12810355.57013963
7492,434,4763293.89258,437589.96564341174
7492,434,4352854.05925,399884.05107758153
7493,434,4763293.89258,161970.55547418565
7493,434,4352854.05925,148014.00160780552
7494,434,4763293.89258,101324.6668901156
7494,434,4352854.05925,92593.80116390462
7495,434,4763293.89258,1167349.840116682
7495,434,4352854.05925,1066762.5396854298
7496,434,4763293.89258,5917843.631749129
7496,434,4352854.05925,5407919.44721125
7497,434,4763293.89258,2335212.1034392235
7497,434,4352854.05925,2133993.348489243
7498,434,4763293.89258,27998249.736858066
7498,434,4352854.05925,25585718.15373893
7499,434,4763293.89258,2544506.7691619135
7499,434,4352854.05925,2325253.6729234615
7500,434,4763293.89258,6347690.186774797
7500,434,4352854.05925,5800727.315903279
7501,434,4763293.89258,100042.90779815317
7501,434,4352854.05925,91422.48770052157
7502,434,4763293.89258,278802.54048781906
7502,434,4352854.05925,254778.89827081113
7503,434,4763293.89258,244060.08860051108
7503,434,4352854.05925,223030.10717447705
7504,434,4763293.89258,822533.2659713645
7504,434,4352854.05925,751657.8540805376
7505,434,4763293.89258,85020.43453537572
7505,434,4352854.05925,77694.45932425081
7506,434,4763293.89258,3055093.640181855
7506,434,4352854.05925,2791844.688351045
7507,434,4763293.89258,7564287.208082573
7507,434,4352854.05925,6912493.543664349
7508,434,4763293.89258,80413.74910632131
7508,434,4352854.05925,73484.71921126227
7509,434,4763293.89258,1051000.7270970086
7509,434,4352854.05925,960438.9072749368
7510,434,4763293.89258,497747.92991676944
7510,434,4352854.05925,454858.37029634963
7511,434,4763293.89258,101709.79622200875
7511,434,4352854.05925,92945.74496864839
7512,434,4763293.89258,3389232.8219634816
7512,434,4352854.05925,3097192.022900002
7513,434,4763293.89258,185676.76457111788
7513,434,4352854.05925,169677.51236823836
7514,434,4763293.89258,91940.5938063792
7514,434,4352854.05925,84018.32764998378
7515,434,4763293.89258,6723404.71443488
7515,434,4352854.05925,6144067.564001759
7516,434,4763293.89258,760936.2800012738
7516,434,4352854.05925,695368.5096764182
7517,434,4763293.89258,303818.86021112924
7517,434,4352854.05925,277639.6310558978
7518,434,4763293.89258,1072243.5677540656
7518,434,4352854.05925,979851.3112267719
7519,434,4763293.89258,4320958.589731235
7519,434,4352854.05925,3948633.563522424
7520,434,4763293.89258,2973092.7234794227
7520,434,4352854.05925,2716909.563376619
7521,434,4763293.89258,628392.4500446249
7521,434,4352854.05925,574245.6142040072
7522,434,4763293.89258,1241883.130107932
7522,434,4352854.05925,1134873.5026459673
7523,434,4763293.89258,253667.92749302863
7523,434,4352854.05925,231810.06521759977
7524,434,4763293.89258,4927273.890883707
7524,434,4352854.05925,4502704.355567846
7525,434,4763293.89258,245929.5117333767
7525,434,4352854.05925,224738.44729706025
7526,434,4763293.89258,179707.56814928062
7526,434,4352854.05925,164222.66505853742
7527,434,4763293.89258,408585.9903506668
7527,434,4352854.05925,373379.26795175404
7528,434,4763293.89258,291390.0012221278
7528,434,4352854.05925,266281.73239959264
7529,434,4763293.89258,51742.62547151246
7529,434,4352854.05925,47284.106838499625
7530,434,4763293.89258,220257.68621145372
7530,434,4352854.05925,201278.69183130332
7531,434,4763293.89258,80647.67545824572
7531,434,4352854.05925,73698.48877776453
7532,434,4763293.89258,2336960.8091088743
7532,434,4352854.05925,2135591.37303785
7533,434,4763293.89258,571375.384575212
7533,434,4352854.05925,522141.55124419933
7534,434,4763293.89258,25331509.70367235
7534,434,4352854.05925,23148763.71838504
7535,434,4763293.89258,5545647.45601149
7535,434,4352854.05925,5067794.384401115
7536,434,4763293.89258,310423.6460161651
7536,434,4352854.05925,283675.300773173
7537,434,4763293.89258,11625868.882428933
7537,434,4352854.05925,10624099.981741598
7538,434,4763293.89258,1895719.9868841807
7538,434,4352854.05925,1732371.0495723046
7539,434,4763293.89258,90539.75398805119
7539,434,4352854.05925,82738.19431639572
7540,434,4763293.89258,14824157.718926817
7540,434,4352854.05925,13546801.133205341
7541,434,4763293.89258,661246.0953309824
7541,434,4352854.05925,604268.3519293971
7542,434,4763293.89258,149822.1214371292
7542,434,4352854.05925,136912.3644625296
7543,434,4763293.89258,1737242.4161521671
7543,434,4352854.05925,1587549.05189219
7544,434,4763293.89258,3453668.1103172735
7544,434,4352854.05925,3156075.101037729
7545,434,4763293.89258,18302179.298642125
7545,434,4352854.05925,16725131.232678328
7546,434,4763293.89258,4358846.447718866
7546,434,4352854.05925,3983256.72979286
7547,434,4763293.89258,266967.90692466154
7547,434,4352854.05925,243964.02228229132
7548,434,4763293.89258,4930583.475637173
7548,434,4352854.05925,4505728.762575568
7549,434,4763293.89258,14458398.204280272
7549,434,4352854.05925,13212558.102239184
7550,434,4763293.89258,8970783.689981543
7550,434,4352854.05925,8197796.1218008185
7551,434,4763293.89258,52982.876310705804
7551,434,4352854.05925,48417.488700215246
7552,434,4763293.89258,4600335.707822576
7552,434,4352854.05925,4203937.529637095
7553,434,4763293.89258,4194592.795947045
7553,434,4352854.05925,3833156.3599678203
7554,434,4763293.89258,891229.2991867438
7554,434,4352854.05925,814434.5405037163
7555,434,4763293.89258,605583.0068298405
7555,434,4352854.05925,553401.5974950299
7556,434,4763293.89258,101595.02830196853
7556,434,4352854.05925,92840.86628220056
7557,434,4763293.89258,1522990.4159150375
7557,434,4352854.05925,1391758.552719467
7558,434,4763293.89258,2112583.2509122565
7558,434,4352854.05925,1930547.8071721843
7559,434,4763293.89258,48743.40195943024
7559,434,4352854.05925,44543.31810415304
7560,434,4763293.89258,10576362.013113016
7560,434,4352854.05925,9665026.21066296
7561,434,4763293.89258,1772145.423479781
7561,434,4352854.05925,1619444.563811516
7562,434,4763293.89258,95042.4477812072
7562,434,4352854.05925,86852.90346454005
7563,434,4763293.89258,3157136.1588831744
7563,434,4352854.05925,2885094.486025097
7564,434,4763293.89258,105310.8024605551
7564,434,4352854.05925,96236.46247975099
7565,434,4763293.89258,54301182.22852464
7565,434,4352854.05925,49622199.85075961
7566,434,4763293.89258,224356.71473227444
7566,434,4352854.05925,205024.5184248776
7567,434,4763293.89258,947081.5345397062
7567,434,4352854.05925,865474.1435299
7568,434,4763293.89258,963183.3545897044
7568,434,4352854.05925,880188.5143721293
7569,434,4763293.89258,1575526.8859168335
7569,434,4352854.05925,1439768.1007052034
7570,434,4763293.89258,4957303.079605206
7570,434,4352854.05925,4530146.012322634
7571,434,4763293.89258,821173.8712421467
7571,434,4352854.05925,750415.5946275956
7572,434,4763293.89258,77344.11819640106
7572,434,4352854.05925,70679.58988941638
7573,434,4763293.89258,20134293.02473426
7573,434,4352854.05925,18399376.796667293
7574,434,4763293.89258,127278.95007869382
7574,434,4352854.05925,116311.67570200804
7575,434,4763293.89258,529889.2926499082
7575,434,4352854.05925,484230.2008820519
7576,434,4763293.89258,4792813.994644875
7576,434,4352854.05925,4379830.49593444
22531,434,4763293.89258,3080048.6906680246
22531,434,4352854.05925,2814649.4312993493
22532,434,4763293.89258,2765440.2892798376
22532,434,4352854.05925,2527149.963926578
22533,434,4763293.89258,18866644.0033918
22533,434,4352854.05925,17240957.57822472
22534,434,4763293.89258,1715201.746979634
22534,434,4352854.05925,1567407.5660968884
22535,434,4763293.89258,2070702.2034384643
22535,434,4352854.05925,1892275.5334865486
22536,434,4763293.89258,1992458.6665572245
22536,434,4352854.05925,1820774.0253276415
22537,434,4763293.89258,11727423.908828387
22537,434,4352854.05925,10716904.292974358
22538,434,4763293.89258,203465.42786920632
22538,434,4352854.05925,185933.37585092924
22539,434,4763293.89258,2698854.2495211316
22539,434,4352854.05925,2466301.4586717244
22540,434,4763293.89258,14871290.319890253
22540,434,4352854.05925,13589872.448571015
22541,434,4763293.89258,11958547.909544103
22541,434,4352854.05925,10928112.979104912
22542,434,4763293.89258,2981458.4358824133
22542,434,4352854.05925,2724554.4255272835
22543,434,4763293.89258,1923313.881023525
22543,434,4352854.05925,1757587.2543297026
22544,434,4763293.89258,5675977.787792806
22544,434,4352854.05925,5186894.512701286
22545,434,4763293.89258,4774640.938984103
22545,434,4352854.05925,4363223.362113621
22546,434,4763293.89258,10643695.888945881
22546,434,4352854.05925,9726558.113030076
22547,434,4763293.89258,211042.26176254655
22547,434,4352854.05925,192857.3349667555
22548,434,4763293.89258,125943.26386221733
22548,434,4352854.05925,115091.08186497213
22549,434,4763293.89258,1106886.6367847826
22549,434,4352854.05925,1011509.2830118294
22550,434,4763293.89258,97739350.97975776
22550,434,4352854.05925,89317421.98889603
22551,434,4763293.89258,3555702.5909125167
22551,434,4352854.05925,3249317.553227028
22552,434,4763293.89258,48660.18041552483
22552,434,4352854.05925,44467.26753003877
