trade_id,factor_id,coefficient,impact_value
15208,8,48470914501.9,1017579590.7909391
15209,8,48470914501.9,2311288038.0788593
15462,8,60675615325.7,976041286.7349025
15463,8,60675615325.7,3224546551.2700076
15464,8,60675615325.7,17840747528.42229
15465,8,60675615325.7,2025711026.2917247
15466,8,60675615325.7,815082996.6226978
15467,8,60675615325.7,1462708414.969017
15468,8,60675615325.7,91480752591.95554
15469,8,60675615325.7,679080407.8339156
15470,8,60675615325.7,1576305116.047437
15471,8,60675615325.7,3240800043.1141925
15472,8,60675615325.7,18322084576.295692
15473,8,60675615325.7,646428856.6830806
15474,8,60675615325.7,621768678.807991
15475,8,60675615325.7,6953482111.202036
15476,8,60675615325.7,21792524403.07838
15477,8,60675615325.7,10648487507.86856
15478,8,60675615325.7,3864450569.111342
15479,8,60675615325.7,6189234121.727847
15480,8,60675615325.7,4191121323.6836324
15481,8,60675615325.7,3265811349.1187277
15482,8,60675615325.7,2206582884.3843703
15483,8,60675615325.7,737403404.5682566
15484,8,60675615325.7,664132173.1941139
15485,8,60675615325.7,16363679744.925375
15486,8,60675615325.7,1304105053.2839007
15487,8,60675615325.7,6738528113.239561
15488,8,60675615325.7,1573812504.7408464
15489,8,60675615325.7,1943864311.7518656
15490,8,60675615325.7,3628309276.878802
15491,8,60675615325.7,6353942674.554483
15492,8,60675615325.7,2354884352.8677125
15493,8,60675615325.7,1537383416.8345718
15494,8,60675615325.7,1670002447.1787262
15495,8,60675615325.7,1114998454.989476
15496,8,60675615325.7,1355519110.9529393
15497,8,60675615325.7,5817683332.705143
15498,8,60675615325.7,8485671956.688537
15499,8,60675615325.7,672600559.6939601
15500,8,60675615325.7,5755669928.209728
15501,8,60675615325.7,1185723069.4514194
15502,8,60675615325.7,632172574.8970531
15503,8,60675615325.7,20849330545.64886
15504,8,60675615325.7,1562120664.3058972
15505,8,60675615325.7,1343232960.529205
15506,8,60675615325.7,83498217408.25064
15507,8,60675615325.7,47198157843.61025
15508,8,60675615325.7,2465426073.6416626
15509,8,60675615325.7,122732847934.43013
15510,8,60675615325.7,15744458565.089207
15511,8,60675615325.7,954505281.4820155
15512,8,60675615325.7,6462535918.128509
15513,8,60675615325.7,42497900435.87875
15514,8,60675615325.7,13635710968.627214
15515,8,60675615325.7,6663067872.291842
15516,8,60675615325.7,51812313369.848404
15517,8,60675615325.7,3826249648.4871745
15518,8,60675615325.7,11687077224.096767
15519,8,60675615325.7,1866228193.2600625
15520,8,60675615325.7,1568079204.754444
15521,8,60675615325.7,1293396423.4308019
15522,8,60675615325.7,4178230005.406156
15523,8,60675615325.7,3849889882.5565987
15524,8,60675615325.7,4268249857.1602964
15525,8,60675615325.7,703123369.3284361
15526,8,60675615325.7,709858769.6294813
15527,8,60675615325.7,2241247462.6826577
15528,8,60675615325.7,948410401.3968067
15529,8,60675615325.7,14871937542.504122
15530,8,60675615325.7,54227449661.03174
23871,414,180626721965.0,56581426434.33779
23872,414,180626721965.0,2217013237974.6006
23873,414,180626721965.0,2195209496.099063
23874,414,180626721965.0,692298887899.9539
23875,414,180626721965.0,31155807025.29262
23876,414,180626721965.0,95253990461.45728
23877,414,180626721965.0,12676595926.460587
23878,414,180626721965.0,5100690540.762656
23879,414,180626721965.0,10128670673.32924
23880,414,180626721965.0,1968080051046.1753
23881,414,180626721965.0,1961938509.8160224
23882,414,180626721965.0,22411851003.244667
23883,414,180626721965.0,4992497082.274505
23884,414,180626721965.0,1816020566.8518836
23885,414,180626721965.0,114709978494.81013
23886,414,180626721965.0,6011332444.893761
23887,414,180626721965.0,384624218876.3701
23888,414,180626721965.0,334826599064.4741
23889,414,180626721965.0,4383356353.109452
23890,414,180626721965.0,29841174392.17372
23891,414,180626721965.0,174677379303.23877
23892,414,180626721965.0,174579001655.25595
23893,414,180626721965.0,5777357960.861016
23894,414,180626721965.0,75903199255.58829
23895,414,180626721965.0,366239427082.7578
23896,414,180626721965.0,22871668627.289528
23897,414,180626721965.0,3606570600.1561804
23898,414,180626721965.0,2890485441.6251955
23899,414,180626721965.0,41035684367.6046
23900,414,180626721965.0,5835546397.533701
23901,414,180626721965.0,13244731918.747965
23902,414,180626721965.0,16188745146.845003
23903,414,180626721965.0,63716930110.00519
23904,414,180626721965.0,12636757796.239248
23905,414,180626721965.0,359090841280.4923
23906,414,180626721965.0,7623533107.318119
23907,414,180626721965.0,289284076229.39374
23908,414,180626721965.0,10083727861.668362
23909,414,180626721965.0,5828511933.48619
23910,414,180626721965.0,249389214187.41022
23911,414,180626721965.0,7326977665.220494
23912,414,180626721965.0,19272075913.25599
23913,414,180626721965.0,42669305000.82896
23914,414,180626721965.0,3456242684.6574793
23915,414,180626721965.0,5890279170.80577
23916,414,180626721965.0,58638559290.91125
23917,414,180626721965.0,5886569364.794526
23918,414,180626721965.0,2896718911.1637263
23919,414,180626721965.0,8645483940.897594
23920,414,180626721965.0,1979857510.921803
23921,414,180626721965.0,63340165824.80663
23922,414,180626721965.0,122542290365.45972
23923,414,180626721965.0,48004850462.493126
23924,414,180626721965.0,4725333230.544309
23925,414,180626721965.0,10059515019.14326
23926,414,180626721965.0,36307114913.99353
23927,414,180626721965.0,6649008302.64804
23928,414,180626721965.0,5810750764.100376
23929,414,180626721965.0,2574622740.9217677
23930,414,180626721965.0,7134447524.744192
23931,414,180626721965.0,2368914549.9856176
23932,414,180626721965.0,2382875947.651459
23933,414,180626721965.0,188816978975.08932
23934,414,180626721965.0,94610454446.69992
23935,414,180626721965.0,55672444250.649826
23936,414,180626721965.0,327540530885.5195
23937,414,180626721965.0,3274971889.6892886
23938,414,180626721965.0,3594877185.2982144
23939,414,180626721965.0,24448127940.951565
23940,414,180626721965.0,73526936005.26501
23941,414,180626721965.0,248765565258.19077
23942,414,180626721965.0,332455054339.19446
23943,414,180626721965.0,562329752554.0786
23944,414,180626721965.0,682490218573.2565
23945,414,180626721965.0,1987398363.4293566
23946,414,180626721965.0,52443343147.96882
23947,414,180626721965.0,130200929864.74957
23948,414,180626721965.0,3233897188.062371
23949,414,180626721965.0,65149657416.76672
23950,414,180626721965.0,5777084211.815791
23951,414,180626721965.0,679036329588.143
23952,414,180626721965.0,16678974485.6028
23953,414,180626721965.0,2476845947.2237787
23954,414,180626721965.0,3819021379.5889354
23955,414,180626721965.0,191370684159.95554
23956,414,180626721965.0,3009611632.083885
23957,414,180626721965.0,14545795965.60786
23958,414,180626721965.0,1984228315.7799692
23959,414,180626721965.0,544498005169.6244
23960,414,180626721965.0,1828712236.313739
23961,414,180626721965.0,58158142472.21787
24091,414,1446816127400.0,169650142140.6643
24091,412,55314000000.0,6485985181.290636
24092,414,1446816127400.0,20414167090.748734
24092,412,55314000000.0,780464923.6851432
24093,414,1446816127400.0,25928559115641.664
24093,412,55314000000.0,991288590002.0712
24094,414,1446816127400.0,45525171160.34734
24094,412,55314000000.0,1740497130.1285849
24095,414,1446816127400.0,31444878051.921368
24095,412,55314000000.0,1202185925.0972424
24096,414,1446816127400.0,2375439680302.645
24096,412,55314000000.0,90816702957.53749
24097,414,1446816127400.0,2857928111883.2437
24097,412,55314000000.0,109262975845.30902
24098,414,1446816127400.0,66369544958.9996
24098,412,55314000000.0,2537409516.2039485
24099,414,1446816127400.0,284372946121.7018
