trade_id,factor_id,coefficient,impact_value
8126,414,42718995287.5,1709716364.4644752
8127,414,42718995287.5,705371812.1595626
8128,414,42718995287.5,2048836498.2690597
8129,414,42718995287.5,511151226.6891673
8130,414,42718995287.5,19519686648.810352
8131,414,42718995287.5,2361472507.673709
8132,414,42718995287.5,478230940.345467
8133,414,42718995287.5,456811380.77260774
8134,414,42718995287.5,1561326487.0719228
8135,414,42718995287.5,694245645.2788165
8136,414,42718995287.5,56633872336.83482
8137,414,42718995287.5,828478547.612628
8138,414,42718995287.5,699979590.225008
8139,414,42718995287.5,676187054.2690195
8140,414,42718995287.5,803633520.7228434
8141,414,42718995287.5,836048915.8706205
8142,414,42718995287.5,784418661.9853636
8143,414,42718995287.5,430970690.926308
8144,414,42718995287.5,602017718.7881945
8145,414,42718995287.5,729286293.9047434
8146,414,42718995287.5,463650281.05965555
8147,414,42718995287.5,1218161938.1811898
8148,414,42718995287.5,2474079583.094476
8149,414,42718995287.5,964066137.7740995
8150,414,42718995287.5,430832475.48814726
31094,414,42718995287.5,92947596541.76141
31095,414,42718995287.5,1078213420.9428325
31096,414,42718995287.5,909313484.8820223
31097,414,42718995287.5,2040057923.9479356
31098,414,42718995287.5,459655712.8552972
31099,414,42718995287.5,2388921854.533549
31100,414,42718995287.5,13628833242.499641
31101,414,42718995287.5,1084650538.3225582
31102,414,42718995287.5,731145449.8479412
31103,414,42718995287.5,647633826.0281367
31104,414,42718995287.5,2888321311.384743
31105,414,42718995287.5,2551991251.510807
31106,414,42718995287.5,463320120.0508907
31107,414,42718995287.5,569517415.3611122
31108,414,42718995287.5,1036639255.7864014
31109,414,42718995287.5,999961027.750987
31110,414,42718995287.5,677629845.8636297
31111,414,42718995287.5,1393031289.6094823
31112,414,42718995287.5,1401315379.9534025
31113,414,42718995287.5,468283663.74549353
31114,414,42718995287.5,1256437219.0209048
31115,414,42718995287.5,455314960.42627376
31116,414,42718995287.5,1990352564.3923607
31117,414,42718995287.5,1326088961.4561112
31118,414,42718995287.5,504194483.3580504
31119,414,42718995287.5,618010982.2820524
31120,414,42718995287.5,757693910.8062584
31121,414,42718995287.5,521503353.91586477
31122,414,42718995287.5,3703431408.420665
31123,414,42718995287.5,1040830879.4623356
45725,414,42718995287.5,945799048.5997366
45726,414,42718995287.5,25037565452.886707
45727,414,42718995287.5,1642756790.5160058
45728,414,42718995287.5,748845861.190459
54476,414,42718995287.5,4041071305.5302744
54477,414,42718995287.5,2175839162.0191574
54478,414,42718995287.5,1662327777.9091787
54479,414,42718995287.5,5536342173.073497
54480,414,42718995287.5,951463964.5024214
54481,414,42718995287.5,2127096997.0655966
54482,414,42718995287.5,947172831.6175107
54483,414,42718995287.5,522040797.16988885
54484,414,42718995287.5,740849225.1289115
54485,414,42718995287.5,364385816667.9815
54486,414,42718995287.5,747522944.77398
