trade_id,year,region1,region2,industry1,industry2,amount,total_employment_value,employment_count,unique_employment_factors,economic/employment,employment_People,employment_Hours,employment_intensity
2510,2019,IN,IN,CONST,CONST,52878.07,2058334163.553,12.0,12.0,2058334163.553,9457917.425,2048876246.129,38926.04559
1138,2019,IN,IN,BITUM,BASIC,37608.28,1709271582.094,12.0,12.0,1709271582.094,6919451.191,1702352130.902,45449.342062
8465,2019,IN,IN,PADDY,PADDY,39823.7,1401228804.707,12.0,12.0,1401228804.707,5972510.084,1395256294.623,35185.801538
696,2019,IN,IN,BASIC,CONST,40111.81,1262683355.293,12.0,12.0,1262683355.293,4729421.152,1257953934.141,31479.091951
12435,2019,IN,IN,VEGET,FOOD5,41140.51,1227414797.728,12.0,12.0,1227414797.728,4627910.299,1222786887.429,29834.700584
8766,2019,IN,IN,PFERT,PFERT,30103.86,1076698423.923,12.0,12.0,1076698423.923,4711788.863,1071986635.06,35766.125139
11875,2019,IN,IN,TEXTI,TEXTI,26651.44,971511533.147,12.0,12.0,971511533.147,4984483.4,966527049.747,36452.496869
5453,2019,IN,IN,GASDI,LANDT,33106.93,960720164.53,12.0,12.0,960720164.53,5737267.977,954982896.553,29018.702868
551,2019,IN,IN,AUXIL,FINAN,31244.68,875182812.26,12.0,12.0,875182812.26,6223444.503,868959367.757,28010.61852
12871,2019,IN,IN,WHOLE,CONST,21383.1,791103052.252,12.0,12.0,791103052.252,3715324.711,787387727.54,36996.649328
2841,2019,IN,IN,CRUDE,GASDI,16566.52,712602398.395,12.0,12.0,712602398.395,2698856.061,709903542.334,43014.610093
4616,2019,IN,IN,FINAN,REALE,17984.09,680061167.188,12.0,12.0,680061167.188,3107097.356,676954069.832,37814.59986
5495,2019,IN,IN,GASDI,RAILW,21629.5,601264959.722,12.0,12.0,601264959.722,2933458.014,598331501.708,27798.375354
12983,2019,IN,IN,WHOLE,WHOLE,19974.57,600041834.168,12.0,12.0,600041834.168,2882049.599,597159784.569,30040.287935
4409,2019,IN,IN,FABRI,CONST,17966.38,534276393.432,12.0,12.0,534276393.432,3664164.447,530612228.984,29737.56502
1602,2019,IN,IN,CEMEN,CONST,21602.17,531811504.148,12.0,12.0,531811504.148,3544263.685,528267240.462,24618.429729
9157,2019,IN,IN,POSTT,POSTT,15566.22,519446274.504,12.0,12.0,519446274.504,3062170.399,516384104.105,33370.097204
7531,2019,IN,IN,MOTO1,MOTO1,14855.99,509767020.541,12.0,12.0,509767020.541,3053063.768,506713956.773,34313.904394
6278,2019,IN,IN,LANDT,CONST,16418.39,502155154.221,12.0,12.0,502155154.221,1795332.599,500359821.622,30584.920581
5179,2019,IN,IN,FOUND,CONST,11859.08,419957139.161,12.0,12.0,419957139.161,2254163.244,417702975.917,35412.286548
710,2019,IN,IN,BASIC,FABRI,9616.89,410131931.906,12.0,12.0,410131931.906,1482934.477,408648997.429,42647.044097
8955,2019,IN,IN,PLANT,TEXTI,11463.22,374375756.817,12.0,12.0,374375756.817,1665096.488,372710660.329,32658.865207
13009,2019,IN,IN,WOODW,CONST,9448.95,368274285.869,12.0,12.0,368274285.869,1928390.038,366345895.83,38975.154474
1678,2019,IN,IN,CERAM,CONST,12000.49,364556123.626,12.0,12.0,364556123.626,1489049.262,363067074.364,30378.436516
8473,2019,IN,IN,PADDY,PROCE,12208.37,361834688.056,12.0,12.0,361834688.056,1370199.603,360464488.453,29638.247207
738,2019,IN,IN,BASIC,MOTO1,9401.69,359899809.592,12.0,12.0,359899809.592,1099641.454,358800168.138,38280.331471
12973,2019,IN,IN,WHOLE,TEXTI,11247.17,359848410.479,12.0,12.0,359848410.479,2458396.703,357390013.776,31994.573789
10519,2019,IN,IN,RENTI,CONST,11004.03,350836288.949,12.0,12.0,350836288.949,1379664.745,349456624.204,31882.527488
