trade_id,year,region1,region2,industry1,industry2,amount,total_materials_value,materials_count
2510,2019,IN,IN,CONST,CONST,52878.07,0,0
12435,2019,IN,IN,VEGET,FOOD5,41140.51,0,0
696,2019,IN,IN,BASIC,CONST,40111.81,0,0
8465,2019,IN,IN,PADDY,PADDY,39823.7,0,0
1138,2019,IN,IN,BITUM,BASIC,37608.28,0,0
5453,2019,IN,IN,GASDI,LANDT,33106.93,0,0
551,2019,IN,IN,AUXIL,FINAN,31244.68,0,0
8766,2019,IN,IN,PFERT,PFERT,30103.86,0,0
11875,2019,IN,IN,TEXTI,TEXTI,26651.44,0,0
5495,2019,IN,IN,GASDI,RAILW,21629.5,0,0
1602,2019,IN,IN,CEMEN,CONST,21602.17,0,0
12871,2019,IN,IN,WHOLE,CONST,21383.1,0,0
12983,2019,IN,IN,WHOLE,WHOLE,19974.57,0,0
4616,2019,IN,IN,FINAN,REALE,17984.09,0,0
4409,2019,IN,IN,FABRI,CONST,17966.38,0,0
2841,2019,IN,IN,CRUDE,GASDI,16566.52,0,0
6278,2019,IN,IN,LANDT,CONST,16418.39,0,0
9157,2019,IN,IN,POSTT,POSTT,15566.22,0,0
7531,2019,IN,IN,MOTO1,MOTO1,14855.99,0,0
8473,2019,IN,IN,PADDY,PROCE,12208.37,0,0
1678,2019,IN,IN,CERAM,CONST,12000.49,0,0
5179,2019,IN,IN,FOUND,CONST,11859.08,0,0
8955,2019,IN,IN,PLANT,TEXTI,11463.22,0,0
10106,2019,IN,IN,RAWMI,DAIRY,11453.5,0,0
12973,2019,IN,IN,WHOLE,TEXTI,11247.17,0,0
10519,2019,IN,IN,RENTI,CONST,11004.03,0,0
2418,2019,IN,IN,COMPU,COMPU,10860.37,0,0
11110,2019,IN,IN,SALEM,LANDT,10818.9,0,0
2849,2019,IN,IN,CRUDE,MOTOR,10307.52,0,0
7719,2019,IN,IN,NAPHT,ELEC1,10250.55,0,0
8122,2019,IN,IN,NONME,CONST,9824.03,0,0
710,2019,IN,IN,BASIC,FABRI,9616.89,0,0
13009,2019,IN,IN,WOODW,CONST,9448.95,0,0
738,2019,IN,IN,BASIC,MOTO1,9401.69,0,0
1398,2019,IN,IN,BUSIN,CONST,9127.86,0,0
4533,2019,IN,IN,FINAN,CONST,9059.36,0,0
12891,2019,IN,IN,WHOLE,FISH5,8953.81,0,0
731,2019,IN,IN,BASIC,MACHI,8734.04,0,0
12408,2019,IN,IN,VEGET,BEVER,8621.91,0,0
1416,2019,IN,IN,BUSIN,FINAN,8269.94,0,0
1386,2019,IN,IN,BUSIN,BUSIN,7764.77,0,0
