trade_id,year,region1,region2,industry1,industry2,amount
75454,2019,IN,WA,TEXTI,TEXTI,3939.09
67639,2019,IN,WA,BASIC,CONST,3416.91
87605,2019,IN,WM,FURNI,CONST,2656.33
70469,2019,IN,WA,FURNI,RETA1,2322.70
75753,2019,IN,WA,TRANS,TRANS,2113.59
87751,2019,IN,WM,GASDI,ELEC6,1956.82
13132,2019,IN,CN,PLAST,RUBBE,1829.32
88057,2019,IN,WM,KEROS,AIRTR,1768.22
87959,2019,IN,WM,HEAVY,ELEC6,1703.33
69707,2019,IN,WA,ELECT,CONST,1677.09
68607,2019,IN,WA,CHEM1,RUBBE,1629.28
86508,2019,IN,WM,CHEM1,CONST,1489.20
90294,2019,IN,WM,RADIO,OFFIC,1477.07
71286,2019,IN,WA,KEROS,AIRTR,1423.30
11168,2019,IN,CN,CHEM1,PLAST,1306.74
85856,2019,IN,WM,BASIC,FABRI,1272.16
68619,2019,IN,WA,CHEM1,TEXTI,1271.43
87790,2019,IN,WM,GASDI,MEDIC,1262.51
88912,2019,IN,WM,MOTOR,PUBLI,1203.28
12523,2019,IN,CN,MOTOR,LANDT,1198.74
81997,2019,IN,WF,TEXTI,TEXTI,1161.81
13561,2019,IN,CN,TEXTI,TEXTI,1151.96
90310,2019,IN,WM,RADIO,PUBLI,1130.14
68595,2019,IN,WA,CHEM1,PUBLI,1125.84
72357,2019,IN,WA,MOTOR,MEATC,1090.26
86301,2019,IN,WM,CERAM,CONST,1046.04
73307,2019,IN,WA,PLANT,CHEM1,1012.50
75727,2019,IN,WA,TRANS,RAILW,1011.33
79390,2019,IN,WF,CHEM1,PUBLI,947.65
80772,2019,IN,WF,MOTOR,LANDT,926.65
68527,2019,IN,WA,CHEM1,FABRI,876.33
86618,2019,IN,WM,CHEM1,TEXTI,806.49
75705,2019,IN,WA,TRANS,OFFIC,805.68
64865,2019,IN,US,GASDI,WOODW,803.04
87108,2019,IN,WM,ELECT,ELECT,798.65
73436,2019,IN,WA,PLAST,LEATH,775.06
90312,2019,IN,WM,RADIO,RADIO,716.60
68584,2019,IN,WA,CHEM1,PAPER,710.67
90147,2019,IN,WM,PROCE,RESEA,690.86
90931,2019,IN,WM,TEXTI,LEATH,666.35
80276,2019,IN,WF,KEROS,AIRTR,662.82
47049,2019,IN,MX,MOTO1,MOTO1,649.49
82786,2019,IN,WL,CHEM1,CONST,642.65
11092,2019,IN,CN,CHEM1,CHEM1,628.93
79596,2019,IN,WF,ELECT,CONST,625.02
73670,2019,IN,WA,PREC1,PREC1,587.99
75969,2019,IN,WA,VEGET,OFFIC,575.65
41280,2019,IN,JP,PRIVA,NATUR,553.10
13567,2019,IN,CN,TEXTI,WEARI,545.04
66370,2019,IN,US,RUBBE,MOTO1,534.47
11429,2019,IN,CN,ELECT,CONST,520.59
68567,2019,IN,WA,CHEM1,MOTO1,517.70
82014,2019,IN,WF,TRANS,AIRTR,517.28
13079,2019,IN,CN,PLANT,WOODW,510.90
72540,2019,IN,WA,NAPHT,RUBBE,510.85
65574,2019,IN,US,NONME,ELECT,510.67
67359,2019,IN,WA,ALUM1,FABRI,507.98
63364,2019,IN,US,ALUM1,ALUM1,486.16
86531,2019,IN,WM,CHEM1,FOOD5,462.62
13693,2019,IN,CN,VEGE1,PIGS9,460.87
75738,2019,IN,WA,TRANS,SALEM,453.11
80018,2019,IN,WF,GASDI,FURNI,450.91
90085,2019,IN,WM,PROCE,FOOD5,449.22
75635,2019,IN,WA,TRANS,CONST,447.41
87178,2019,IN,WM,ELECT,RADIO,445.83
75814,2019,IN,WA,VEGE1,HOTEL,443.69
65044,2019,IN,US,KEROS,AIRTR,421.08
11896,2019,IN,CN,GASDI,CONST,415.77
49121,2019,IN,NL,MOTOR,AIRTR,404.41
70579,2019,IN,WA,GASDI,MEDIC,400.96
67367,2019,IN,WA,ALUM1,FURNI,395.60
65472,2019,IN,US,MOTOR,PUBLI,391.93
78914,2019,IN,WF,BASIC,CONST,378.45
68597,2019,IN,WA,CHEM1,RADIO,377.70
90044,2019,IN,WM,PROCE,93197,374.35
73934,2019,IN,WA,PROCE,CHEM1,371.83
75747,2019,IN,WA,TRANS,SUPPO,368.45
72358,2019,IN,WA,MOTOR,MEATP,365.83
79701,2019,IN,WF,FABRI,CONST,360.65
11187,2019,IN,CN,CHEM1,RUBBE,360.34
88826,2019,IN,WM,MOTOR,CRUDE,356.80
90093,2019,IN,WM,PROCE,HOTEL,352.60
75401,2019,IN,WA,TEXTI,MEATC,347.24
85666,2019,IN,WM,ALUM1,ALUM1,338.01
88822,2019,IN,WM,MOTOR,CONST,337.77
24254,2019,IN,FI,RESEA,WOODW,334.63
90074,2019,IN,WM,PROCE,EDUCA,334.14
63903,2019,IN,US,CHEM1,PLAST,323.46
67666,2019,IN,WA,BASIC,FURNI,322.99
80081,2019,IN,WF,GASDI,RUBBE,321.83
90083,2019,IN,WM,PROCE,FISH5,320.27
63917,2019,IN,US,CHEM1,RESEA,316.65
79317,2019,IN,WF,CHEM1,CRUDE,310.95
67708,2019,IN,WA,BASIC,OFFIC,309.87
68632,2019,IN,WA,CHEM1,WOODW,305.03
72733,2019,IN,WA,NONME,WEARI,299.61
69354,2019,IN,WA,ELEC1,VEGE1,297.51
49212,2019,IN,NL,MOTOR,PLAST,295.14
11128,2019,IN,CN,CHEM1,HEALT,293.32
72354,2019,IN,WA,MOTOR,MEAT1,290.07
87853,2019,IN,WM,GASDI,WHEAT,288.22
86971,2019,IN,WM,CROPS,PFERT,283.07
12096,2019,IN,CN,HEAVY,STEAM,281.13
82563,2019,IN,WL,BASIC,CONST,281.01
89831,2019,IN,WM,PLAST,TOBAC,278.38
88922,2019,IN,WM,MOTOR,RESEA,276.87
90128,2019,IN,WM,PROCE,PFERT,273.92
63500,2019,IN,US,BASIC,FABRI,270.96
75689,2019,IN,WA,TRANS,MEATA,270.69
63858,2019,IN,US,CHEM1,HEALT,265.09
20135,2019,IN,DK,SEACO,SEACO,264.08
63482,2019,IN,US,BASIC,BASIC,263.61
89958,2019,IN,WM,PREC1,PREC1,261.24
85519,2019,IN,WL,TRANS,TRANS,259.58
68173,2019,IN,WA,CEMEN,CHEM1,258.39
66797,2019,IN,US,VEGE1,CHEM1,257.47
11165,2019,IN,CN,CHEM1,PFERT,253.96
75405,2019,IN,WA,TEXTI,MOTO1,249.98
