trade_id,factor_id,coefficient,impact_value
76,414,388600857419.0,94479384259.10768
77,414,388600857419.0,888620454768.2626
78,414,388600857419.0,65581797386.9697
79,414,388600857419.0,48847735095.034904
80,414,388600857419.0,15889985383.40666
81,414,388600857419.0,123058818559.01997
82,414,388600857419.0,396804716732.61774
83,414,388600857419.0,42291617470.596115
84,414,388600857419.0,11315890378.351112
85,414,388600857419.0,55079267323.65426
86,414,388600857419.0,1525773476471.8774
87,414,388600857419.0,308960619385.346
88,414,388600857419.0,31732280842.99798
89,414,388600857419.0,4644032682.012371
90,414,388600857419.0,391463287798.4805
91,414,388600857419.0,10865204506.915567
92,414,388600857419.0,364831201216.6953
93,414,388600857419.0,51220247951.80954
94,414,388600857419.0,13551207304.408972
95,414,388600857419.0,548477080674.0372
96,414,388600857419.0,6222326786.599615
97,414,388600857419.0,33288557586.798843
98,414,388600857419.0,44858596689.42357
99,414,388600857419.0,7648202336.31037
100,414,388600857419.0,26790508361.54128
101,414,388600857419.0,4523028588.312344
102,414,388600857419.0,5613403472.926819
103,414,388600857419.0,578643646682.604
104,414,388600857419.0,8098304799.529967
105,414,388600857419.0,70063065998.46547
106,414,388600857419.0,6969118972.337502
107,414,388600857419.0,13188862504.931738
108,414,388600857419.0,107721642457.46965
109,414,388600857419.0,151315494773.15268
110,414,388600857419.0,20908525704.03935
194,414,140379000000.0,2565111397.5501404
194,414,74247642650.8,1356709154.537338
581,8,134770038923.0,4222045952.330793
581,414,88402958781.0,2769468327.5162964
582,8,134770038923.0,1608696102.780434
582,414,88402958781.0,1055230794.6316378
583,8,134770038923.0,3197071414.5243635
583,414,88402958781.0,2097132083.1894236
584,8,134770038923.0,33817327547.443348
584,414,88402958781.0,22182614453.114994
585,8,134770038923.0,4687995912.44846
585,414,88402958781.0,3075110111.457793
586,8,134770038923.0,7569490911.815647
586,414,88402958781.0,4965238553.152872
587,8,134770038923.0,10767826818.197786
587,414,88402958781.0,7063200084.953241
588,8,134770038923.0,1565862677.7347229
588,414,88402958781.0,1027134034.1125695
589,8,134770038923.0,1636799759.7109497
589,414,88402958781.0,1073665503.4517727
590,8,134770038923.0,15610437197.251001
590,414,88402958781.0,10239730188.773106
591,8,134770038923.0,46858937932.49112
591,414,88402958781.0,30737312177.62891
592,8,134770038923.0,11022672243.744703
592,414,88402958781.0,7230366985.179651
593,8,134770038923.0,5660116263.00778
593,414,88402958781.0,3712776435.2745223
594,8,134770038923.0,24279387494.396545
594,414,88402958781.0,15926163626.927341
595,8,134770038923.0,122446452726.55122
595,414,88402958781.0,80319251962.59352
596,8,134770038923.0,1693879571.4481947
596,414,88402958781.0,1111107239.6459568
597,8,134770038923.0,8557724773.428202
597,414,88402958781.0,5613474600.513794
598,8,134770038923.0,2801262493.549791
598,414,88402958781.0,1837499601.0317316
599,8,134770038923.0,1637399350.2798948
599,414,88402958781.0,1074058807.3402002
600,8,134770038923.0,1894473092.8954625
600,414,88402958781.0,1242687381.2705367
601,8,134770038923.0,7869980420.815112
601,414,88402958781.0,5162345876.787169
602,8,134770038923.0,8164028817.177519
602,414,88402958781.0,5355228126.21723
603,8,134770038923.0,27494268284.459824
603,414,88402958781.0,18034977842.913223
604,8,134770038923.0,7791092133.050433
604,414,88402958781.0,5110598781.45874
605,8,134770038923.0,4443801285.989165
605,414,88402958781.0,2914929646.4973536
606,8,134770038923.0,3052160033.4197345
606,414,88402958781.0,2002076869.4856598
607,8,134770038923.0,1444611396.874465
607,414,88402958781.0,947598760.0287127
608,8,134770038923.0,11762745393.120222
608,414,88402958781.0,7715820997.377042
609,8,134770038923.0,14849999001.53877
609,414,88402958781.0,9740917641.056509
610,8,134770038923.0,2731082011.6098075
610,414,88402958781.0,1791464426.5838277
715,414,78021368556.4,3531834164.4565673
716,414,78021368556.4,2846166411.8674207
717,414,78021368556.4,5714596359.615505
718,414,78021368556.4,8754528251.816572
719,414,78021368556.4,13529870556.530907
720,414,78021368556.4,902119763.7596627
721,414,78021368556.4,2990412397.324203
722,414,78021368556.4,4447230556.055349
723,414,78021368556.4,19248286335.305664
724,414,78021368556.4,2051734727.2571826
725,414,78021368556.4,5162237591.758414
726,414,78021368556.4,2533098075.0844173
727,414,78021368556.4,10477460232.73636
728,414,78021368556.4,9252453896.366415
729,414,78021368556.4,1113686122.7389503
730,414,78021368556.4,4960266721.742112
731,414,78021368556.4,6330535112.48883
732,414,78021368556.4,1652506166.1664922
733,414,78021368556.4,819543107.5899556
734,414,78021368556.4,3063117007.0699406
735,414,78021368556.4,5625783744.814935
736,414,78021368556.4,2390264593.7738285
737,414,78021368556.4,2288476278.5305805
738,414,78021368556.4,11217210630.465906
739,414,78021368556.4,3203260257.360051
740,414,78021368556.4,836434749.4242728
741,414,78021368556.4,3612284227.1371055
742,414,78021368556.4,7093905893.288461
743,414,78021368556.4,857110455.2687442
744,414,78021368556.4,1906361696.3234606
745,414,78021368556.4,5184903021.427478
746,414,78021368556.4,9477773554.611183
747,414,78021368556.4,7688983908.475441
748,414,78021368556.4,1795389832.4129727
749,414,78021368556.4,4700051764.28678
750,414,78021368556.4,2590016239.399935
751,414,78021368556.4,1163008174.34529
752,414,78021368556.4,1672364369.6429446
753,414,78021368556.4,1858168888.3993068
754,414,78021368556.4,9183372486.797314
755,414,78021368556.4,11086604287.449581
756,414,78021368556.4,7227279683.076378
757,414,78021368556.4,6526960152.620895
758,414,78021368556.4,1287814637.0590427
759,414,78021368556.4,1435817758.0981998
760,414,78021368556.4,3834234504.9690037
761,414,78021368556.4,1911183707.256769
762,414,78021368556.4,1533301202.1451945
763,414,78021368556.4,57474893149.6709
764,414,78021368556.4,14647235035.872778
1032,414,50007535951.4,908184214.5646558
1033,414,50007535951.4,700669967.307243
1034,414,50007535951.4,714230567.0746598
1035,414,50007535951.4,879019976.8014892
1036,414,50007535951.4,2812584868.555873
1037,414,50007535951.4,2140846049.2760317
1038,414,50007535951.4,1506068862.3279872
1039,414,50007535951.4,1527455160.9843903
1040,414,50007535951.4,661085234.3988557
1041,414,50007535951.4,589335388.4064486
1042,414,50007535951.4,705835181.1659387
1043,414,50007535951.4,524410712.21198064
1044,414,50007535951.4,1060242431.5676537
1105,8,141901728080.0,7141502744.548392
1105,414,50818471034.5,2557546375.770921
1106,8,141901728080.0,2138875940.148136
1106,414,50818471034.5,765983659.8292044
1107,8,141901728080.0,10775322213.55392
1107,414,50818471034.5,3858905787.8716025
1108,8,141901728080.0,1665501412.9548235
1108,414,50818471034.5,596456691.9470282
1109,8,141901728080.0,24758806715.624493
1109,414,50818471034.5,8866732766.054892
1110,8,141901728080.0,50622916730.86785
1110,414,50818471034.5,18129301611.599606
1111,8,141901728080.0,7062594060.432097
1111,414,50818471034.5,2529287250.7243695
1112,8,141901728080.0,10843513184.851572
1112,414,50818471034.5,3883326638.460191
1113,8,141901728080.0,106387542085.75539
1113,414,50818471034.5,38099974532.15377
1114,8,141901728080.0,3583467628.4280367
1114,414,50818471034.5,1283327189.4734955
1115,8,141901728080.0,23190379614.651405
1115,414,50818471034.5,8305040753.709627
1116,8,141901728080.0,31187360781.53293
1116,414,50818471034.5,11168954825.027332
1117,8,141901728080.0,331673734835.2026
1117,414,50818471034.5,118780456832.24335
1118,8,141901728080.0,1747787720.673197
1118,414,50818471034.5,625925426.4149032
1119,8,141901728080.0,36223700532.36423
1119,414,50818471034.5,12972590969.636019
1120,8,141901728080.0,416116520559.5577
1120,414,50818471034.5,149021478689.18896
1121,8,141901728080.0,10617878328.782345
1121,414,50818471034.5,3802521291.3183775
1122,8,141901728080.0,34900116071.671616
1122,414,50818471034.5,12498583080.602411
1123,8,141901728080.0,3264348386.53179
1123,414,50818471034.5,1169042802.8752344
1124,8,141901728080.0,4285111852.414031
1124,414,50818471034.5,1534603105.2470822
1125,8,141901728080.0,5343753523.648129
1125,414,50818471034.5,1913728517.1320922
1126,8,141901728080.0,7012684164.896974
1126,414,50818471034.5,2511413299.3997126
1127,8,141901728080.0,38216740508.73347
1127,414,50818471034.5,13686347212.636951
1128,8,141901728080.0,52959548215.327705
1128,414,50818471034.5,18966106356.812996
1129,8,141901728080.0,4753242715.11858
1129,414,50818471034.5,1702252188.9375548
1130,8,141901728080.0,56936237138.94698
1130,414,50818471034.5,20390255686.158947
1131,8,141901728080.0,5443628688.306026
1131,414,50818471034.5,1949496250.4141834
1132,8,141901728080.0,16245981073.846907
1132,414,50818471034.5,5818082202.373728
1133,8,141901728080.0,2636726526.923762
1133,414,50818471034.5,944276101.8303518
1134,8,141901728080.0,34964477143.765495
1134,414,50818471034.5,12521632350.8418
1135,8,141901728080.0,115583750059.03955
1135,414,50818471034.5,41393360982.34632
1136,8,141901728080.0,11074719863.032112
1136,414,50818471034.5,3966127391.044942
1137,8,141901728080.0,3083388545.2968397
1137,414,50818471034.5,1104236668.5551398
1138,8,141901728080.0,2343368556.7062087
1138,414,50818471034.5,839217455.1602018
1139,8,141901728080.0,23116207723.28572
1139,414,50818471034.5,8278477989.718366
1140,8,141901728080.0,8863346218.870468
1140,414,50818471034.5,3174180534.5631843
1141,8,141901728080.0,7783741852.110514
1141,414,50818471034.5,2787547869.949122
1142,8,141901728080.0,183373936514.0411
1142,414,50818471034.5,65670680740.17665
1143,8,141901728080.0,27683690860.969883
1143,414,50818471034.5,9914205141.695766
1144,8,141901728080.0,3345081588.1943393
1144,414,50818471034.5,1197955332.1708448
1145,8,141901728080.0,5893343065.0273695
1145,414,50818471034.5,2110549941.136875
1146,8,141901728080.0,2690158349.660264
1146,414,50818471034.5,963411341.2160529
1147,8,141901728080.0,208134090099.14127
1147,414,50818471034.5,74537895853.05257
1148,8,141901728080.0,2954487233.63164
1148,414,50818471034.5,1058073963.8312482
1149,8,141901728080.0,7181864629.396351
1149,414,50818471034.5,2572000951.510037
1150,8,141901728080.0,15706473089.4805
1150,414,50818471034.5,5624871229.911511
1151,8,141901728080.0,71190681780.59161
1151,414,50818471034.5,25495120101.382362
1152,8,141901728080.0,6553631758.500455
1152,414,50818471034.5,2347015432.415125
1153,8,141901728080.0,2833019645.265322
1153,414,50818471034.5,1014573456.7934182
1154,8,141901728080.0,41383732198.29123
1154,414,50818471034.5,14820524206.954872
1155,8,141901728080.0,3167297987.4887033
1155,414,50818471034.5,1134286687.0802438
1156,8,141901728080.0,14593862091.38894
1156,414,50818471034.5,5226418085.300716
1157,8,141901728080.0,25219692703.455006
1157,414,50818471034.5,9031787283.287884
1158,8,141901728080.0,7807511187.916411
1158,414,50818471034.5,2796060249.04066
1159,8,141901728080.0,6849021683.148549
1159,414,50818471034.5,2452801771.5437746
1160,8,141901728080.0,17871061383.865173
1160,414,50818471034.5,6400063111.139273
1161,8,141901728080.0,3490495590.4971433
1161,414,50818471034.5,1250031634.299242
1162,8,141901728080.0,19859331352.94364
1162,414,50818471034.5,7112111098.147694
1163,8,141901728080.0,5500005047.505429
1163,414,50818471034.5,1969686000.1499317
1164,8,141901728080.0,15173754564.285664
1164,414,50818471034.5,5434091728.4321995
1165,8,141901728080.0,128497460544.16699
1165,414,50818471034.5,46018075784.032104
1166,8,141901728080.0,35204957830.64159
1166,414,50818471034.5,12607754352.213617
1167,8,141901728080.0,217628382973.29443
1167,414,50818471034.5,77938033779.11221
1168,8,141901728080.0,63660415212.892975
1168,414,50818471034.5,22798347915.233116
1169,8,141901728080.0,50433170121.43703
1169,414,50818471034.5,18061348721.203384
1170,8,141901728080.0,3171837832.915235
1170,414,50818471034.5,1135912516.493535
1171,8,141901728080.0,3668706361.806165
1171,414,50818471034.5,1313853259.6052969
1172,8,141901728080.0,1645638068.7846227
1172,414,50818471034.5,589343143.7611134
1173,8,141901728080.0,12116644677.67848
1173,414,50818471034.5,4339266088.717335
1174,8,141901728080.0,3272777398.816966
1174,414,50818471034.5,1172061437.8309848
1175,8,141901728080.0,1453367979.8995667
1175,414,50818471034.5,520486533.80286515
1176,8,141901728080.0,3915481276.584031
1176,414,50818471034.5,1402229377.559337
1177,8,141901728080.0,50249095735.45068
1177,414,50818471034.5,17995427192.41716
1178,8,141901728080.0,6980817323.436938
1178,414,50818471034.5,2500001005.96531
1179,8,141901728080.0,2473307570.7199636
1179,414,50818471034.5,885751786.4136361
1180,8,141901728080.0,92099140314.88885
1180,414,50818471034.5,32982949240.448254
1181,8,141901728080.0,72217522922.63252
1181,414,50818471034.5,25862856967.873653
1491,414,388600857419.0,6884602178.230498
1492,414,388600857419.0,36243467691.57904
1493,414,388600857419.0,3046507219515.843
1494,414,388600857419.0,1245694765330.5227
1495,414,388600857419.0,41659486330.700386
1496,414,388600857419.0,20698690431.326786
1497,414,388600857419.0,218735229128.86392
1498,414,388600857419.0,8226635854.482172
1499,414,388600857419.0,13456905419.662989
1500,414,388600857419.0,54713060320.047844
1501,414,388600857419.0,7060918659.465671
1502,414,388600857419.0,33794229790.60872
1503,414,388600857419.0,7843879328997.718
1504,414,388600857419.0,26569031214.445866
1505,414,388600857419.0,6701737588.389869
1506,414,388600857419.0,175493589651.72543
1507,414,388600857419.0,401028600124.1015
1508,414,388600857419.0,55330149686.81461
1509,414,388600857419.0,12353610268.339525
1510,414,388600857419.0,157567729230.97455
1511,414,388600857419.0,5548394033986.789
1512,414,388600857419.0,22571528320.987328
1513,414,388600857419.0,39554276926.80822
1514,414,388600857419.0,551942051375.9443
1515,414,388600857419.0,6404076892.536078
1516,414,388600857419.0,36473589085.13643
1517,414,388600857419.0,5288480009.16713
1518,414,388600857419.0,96262362397.96223
1519,414,388600857419.0,7754790546.748819
1520,414,388600857419.0,7013719609.064302
1521,414,388600857419.0,1454763316092.854
1522,414,388600857419.0,998072634531.0797
1523,414,388600857419.0,1253565258805.3416
1524,414,388600857419.0,20535620158.684273
1525,414,388600857419.0,6684118977.17227
1526,414,388600857419.0,146309161804.9975
1527,414,388600857419.0,11596128288.363497
1528,414,388600857419.0,16230846576.450308
1529,414,388600857419.0,4227413342.3461657
1530,414,388600857419.0,211240753152.48874
1531,414,388600857419.0,11704399799.115303
1532,414,388600857419.0,14515418537.905321
1533,414,388600857419.0,75061668896.99182
1534,414,388600857419.0,5101965589.296462
1535,414,388600857419.0,34974698819.84617
1536,414,388600857419.0,66549029042.58628
1537,414,388600857419.0,45011049976.90065
1538,414,388600857419.0,125858318206.84213
1539,414,388600857419.0,50100448969.90825
1540,414,388600857419.0,6507220596.153098
1541,414,388600857419.0,89789923666.61713
1542,414,388600857419.0,133110763553.02965
1543,414,388600857419.0,43159808297.57265
1544,414,388600857419.0,7716828403.767224
1545,414,388600857419.0,12632430629.069092
1546,414,388600857419.0,6742042073.907411
1547,414,388600857419.0,23414123774.82165
1548,414,388600857419.0,13655716233.291441
1549,414,388600857419.0,230423072079.03204
1550,414,388600857419.0,14189960006.593962
1551,414,388600857419.0,20377158188.117714
1552,414,388600857419.0,5689404483.232938
1553,414,388600857419.0,595812261678.5549
1554,414,388600857419.0,208206044704.6294
1568,414,140379000000.0,1745394911.989046
1568,414,74247642650.8,923154159.1683031
1569,414,140379000000.0,36546158028.81419
1569,414,74247642650.8,19329572668.155933
2160,8,134770038923.0,53361550116.45255
2160,414,88402958781.0,35002727261.43702
2161,8,134770038923.0,6856842984.703615
2161,414,88402958781.0,4497774227.778263
2162,8,134770038923.0,6317605959.799497
2162,414,88402958781.0,4144059493.65235
2163,8,134770038923.0,1948024335.4602747
2163,414,88402958781.0,1277814538.0700772
2164,8,134770038923.0,28088387608.420334
2164,414,88402958781.0,18424692845.793682
2165,8,134770038923.0,11843237960.773396
2165,414,88402958781.0,7768620426.666262
2166,8,134770038923.0,2177868792.5272365
2166,414,88402958781.0,1428581950.667925
2167,8,134770038923.0,87728719488.3262
2167,414,88402958781.0,57546012710.343254
2168,8,134770038923.0,345431446613.8769
2168,414,88402958781.0,226587171605.06995
2169,8,134770038923.0,2857575199.764535
2169,414,88402958781.0,1874438151.2178962
2170,8,134770038923.0,181553846325.3446
2170,414,88402958781.0,119090988779.7944
2171,8,134770038923.0,2819634472.114812
2171,414,88402958781.0,1849550775.5864627
2172,8,134770038923.0,97484460449.6652
2172,414,88402958781.0,63945330934.00358
2173,8,134770038923.0,3852844865.988672
2173,414,88402958781.0,2527289363.4184175
2174,8,134770038923.0,142346701382.55975
2174,414,88402958781.0,93372901540.25598
2175,8,134770038923.0,333456533322.3983
2175,414,88402958781.0,218732178206.14795
2176,8,134770038923.0,3356425205328.6626
