trade_id,year,region1,region2,industry1,industry2,amount
1704,2019,IT,IT,BUSIN,BUSIN,39386.94
3130,2019,IT,IT,CONST,CONST,32103.86
5922,2019,IT,IT,FABRI,MACHI,18126.78
5888,2019,IT,IT,FABRI,FABRI,17308.95
1718,2019,IT,IT,BUSIN,CONST,16979.31
8268,2019,IT,IT,HEALT,HEALT,14598.62
1856,2019,IT,IT,BUSIN,WHOLE,14484.68
1829,2019,IT,IT,BUSIN,RETA1,12427.98
18509,2019,IT,IT,SUPPO,WHOLE,12190.83
16139,2019,IT,IT,RECRE,RECRE,12140.44
1717,2019,IT,IT,BUSIN,COMPU,12102.79
7130,2019,IT,IT,FOOD5,HOTEL,11677.83
18497,2019,IT,IT,SUPPO,SUPPO,11300.70
1818,2019,IT,IT,BUSIN,PUBLI,10173.24
15979,2019,IT,IT,REALE,RETA1,10083.53
645,2019,IT,IT,AUXIL,FINAN,9383.12
1955,2019,IT,IT,CEMEN,CONST,8828.10
18431,2019,IT,IT,SUPPO,LANDT,8620.95
3939,2019,IT,IT,DISTR,DISTR,8408.07
9603,2019,IT,IT,LANDT,SUPPO,7760.66
1756,2019,IT,IT,BUSIN,HEALT,7625.58
10396,2019,IT,IT,MACHI,MACHI,7624.83
1758,2019,IT,IT,BUSIN,HOTEL,7562.09
1823,2019,IT,IT,BUSIN,REALE,7522.31
7121,2019,IT,IT,FOOD5,FOOD5,7461.69
9617,2019,IT,IT,LANDT,WHOLE,7269.36
2961,2019,IT,IT,COMPU,COMPU,7194.99
9531,2019,IT,IT,LANDT,LANDT,6510.24
6140,2019,IT,IT,FINAN,REALE,6414.11
5930,2019,IT,IT,FABRI,MOTO1,6277.96
20418,2019,IT,IT,WHOLE,WHOLE,6192.53
666,2019,IT,IT,AUXIL,INSUR,6145.49
14547,2019,IT,IT,POSTT,POSTT,6137.02
15913,2019,IT,IT,REALE,HOTEL,6046.67
1824,2019,IT,IT,BUSIN,RECRE,6032.59
6146,2019,IT,IT,FINAN,RETA1,5661.28
6062,2019,IT,IT,FINAN,FINAN,5570.81
18485,2019,IT,IT,SUPPO,RETA1,5502.73
14408,2019,IT,IT,PLAST,RUBBE,5283.41
1842,2019,IT,IT,BUSIN,SUPPO,5201.45
3618,2019,IT,IT,DAIRY,DAIRY,5092.64
15860,2019,IT,IT,REALE,BUSIN,4948.60
18972,2019,IT,IT,TEXTI,TEXTI,4865.55
9590,2019,IT,IT,LANDT,RETA1,4863.39
14892,2019,IT,IT,PRINT,BUSIN,4726.65
15775,2019,IT,IT,RAWMI,DAIRY,4705.29
5867,2019,IT,IT,FABRI,CONST,4685.78
1783,2019,IT,IT,BUSIN,MOTO1,4569.78
9895,2019,IT,IT,LEATH,LEATH,4525.96
20801,2019,IT,IT,WOODW,FURNI,4451.91
1077,2019,IT,IT,BEVER,HOTEL,4156.40
2949,2019,IT,IT,COMPU,BUSIN,4149.37
18980,2019,IT,IT,TEXTI,WEARI,4035.62
16994,2019,IT,IT,RUBBE,CONST,4027.09
1739,2019,IT,IT,BUSIN,FABRI,4005.88
6083,2019,IT,IT,FINAN,INSUR,3902.80
16981,2019,IT,IT,RUBBE,BUSIN,3807.86
17102,2019,IT,IT,RUBBE,RUBBE,3693.72
16334,2019,IT,IT,RENTI,CONST,3650.69
16320,2019,IT,IT,RENTI,BUSIN,3624.97
1832,2019,IT,IT,BUSIN,SALEM,3377.98
5900,2019,IT,IT,FABRI,FURNI,3336.49
8222,2019,IT,IT,HEALT,BUSIN,3263.93
16465,2019,IT,IT,RENTI,WHOLE,3235.19
1827,2019,IT,IT,BUSIN,RENTI,3121.33
