trade_id,factor_id,coefficient,impact_value
4668,414,50609680581.6,24129212560476.617
4669,414,50609680581.6,212222393667.6545
4670,414,50609680581.6,420593913826.6954
4671,414,50609680581.6,7367235196294.102
4672,414,50609680581.6,41610669199.1849
4673,414,50609680581.6,13654520322.567053
4674,414,50609680581.6,1237313305318.4863
4675,414,50609680581.6,2065188659.936029
4676,414,50609680581.6,28310080662605.617
4677,414,50609680581.6,3469999797383.2437
4678,414,50609680581.6,635906537913.1879
4679,414,50609680581.6,10125545136.875135
4680,414,50609680581.6,13459329879.26861
4681,414,50609680581.6,81080484187.37567
4682,414,50609680581.6,66925827.797127716
4683,414,50609680581.6,88241740.93439887
4684,414,50609680581.6,3735414461.024727
4685,414,50609680581.6,320001695876.31696
4686,414,50609680581.6,24178769063575.42
4687,414,50609680581.6,321064562509.0763
4688,414,50609680581.6,5775127730333.036
4689,414,50609680581.6,1444473798945.1458
4690,414,50609680581.6,43340695346.644936
4691,414,50609680581.6,354104733.63844955
4692,414,50609680581.6,9046748416583.652
4693,414,50609680581.6,92932155868.84235
4694,414,50609680581.6,2163108489.5004687
4695,414,50609680581.6,1237588970.8131347
4696,414,50609680581.6,4451219515.8344145
4697,414,50609680581.6,6789686768948.328
4698,414,50609680581.6,1995923229049.796
4699,414,50609680581.6,7107965423695.991
4700,414,50609680581.6,352106090473.10754
4701,414,50609680581.6,64860234.97055495
4702,414,50609680581.6,94756746842.40411
4703,414,50609680581.6,16738916430.250235
4704,414,50609680581.6,561352673045.8242
4705,414,50609680581.6,154512125240.71912
4706,414,50609680581.6,129179862580.34892
4707,414,50609680581.6,10441381067917.646
4708,414,50609680581.6,334533358.16656166
4709,414,50609680581.6,10598352648.025112
4710,414,50609680581.6,87550601481.88472
4711,414,50609680581.6,144707232219.86172
4712,414,50609680581.6,24512983682.651344
4713,414,50609680581.6,7342125159.141899
4714,414,50609680581.6,12122813579.873861
4715,414,50609680581.6,28965892592.74808
4716,414,50609680581.6,39441072114.47873
4717,414,50609680581.6,331502317.79658765
4718,414,50609680581.6,1354678461592.3396
4719,414,50609680581.6,307198030.8402762
4720,414,50609680581.6,12784699159209.174
4721,414,50609680581.6,2907813110325.287
4722,414,50609680581.6,203372061308.4978
4723,414,50609680581.6,1253774427450.0347
4724,414,50609680581.6,52386648600.830925
4725,414,50609680581.6,533736036192.3181
4726,414,50609680581.6,712754879455.4425
4727,414,50609680581.6,519761465698.6949
4728,414,50609680581.6,13153523496724.785
4729,414,50609680581.6,249239922758.2522
4730,414,50609680581.6,40928608669.24643
4731,414,50609680581.6,248291921414.3068
4732,414,50609680581.6,4172671937484.7334
4733,414,50609680581.6,3870728940975.4
4734,414,50609680581.6,920883382139.846
4735,414,50609680581.6,26523409117377.344
4736,414,50609680581.6,474003790287.1389
4737,414,50609680581.6,29824631837197.055
4738,414,50609680581.6,496030987109.32385
4739,414,50609680581.6,1526012447.7289984
4740,414,50609680581.6,226136089385.4824
4741,414,50609680581.6,462552269423.9875
4742,414,50609680581.6,50234236336.82431
4743,414,50609680581.6,804392775185.568
4744,414,50609680581.6,20680844336926.73
4745,414,50609680581.6,78250240659.96451
4746,414,50609680581.6,107203579.28914589
4747,414,50609680581.6,990109728040.2524
4748,414,50609680581.6,177483842225.53766
4749,414,50609680581.6,239604347741.24512
4750,414,50609680581.6,35253136562.72269
4751,414,50609680581.6,11333926081859.559
4752,414,50609680581.6,84828135360.55865
4753,414,50609680581.6,557926628283.5814
4754,414,50609680581.6,228720403358.75363
4755,414,50609680581.6,351824822638.64795
4756,414,50609680581.6,325990989699.25635
4757,414,50609680581.6,599414281609.5554
4758,414,50609680581.6,672604172627.7482
4759,414,50609680581.6,4819398415319.685
4760,414,50609680581.6,2893077202864.442
4761,414,50609680581.6,277016821760.2674
4762,414,50609680581.6,79942583896.75276
4763,414,50609680581.6,4432389740.261339
4764,414,50609680581.6,54874353997.766365
4765,414,50609680581.6,2793298389687.496
4766,414,50609680581.6,25222555159.627857
4767,414,50609680581.6,3694365826.363072
4768,414,50609680581.6,126081609669.30463
4769,414,50609680581.6,239175969150.39673
4770,414,50609680581.6,17137010254.233582
4771,414,50609680581.6,487804078.63073975
4772,414,50609680581.6,2845836072.38813
4773,414,50609680581.6,221327256538.76984
4774,414,50609680581.6,6107540665.277174
4775,414,50609680581.6,34446470480.355156
4776,414,50609680581.6,383456300147.34595
4777,414,50609680581.6,2394864317504.8315
4778,414,50609680581.6,5650077707.342182
4779,414,50609680581.6,4436454580.13353
4780,414,50609680581.6,13278304777.908707
4781,414,50609680581.6,500752947420.5452
4782,414,50609680581.6,477751620.51990235
4783,414,50609680581.6,263281037312.4492
4784,414,50609680581.6,77155663096.54623
4785,414,50609680581.6,6892001238170.173
4786,414,50609680581.6,6529062778772.099
4787,414,50609680581.6,1814560159977.9634
4788,414,50609680581.6,293535277519.39496
4789,414,50609680581.6,1439618712590.943
4790,414,50609680581.6,20406282506.207256
4791,414,50609680581.6,22765457335813.55
4792,414,50609680581.6,3436922343756.616
4793,414,50609680581.6,996898435670.8972
4794,414,50609680581.6,1428778043794.257
4795,414,50609680581.6,740865138972.28
4796,414,50609680581.6,3327418849224.6826
