trade_id,factor_id,coefficient,impact_value
957,414,50609680581.6,577839169.1251823
11301,414,50609680581.6,1141698933.7933445
11302,414,50609680581.6,2104811105.9999425
11303,414,50609680581.6,2646594738.282962
11304,414,50609680581.6,50876879372.75361
11305,414,50609680581.6,714315144.4538568
11306,414,50609680581.6,1089124698.03835
11307,414,50609680581.6,43611313239.605965
11308,414,50609680581.6,161427625034.3753
11309,414,50609680581.6,530199349.21949655
11310,414,50609680581.6,15898604584.994307
11311,414,50609680581.6,3173968721.8524637
11312,414,50609680581.6,692874397.8524686
11313,414,50609680581.6,2800144312.645086
11314,414,50609680581.6,585331760.29274
11315,414,50609680581.6,15525110856.286865
11316,414,50609680581.6,118475130741.44385
11317,414,50609680581.6,1971531576.8489661
11318,414,50609680581.6,1430824951.859771
11319,414,50609680581.6,751067852.8657525
11320,414,50609680581.6,153868953036.14407
11321,414,50609680581.6,2683954736.453706
11322,414,50609680581.6,6321962183.524357
11323,414,50609680581.6,3988399188.062434
11324,414,50609680581.6,27606234715.98224
11325,414,50609680581.6,153098555826.73383
11326,414,50609680581.6,19585949058.889843
11327,414,50609680581.6,2309434440.4944334
11328,414,50609680581.6,8426144475.782079
11329,414,50609680581.6,1903263701.604865
11330,414,50609680581.6,90217387884.30408
11331,414,50609680581.6,5978562680.941232
11332,414,50609680581.6,27282558661.124146
11333,414,50609680581.6,37986162675.5956
11334,414,50609680581.6,862892820.7438804
11335,414,50609680581.6,3565061925.300024
11336,414,50609680581.6,31716698580.622288
11337,414,50609680581.6,1115770129.8580885
11338,414,50609680581.6,1679079749.7367692
11339,414,50609680581.6,2823402554.9963727
11340,414,50609680581.6,217406054420.68677
11341,414,50609680581.6,3598040973.458667
11342,414,50609680581.6,36045149649.27261
11343,414,50609680581.6,42875440897.6596
11344,414,50609680581.6,78667844605.69485
11345,414,50609680581.6,1963917263.7566304
11346,414,50609680581.6,47038465897.252975
11347,414,50609680581.6,125784161999.92636
11348,414,50609680581.6,37836384377.22924
11349,414,50609680581.6,1411453718.8766296
11350,414,50609680581.6,9364008925.110273
11351,414,50609680581.6,9384140010.633156
11352,414,50609680581.6,2890939501.37105
11353,414,50609680581.6,17444268337.760677
11354,414,50609680581.6,3694383388.6965623
11355,414,50609680581.6,3493012066.1853952
11356,414,50609680581.6,1664138711.5234685
11357,414,50609680581.6,1537824763.0276961
11358,414,50609680581.6,2256564237.2119126
11359,414,50609680581.6,671519902.9459797
11360,414,50609680581.6,3203842498.144683
11361,414,50609680581.6,165598237821.1053
11362,414,50609680581.6,21762684667.029205
11363,414,50609680581.6,688484627.4941393
11364,414,50609680581.6,6226230854.439401
11365,414,50609680581.6,68665908061.45466
