trade_id,year,region1,region2,industry1,industry2,amount
11153,2019,JP,JP,MOTO1,MOTO1,167816.66
8138,2019,JP,JP,HEALT,HEALT,85612.68
771,2019,JP,JP,BASIC,BASIC,57112.12
793,2019,JP,JP,BASIC,CONST,43100.73
5818,2019,JP,JP,FABRI,CONST,39530.86
19809,2019,JP,JP,WHOLE,WHOLE,38611.31
14030,2019,JP,JP,PLAST,RUBBE,32871.22
14162,2019,JP,JP,POSTT,POSTT,32560.00
6081,2019,JP,JP,FINAN,REALE,31560.55
19678,2019,JP,JP,WHOLE,CONST,31191.31
3216,2019,JP,JP,CONST,REALE,30016.93
11199,2019,JP,JP,MOTO1,SALEM,29567.76
16323,2019,JP,JP,RETA1,HOTEL,29256.17
1600,2019,JP,JP,BUSIN,BUSIN,27187.10
6936,2019,JP,JP,FOOD5,HOTEL,24887.86
10180,2019,JP,JP,MACHI,MACHI,24304.72
1613,2019,JP,JP,BUSIN,CONST,21461.82
977,2019,JP,JP,BEVER,HOTEL,21414.63
813,2019,JP,JP,BASIC,FABRI,20340.52
16830,2019,JP,JP,SALEM,MOTO1,20016.75
15812,2019,JP,JP,RECRE,RECRE,19898.96
11986,2019,JP,JP,NONME,CONST,19362.58
6926,2019,JP,JP,FOOD5,FOOD5,18415.20
842,2019,JP,JP,BASIC,MACHI,17152.45
19716,2019,JP,JP,WHOLE,HOTEL,16615.30
19782,2019,JP,JP,WHOLE,RETA1,16267.25
15654,2019,JP,JP,REALE,RETA1,16040.24
8193,2019,JP,JP,HEALT,PUBLI,15200.45
12759,2019,JP,JP,PADDY,PROCE,15061.17
16607,2019,JP,JP,RUBBE,CONST,14635.63
1705,2019,JP,JP,BUSIN,PUBLI,14495.60
12263,2019,JP,JP,OFFIC,OFFIC,14492.79
20273,2019,JP,JP,WOODW,WOODW,13905.83
1716,2019,JP,JP,BUSIN,RETA1,13684.32
1649,2019,JP,JP,BUSIN,HEALT,13520.76
19730,2019,JP,JP,WHOLE,MACHI,13134.99
20142,2019,JP,JP,WOODW,CONST,13125.16
19657,2019,JP,JP,WHOLE,BASIC,13050.99
8090,2019,JP,JP,HEALT,BUSIN,13001.31
6003,2019,JP,JP,FINAN,FINAN,12879.37
9390,2019,JP,JP,KEROS,PUBLI,12858.47
19714,2019,JP,JP,WHOLE,HEALT,12738.20
16713,2019,JP,JP,RUBBE,RUBBE,11904.88
1711,2019,JP,JP,BUSIN,RECRE,11880.52
7537,2019,JP,JP,FURNI,FURNI,11847.91
1710,2019,JP,JP,BUSIN,REALE,11768.02
16313,2019,JP,JP,RETA1,FOOD5,11671.35
13227,2019,JP,JP,PAPER,PAPER,11441.24
16321,2019,JP,JP,RETA1,HEALT,11389.01
850,2019,JP,JP,BASIC,MOTO1,11284.91
8199,2019,JP,JP,HEALT,RECRE,11267.68
2957,2019,JP,JP,COMPU,COMPU,11265.05
1743,2019,JP,JP,BUSIN,WHOLE,11014.26
19738,2019,JP,JP,WHOLE,MOTO1,10941.73
16284,2019,JP,JP,RETA1,CONST,10714.20
19665,2019,JP,JP,WHOLE,BUSIN,10592.99
14638,2019,JP,JP,PRINT,PRINT,10377.28
1612,2019,JP,JP,BUSIN,COMPU,10299.10
8143,2019,JP,JP,HEALT,INSUR,10240.02
15648,2019,JP,JP,REALE,REALE,10205.95
8204,2019,JP,JP,HEALT,RETA1,10203.68
3276,2019,JP,JP,COPP1,COPP1,10195.17
19677,2019,JP,JP,WHOLE,COMPU,9888.83
4699,2019,JP,JP,ELEC2,ELEC2,9838.50
16667,2019,JP,JP,RUBBE,MOTO1,9792.62
8452,2019,JP,JP,HOTEL,HEALT,9530.68
11556,2019,JP,JP,NATUR,ELEC2,9233.26
9439,2019,JP,JP,LANDT,CONST,9222.24
8231,2019,JP,JP,HEALT,WHOLE,9154.52
8102,2019,JP,JP,HEALT,COMPU,9095.77
19706,2019,JP,JP,WHOLE,FOOD5,9027.86
1634,2019,JP,JP,BUSIN,FINAN,8194.89
13239,2019,JP,JP,PAPER,PRINT,7965.49
7668,2019,JP,JP,GASDI,CONST,7908.16
10188,2019,JP,JP,MACHI,MOTO1,7726.00
15181,2019,JP,JP,RADIO,OFFIC,7696.51
649,2019,JP,JP,AUXIL,INSUR,7663.29
18911,2019,JP,JP,TRANS,TRANS,7615.04
14076,2019,JP,JP,POSTT,COMPU,7604.87
7422,2019,JP,JP,FOUND,MOTO1,7483.29
8075,2019,JP,JP,HEALT,93197,7476.76
1651,2019,JP,JP,BUSIN,HOTEL,7473.16
15199,2019,JP,JP,RADIO,RADIO,7404.92
15587,2019,JP,JP,REALE,HEALT,7398.77
19784,2019,JP,JP,WHOLE,RUBBE,7322.33
630,2019,JP,JP,AUXIL,FINAN,7202.16
15589,2019,JP,JP,REALE,HOTEL,7143.93
3756,2019,JP,JP,DIST1,DIST1,7127.49
14168,2019,JP,JP,POSTT,PUBLI,7064.94
5878,2019,JP,JP,FABRI,MOTO1,6899.19
823,2019,JP,JP,BASIC,FURNI,6889.81
17151,2019,JP,JP,SEACO,SEACO,6830.36
16876,2019,JP,JP,SALEM,SALEM,6823.61
340,2019,JP,JP,ALUM1,ALUM1,6725.51
19777,2019,JP,JP,WHOLE,RECRE,6484.07
19773,2019,JP,JP,WHOLE,RADIO,6450.29
14174,2019,JP,JP,POSTT,RECRE,6423.12
11292,2019,JP,JP,MOTOR,LANDT,6353.05
7414,2019,JP,JP,FOUND,MACHI,6223.80
906,2019,JP,JP,BASIC,TRANS,6151.25
14536,2019,JP,JP,PRINT,BUSIN,6081.65
15680,2019,JP,JP,REALE,WHOLE,6016.80
11145,2019,JP,JP,MOTO1,MACHI,5990.16
6307,2019,JP,JP,FISHF,FISH5,5948.37
14730,2019,JP,JP,PROCE,FOOD5,5890.05
10146,2019,JP,JP,MACHI,ELECT,5888.60
19765,2019,JP,JP,WHOLE,POSTT,5818.58
8123,2019,JP,JP,HEALT,FINAN,5761.50
15420,2019,JP,JP,RAWMI,DAIRY,5674.80
8203,2019,JP,JP,HEALT,RESEA,5674.47
16659,2019,JP,JP,RUBBE,MACHI,5657.62
19671,2019,JP,JP,WHOLE,CHEM1,5640.32
1810,2019,JP,JP,CATTL,MEATC,5637.93
15975,2019,JP,JP,RENTI,CONST,5610.69
16379,2019,JP,JP,RETA1,PUBLI,5609.54
10128,2019,JP,JP,MACHI,CONST,5576.10
16390,2019,JP,JP,RETA1,RETA1,5550.56
1620,2019,JP,JP,BUSIN,EDUCA,5394.28
5982,2019,JP,JP,FINAN,CONST,5352.77
14739,2019,JP,JP,PROCE,HOTEL,5276.83
11447,2019,JP,JP,NAPHT,PLAST,5205.39
3211,2019,JP,JP,CONST,PUBLI,5181.99
19116,2019,JP,JP,VEGET,HOTEL,5164.83
19785,2019,JP,JP,WHOLE,SALEM,5112.15
1699,2019,JP,JP,BUSIN,POSTT,5087.00
822,2019,JP,JP,BASIC,FOUND,5066.38
6087,2019,JP,JP,FINAN,RETA1,5063.99
16263,2019,JP,JP,RETA1,BEVER,4994.97
4693,2019,JP,JP,ELEC2,DIST1,4954.32
5796,2019,JP,JP,FABRI,BASIC,4926.24
19658,2019,JP,JP,WHOLE,BEVER,4910.43
19710,2019,JP,JP,WHOLE,FURNI,4907.54
5870,2019,JP,JP,FABRI,MACHI,4901.05
19698,2019,JP,JP,WHOLE,FABRI,4860.87
19757,2019,JP,JP,WHOLE,PAPER,4813.49
16639,2019,JP,JP,RUBBE,FURNI,4783.73
11252,2019,JP,JP,MOTOR,CONST,4743.18
19771,2019,JP,JP,WHOLE,PUBLI,4686.63
16385,2019,JP,JP,RETA1,RECRE,4579.62
6878,2019,JP,JP,FOOD5,BEVER,4525.89
