trade_id,year,region1,region2,industry1,industry2,amount,total_resources_value,resources_count,unique_resources_factors,emission/air,natural_resource/water,resources_Water_Consumption,resources_Crops,resources_intensity
11153,2019,JP,JP,MOTO1,MOTO1,167816.66,2792157.208,66.0,66.0,305233.964,2486923.244,2486923.244,1270316.967,16.638141
8138,2019,JP,JP,HEALT,HEALT,85612.68,1654994.185,66.0,66.0,309849.98,1345144.205,1345144.205,939264.682,19.331181
6936,2019,JP,JP,FOOD5,HOTEL,24887.86,1139336.608,66.0,66.0,41213.031,1098123.577,1098123.577,489074.037,45.77881
771,2019,JP,JP,BASIC,BASIC,57112.12,949704.987,66.0,66.0,131529.28,818175.707,818175.707,483745.627,16.628782
6926,2019,JP,JP,FOOD5,FOOD5,18415.2,916547.362,66.0,66.0,59687.293,856860.068,856860.068,424580.291,49.771241
793,2019,JP,JP,BASIC,CONST,43100.73,857828.112,66.0,66.0,185867.139,671960.973,671960.973,443000.43,19.902867
5818,2019,JP,JP,FABRI,CONST,39530.86,747755.584,66.0,66.0,176992.073,570763.511,570763.511,423920.006,18.915743
19678,2019,JP,JP,WHOLE,CONST,31191.31,657274.161,66.0,66.0,101692.863,555581.298,555581.298,352731.256,21.072349
19809,2019,JP,JP,WHOLE,WHOLE,38611.31,646709.161,66.0,66.0,81098.112,565611.049,565611.049,310653.254,16.749216
14030,2019,JP,JP,PLAST,RUBBE,32871.22,641037.685,66.0,66.0,96246.594,544791.09,544791.09,336339.681,19.501487
6081,2019,JP,JP,FINAN,REALE,31560.55,613395.899,66.0,66.0,100572.674,512823.225,512823.225,315418.099,19.435526
16323,2019,JP,JP,RETA1,HOTEL,29256.17,586630.797,66.0,66.0,132033.786,454597.011,454597.011,318868.632,20.051524
1600,2019,JP,JP,BUSIN,BUSIN,27187.1,530669.82,66.0,66.0,81092.329,449577.491,449577.491,274529.559,19.519177
11199,2019,JP,JP,MOTO1,SALEM,29567.76,505772.319,66.0,66.0,78503.552,427268.767,427268.767,246297.674,17.105534
14162,2019,JP,JP,POSTT,POSTT,32560.0,493233.057,66.0,66.0,25659.127,467573.93,467573.93,226136.625,15.148435
3216,2019,JP,JP,CONST,REALE,30016.93,473320.002,66.0,66.0,59696.851,413623.151,413623.151,225938.824,15.768435
10180,2019,JP,JP,MACHI,MACHI,24304.72,454628.915,66.0,66.0,56220.403,398408.512,398408.512,242255.123,18.705376
977,2019,JP,JP,BEVER,HOTEL,21414.63,437861.673,66.0,66.0,84372.793,353488.88,353488.88,240646.302,20.446847
15812,2019,JP,JP,RECRE,RECRE,19898.96,417161.954,66.0,66.0,62427.578,354734.377,354734.377,207374.536,20.964008
11986,2019,JP,JP,NONME,CONST,19362.58,385776.976,66.0,66.0,91091.372,294685.604,294685.604,211830.59,19.923842
813,2019,JP,JP,BASIC,FABRI,20340.52,380317.577,66.0,66.0,55026.693,325290.884,325290.884,178950.399,18.697535
1613,2019,JP,JP,BUSIN,CONST,21461.82,364633.738,66.0,66.0,53805.738,310828.0,310828.0,186700.775,16.98988
12759,2019,JP,JP,PADDY,PROCE,15061.17,342145.256,66.0,66.0,73667.009,268478.246,268478.246,187985.985,22.717044
16830,2019,JP,JP,SALEM,MOTO1,20016.75,335907.246,66.0,66.0,33182.56,302724.686,302724.686,151483.323,16.781308
19716,2019,JP,JP,WHOLE,HOTEL,16615.3,313499.295,66.0,66.0,25683.248,287816.046,287816.046,149667.096,18.868109
19782,2019,JP,JP,WHOLE,RETA1,16267.25,313422.271,66.0,66.0,70088.191,243334.08,243334.08,179189.304,19.267072
8193,2019,JP,JP,HEALT,PUBLI,15200.45,313056.747,66.0,66.0,72037.562,241019.185,241019.185,166058.657,20.595229
16607,2019,JP,JP,RUBBE,CONST,14635.63,287962.755,66.0,66.0,65272.903,222689.852,222689.852,141616.31,19.67546
15654,2019,JP,JP,REALE,RETA1,16040.24,282854.271,66.0,66.0,52684.176,230170.095,230170.095,162123.589,17.634042
842,2019,JP,JP,BASIC,MACHI,17152.45,280361.263,66.0,66.0,19417.224,260944.039,260944.039,130140.663,16.34526
12263,2019,JP,JP,OFFIC,OFFIC,14492.79,269041.071,66.0,66.0,49172.625,219868.447,219868.447,142728.775,18.563787
8090,2019,JP,JP,HEALT,BUSIN,13001.31,267545.406,66.0,66.0,36191.077,231354.329,231354.329,135306.29,20.578342
1716,2019,JP,JP,BUSIN,RETA1,13684.32,257335.889,66.0,66.0,25443.434,231892.454,231892.454,123023.276,18.805165
19714,2019,JP,JP,WHOLE,HEALT,12738.2,253891.889,66.0,66.0,47640.083,206251.807,206251.807,135194.851,19.931536
1705,2019,JP,JP,BUSIN,PUBLI,14495.6,248889.488,66.0,66.0,31213.92,217675.568,217675.568,109208.713,17.170002
20273,2019,JP,JP,WOODW,WOODW,13905.83,245724.625,66.0,66.0,40145.148,205579.477,205579.477,137752.64,17.670619
6003,2019,JP,JP,FINAN,FINAN,12879.37,241615.558,66.0,66.0,59806.714,181808.844,181808.844,143517.979,18.759889
19657,2019,JP,JP,WHOLE,BASIC,13050.99,241032.466,66.0,66.0,45587.772,195444.693,195444.693,124330.844,18.46852
6878,2019,JP,JP,FOOD5,BEVER,4525.89,237699.06,66.0,66.0,10577.287,227121.772,227121.772,109913.732,52.519849
9390,2019,JP,JP,KEROS,PUBLI,12858.47,231049.343,66.0,66.0,51069.261,179980.082,179980.082,131841.298,17.96865
13227,2019,JP,JP,PAPER,PAPER,11441.24,228233.153,66.0,66.0,45005.828,183227.325,183227.325,114921.06,19.948288
19738,2019,JP,JP,WHOLE,MOTO1,10941.73,226516.482,66.0,66.0,47618.661,178897.821,178897.821,118731.364,20.702072
1711,2019,JP,JP,BUSIN,RECRE,11880.52,225475.235,66.0,66.0,48356.818,177118.417,177118.417,117065.41,18.978566
15648,2019,JP,JP,REALE,REALE,10205.95,224680.676,66.0,66.0,49984.356,174696.319,174696.319,125444.296,22.014675
16713,2019,JP,JP,RUBBE,RUBBE,11904.88,224225.689,66.0,66.0,35716.185,188509.505,188509.505,112228.888,18.834771
16321,2019,JP,JP,RETA1,HEALT,11389.01,220177.457,66.0,66.0,41925.034,178252.422,178252.422,119561.47,19.332449
7537,2019,JP,JP,FURNI,FURNI,11847.91,219643.326,66.0,66.0,26239.892,193403.434,193403.434,108734.431,18.538571
850,2019,JP,JP,BASIC,MOTO1,11284.91,219113.763,66.0,66.0,45461.359,173652.403,173652.403,115510.451,19.416527
20142,2019,JP,JP,WOODW,CONST,13125.16,218385.579,66.0,66.0,45166.402,173219.177,173219.177,108597.743,16.638698
14638,2019,JP,JP,PRINT,PRINT,10377.28,218174.391,66.0,66.0,52280.491,165893.9,165893.9,118818.525,21.024237
19730,2019,JP,JP,WHOLE,MACHI,13134.99,217614.184,66.0,66.0,14575.13,203039.054,203039.054,93305.75,16.567518
2957,2019,JP,JP,COMPU,COMPU,11265.05,217388.675,66.0,66.0,46925.638,170463.037,170463.037,117762.893,19.297622
1710,2019,JP,JP,BUSIN,REALE,11768.02,216349.286,66.0,66.0,27509.736,188839.55,188839.55,107236.055,18.38451
1649,2019,JP,JP,BUSIN,HEALT,13520.76,214237.178,66.0,66.0,11960.442,202276.736,202276.736,93981.658,15.845054
1743,2019,JP,JP,BUSIN,WHOLE,11014.26,206174.028,66.0,66.0,37408.773,168765.255,168765.255,111762.142,18.718827
16313,2019,JP,JP,RETA1,FOOD5,11671.35,200819.266,66.0,66.0,29148.65,171670.616,171670.616,103734.544,17.206173
8204,2019,JP,JP,HEALT,RETA1,10203.68,195777.349,66.0,66.0,50369.864,145407.484,145407.484,106575.995,19.186935
1612,2019,JP,JP,BUSIN,COMPU,10299.1,195463.246,66.0,66.0,46063.114,149400.133,149400.133,102274.663,18.978673
19665,2019,JP,JP,WHOLE,BUSIN,10592.99,195132.877,66.0,66.0,33278.788,161854.089,161854.089,97160.228,18.420944
4699,2019,JP,JP,ELEC2,ELEC2,9838.5,194224.67,66.0,66.0,37239.085,156985.585,156985.585,103556.329,19.741289
8143,2019,JP,JP,HEALT,INSUR,10240.02,191339.701,66.0,66.0,24981.732,166357.969,166357.969,97688.085,18.685481
16284,2019,JP,JP,RETA1,CONST,10714.2,186764.287,66.0,66.0,30847.101,155917.186,155917.186,94766.559,17.431473
11556,2019,JP,JP,NATUR,ELEC2,9233.26,184038.609,66.0,66.0,36987.079,147051.529,147051.529,96269.134,19.932138
6995,2019,JP,JP,FOOD5,RECRE,3527.1,183843.072,66.0,66.0,7141.086,176701.985,176701.985,78005.778,52.123011
8102,2019,JP,JP,HEALT,COMPU,9095.77,181420.609,66.0,66.0,38287.009,143133.6,143133.6,94807.349,19.945602
