trade_id,year,region1,region2,industry1,industry2,amount
64039,2019,JP,TW,PRIVA,REALE,8819.83
17263,2019,JP,CN,RADIO,OFFIC,8589.28
69310,2019,JP,WA,BASIC,CONST,7483.04
13759,2019,JP,CN,CHEM1,PLAST,7469.89
70804,2019,JP,WA,ELECT,CONST,5838.89
16772,2019,JP,CN,PLAST,RUBBE,5714.62
17278,2019,JP,CN,RADIO,RADIO,4781.67
14317,2019,JP,CN,ELECT,CONST,4633.00
13286,2019,JP,CN,BASIC,CONST,3689.41
13677,2019,JP,CN,CHEM1,CHEM1,3595.21
82346,2019,JP,WL,TRANS,TRANS,3468.41
63248,2019,JP,TW,BUSIN,CONST,3035.07
43898,2019,JP,KR,CHEM1,PLAST,2791.95
70046,2019,JP,WA,CHEM1,RUBBE,2750.28
17612,2019,JP,CN,RUBBE,CONST,2585.82
13497,2019,JP,CN,BUSIN,CONST,2354.18
43384,2019,JP,KR,BASIC,CONST,2261.90
13302,2019,JP,CN,BASIC,FABRI,2197.26
70058,2019,JP,WA,CHEM1,TEXTI,2146.23
13779,2019,JP,CN,CHEM1,RUBBE,2059.83
14441,2019,JP,CN,FABRI,CONST,2043.56
17228,2019,JP,CN,RADIO,ELECT,2025.95
17700,2019,JP,CN,RUBBE,RUBBE,1946.74
63622,2019,JP,TW,HOTEL,RESEA,1931.55
70033,2019,JP,WA,CHEM1,PUBLI,1900.46
73985,2019,JP,WA,PLAST,LEATH,1871.38
76079,2019,JP,WA,TEXTI,TEXTI,1830.56
76366,2019,JP,WA,TRANS,TRANS,1809.98
18067,2019,JP,CN,TEXTI,TEXTI,1780.45
14109,2019,JP,CN,COPP1,COPP1,1727.64
13715,2019,JP,CN,CHEM1,HEALT,1676.74
15848,2019,JP,CN,MEDIC,CONST,1535.76
14362,2019,JP,CN,ELECT,MOTO1,1506.83
69963,2019,JP,WA,CHEM1,FABRI,1479.28
74247,2019,JP,WA,PREC1,PREC1,1460.11
13756,2019,JP,CN,CHEM1,PFERT,1451.72
5221,2019,JP,BE,MOTO1,MOTO1,1408.84
13788,2019,JP,CN,CHEM1,TEXTI,1366.07
43366,2019,JP,KR,BASIC,BASIC,1352.76
46766,2019,JP,KR,RADIO,OFFIC,1352.45
13684,2019,JP,CN,CHEM1,CONST,1348.03
13658,2019,JP,CN,CHEM1,ALUM1,1338.16
35411,2019,JP,ID,CONST,DISTR,1293.90
15877,2019,JP,CN,MEDIC,HEALT,1289.76
22480,2019,JP,DE,RADIO,MACHI,1280.27
43400,2019,JP,KR,BASIC,FABRI,1256.05
36377,2019,JP,ID,MOTO1,MOTO1,1236.22
70021,2019,JP,WA,CHEM1,PAPER,1199.64
73187,2019,JP,WA,MOTO1,MOTO1,1166.74
14371,2019,JP,CN,ELECT,OFFIC,1146.47
50008,2019,JP,MX,MOTO1,MOTO1,1124.57
67132,2019,JP,US,PLAST,RUBBE,1102.36
17251,2019,JP,CN,RADIO,MACHI,1029.14
64053,2019,JP,TW,PRIVA,TEXTI,1017.94
67876,2019,JP,US,RUBBE,MOTO1,1007.09
82493,2019,JP,WM,BASIC,FABRI,990.53
63565,2019,JP,TW,HOTEL,COMPU,989.39
43917,2019,JP,KR,CHEM1,RUBBE,957.60
82242,2019,JP,WL,TRANS,CONST,952.33
64033,2019,JP,TW,PRIVA,PRIVA,950.43
38747,2019,JP,IN,BASIC,CONST,948.30
15052,2019,JP,CN,GLASS,GLASS,942.50
16307,2019,JP,CN,NONME,CONST,897.37
17272,2019,JP,CN,RADIO,POSTT,894.97
46779,2019,JP,KR,RADIO,RADIO,890.82
70003,2019,JP,WA,CHEM1,MOTO1,873.90
76340,2019,JP,WA,TRANS,RAILW,866.05
18073,2019,JP,CN,TEXTI,WEARI,842.40
14123,2019,JP,CN,COPP1,ELECT,836.60
46278,2019,JP,KR,PLAST,RUBBE,833.10
64015,2019,JP,TW,PRIVA,MEDIC,826.95
43813,2019,JP,KR,CHEM1,CHEM1,826.77
63140,2019,JP,TW,AIRTR,POSTT,826.51
70511,2019,JP,WA,COPP1,ELECT,822.39
13748,2019,JP,CN,CHEM1,OFFIC,799.20
21811,2019,JP,DE,MOTO1,MOTO1,795.90
13268,2019,JP,CN,BASIC,BASIC,794.26
10049,2019,JP,CA,MOTO1,MOTO1,772.06
14482,2019,JP,CN,FABRI,MACHI,771.01
82213,2019,JP,WL,TRANS,93197,750.95
79400,2019,JP,WF,TRANS,AIRTR,741.92
43854,2019,JP,KR,CHEM1,HEALT,741.63
15865,2019,JP,CN,MEDIC,ELECT,716.81
16471,2019,JP,CN,OFFIC,OFFIC,716.11
35019,2019,JP,ID,BASIC,CONST,711.84
69337,2019,JP,WA,BASIC,FURNI,707.36
15195,2019,JP,CN,HEAVY,STEAM,693.85
76318,2019,JP,WA,TRANS,OFFIC,689.95
50436,2019,JP,MX,RADIO,RADIO,682.07
69380,2019,JP,WA,BASIC,OFFIC,678.62
13729,2019,JP,CN,CHEM1,MACHI,678.25
15921,2019,JP,CN,MEDIC,RADIO,664.72
25766,2019,JP,ES,MOTO1,MOTO1,640.88
70035,2019,JP,WA,CHEM1,RADIO,637.57
45780,2019,JP,KR,MOTO1,MOTO1,630.36
2657,2019,JP,AU,HEAVY,WOODW,622.58
63288,2019,JP,TW,BUSIN,MOTO1,583.85
70820,2019,JP,WA,ELECT,ELECT,581.07
63602,2019,JP,TW,HOTEL,MEMBE,570.33
14345,2019,JP,CN,ELECT,HEALT,561.71
14306,2019,JP,CN,ELECT,BUSIN,554.21
15893,2019,JP,CN,MEDIC,MEDIC,552.55
82278,2019,JP,WL,TRANS,LEATH,548.29
63326,2019,JP,TW,BUSIN,TRANS,547.18
63556,2019,JP,TW,HOTEL,BEVER,544.84
46888,2019,JP,KR,RUBBE,MOTO1,537.35
13746,2019,JP,CN,CHEM1,NONME,530.80
75308,2019,JP,WA,RUBBE,CONST,520.22
70071,2019,JP,WA,CHEM1,WOODW,514.90
43879,2019,JP,KR,CHEM1,MOTOR,513.42
63318,2019,JP,TW,BUSIN,RUBBE,507.44
15828,2019,JP,CN,MEDIC,BASIC,505.72
70898,2019,JP,WA,ELECT,RADIO,505.40
48819,2019,JP,MX,BASIC,MOTO1,500.86
65038,2019,JP,US,BASIC,FABRI,496.93
17662,2019,JP,CN,RUBBE,MOTO1,494.48
63970,2019,JP,TW,PRIVA,CHEM1,486.03
84270,2019,JP,WM,MOTO1,PUBLI,485.01
65018,2019,JP,US,BASIC,BASIC,483.44
39202,2019,JP,IN,COPP1,BASIC,478.84
74194,2019,JP,WA,PREC1,ELECT,468.86
17872,2019,JP,CN,SEACO,LANDT,465.69
14108,2019,JP,CN,COPP1,CONST,458.14
14410,2019,JP,CN,ELECT,TRANS,458.00
43422,2019,JP,KR,BASIC,MACHI,454.69
76750,2019,JP,WA,WHOLE,RUBBE,451.52
71532,2019,JP,WA,FURNI,RETA1,444.07
15322,2019,JP,CN,HOTEL,PUBLI,443.08
78090,2019,JP,WF,BASIC,CONST,441.00
17670,2019,JP,CN,RUBBE,OFFIC,435.63
15220,2019,JP,CN,HOTEL,BUSIN,434.73
44120,2019,JP,KR,COPP1,COPP1,433.18
79711,2019,JP,WL,BASIC,CONST,431.94
13301,2019,JP,CN,BASIC,ELECT,430.56
17654,2019,JP,CN,RUBBE,MACHI,428.60
13625,2019,JP,CN,CERAM,CONST,422.58
66797,2019,JP,US,NONF1,MOTO1,422.41
17212,2019,JP,CN,RADIO,CONST,421.80
69934,2019,JP,WA,CHEM1,BUSIN,417.67
13688,2019,JP,CN,CHEM1,CRUDE,415.30
22680,2019,JP,DE,REALE,TRANS,414.76
82257,2019,JP,WL,TRANS,FISH5,408.18
13704,2019,JP,CN,CHEM1,FABRI,404.83
48792,2019,JP,MX,BASIC,FABRI,401.57
73417,2019,JP,WA,NONME,WEARI,399.48
14389,2019,JP,CN,ELECT,RADIO,394.90
13795,2019,JP,CN,CHEM1,WEARI,390.04
76351,2019,JP,WA,TRANS,SALEM,388.02
65442,2019,JP,US,CHEM1,PLAST,387.78
76248,2019,JP,WA,TRANS,CONST,383.14
47092,2019,JP,KR,SEACO,SEACO,381.15
31666,2019,JP,GB,MOTO1,MOTO1,380.88
65456,2019,JP,US,CHEM1,RESEA,379.62
17844,2019,JP,CN,SEACO,CONST,373.71
2958,2019,JP,AU,MOTO1,MOTO1,369.53
63580,2019,JP,TW,HOTEL,FINAN,368.24
37567,2019,JP,IE,CHEM1,PLAST,367.16
14124,2019,JP,CN,COPP1,FABRI,365.24
45213,2019,JP,KR,HEAVY,STEAM,364.71
16925,2019,JP,CN,PREC1,PREC1,363.52
23179,2019,JP,DE,SEACO,WOODW,363.21
66842,2019,JP,US,NONME,ELECT,360.94
16909,2019,JP,CN,PREC1,FOUND,360.15
46927,2019,JP,KR,RUBBE,RUBBE,353.81
13126,2019,JP,CN,ALUM1,FABRI,352.08
66710,2019,JP,US,MOTO1,MOTO1,350.32
76712,2019,JP,WA,WHOLE,NONF1,347.44
72186,2019,JP,WA,HOTEL,WOODW,346.97
20550,2019,JP,DE,CHEM1,PLAST,344.74
40299,2019,JP,IN,PLAST,RUBBE,344.25
79513,2019,JP,WF,TRANS,TRANS,337.60
14095,2019,JP,CN,COPP1,BASIC,336.66
17629,2019,JP,CN,RUBBE,ELECT,335.14
35022,2019,JP,ID,BASIC,FABRI,330.44
74021,2019,JP,WA,PLAST,PULP5,330.44
69977,2019,JP,WA,CHEM1,GLASS,329.93
13738,2019,JP,CN,CHEM1,MOTOR,328.91
66224,2019,JP,US,GASDI,WOODW,328.25
63315,2019,JP,TW,BUSIN,RESEA,323.93
34196,2019,JP,HU,MOTO1,MOTO1,323.18
75371,2019,JP,WA,RUBBE,OFFIC,322.36
47109,2019,JP,KR,SEACO,WHOLE,321.31
23173,2019,JP,DE,SEACO,SEACO,320.63
65397,2019,JP,US,CHEM1,HEALT,317.81
16190,2019,JP,CN,MOTO1,SALEM,317.64
51321,2019,JP,NL,CONST,CONST,317.30
76360,2019,JP,WA,TRANS,SUPPO,315.53
17876,2019,JP,CN,SEACO,MACHI,315.00
51950,2019,JP,NL,MOTO1,MOTO1,312.01
71737,2019,JP,WA,GLASS,GLASS,310.74
43927,2019,JP,KR,CHEM1,TEXTI,310.22
64056,2019,JP,TW,PRIVA,TRAN2,309.90
13799,2019,JP,CN,CHEM1,WOODW,309.32
13703,2019,JP,CN,CHEM1,ELECT,308.35
83248,2019,JP,WM,ELECT,ELECT,307.46
43426,2019,JP,KR,BASIC,MOTO1,307.36
13671,2019,JP,CN,CHEM1,BUSIN,306.51
63601,2019,JP,TW,HOTEL,MEDIC,306.20
63617,2019,JP,TW,HOTEL,RADIO,305.25
35690,2019,JP,ID,FABRI,CONST,304.73
17211,2019,JP,CN,RADIO,COMPU,302.37
13714,2019,JP,CN,CHEM1,GLASS,302.17
65057,2019,JP,US,BASIC,MOTO1,298.88
38961,2019,JP,IN,CHEM1,CHEM1,296.08
65150,2019,JP,US,BUSIN,BUSIN,294.31
65254,2019,JP,US,BUSIN,RESEA,294.17
46841,2019,JP,KR,RUBBE,CONST,292.83
17253,2019,JP,CN,RADIO,MEDIC,292.28
69325,2019,JP,WA,BASIC,ELECT,291.94
82757,2019,JP,WM,CHEM1,CONST,291.63
64011,2019,JP,TW,PRIVA,MACHI,290.43
69287,2019,JP,WA,BASIC,BASIC,288.80
13752,2019,JP,CN,CHEM1,PAPER,286.90
70572,2019,JP,WA,COPP1,RADIO,285.99
63969,2019,JP,TW,PRIVA,CEREA,285.93
13674,2019,JP,CN,CHEM1,CERAM,283.93
15841,2019,JP,CN,MEDIC,CHEM1,282.89
15866,2019,JP,CN,MEDIC,FABRI,280.14
1916,2019,JP,AU,CONST,WASTE,279.96
20839,2019,JP,DE,ELECT,CONST,279.92
17201,2019,JP,CN,RADIO,BUSIN,278.14
44402,2019,JP,KR,FABRI,FABRI,277.08
43888,2019,JP,KR,CHEM1,OFFIC,276.80
14935,2019,JP,CN,GASDI,CONST,275.31
15856,2019,JP,CN,MEDIC,EDUCA,274.61
17637,2019,JP,CN,RUBBE,FURNI,271.25
15231,2019,JP,CN,HOTEL,CONST,268.64
16526,2019,JP,CN,PAPER,BUSIN,267.48
64045,2019,JP,TW,PRIVA,RETAI,266.44
14137,2019,JP,CN,COPP1,MACHI,265.64
