trade_id,year,region1,region2,industry1,industry2,amount
102884,2019,WM,JP,CRUDE,MOTOR,22941.08
102874,2019,WM,JP,CRUDE,GASDI,16952.64
2032,2019,AU,JP,BITUM,ELEC1,16022.55
102880,2019,WM,JP,CRUDE,KEROS,8693.76
102877,2019,WM,JP,CRUDE,HEAVY,7052.72
92126,2019,WA,JP,FABRI,CONST,6403.26
61048,2019,KR,JP,PRIVA,NATUR,5488.15
21507,2019,CN,JP,PRIVA,NATUR,5232.38
96222,2019,WA,JP,SEACO,SEACO,4385.65
97401,2019,WA,JP,WOODW,WOODW,4225.41
26493,2019,DE,JP,MOTO1,MOTO1,3635.64
94108,2019,WA,JP,MOTO1,MOTO1,3489.37
18951,2019,CN,JP,FABRI,CONST,3411.42
102885,2019,WM,JP,CRUDE,NAPHT,3278.29
102879,2019,WM,JP,CRUDE,KERO1,3255.70
22513,2019,CN,JP,TEXTI,TEXTI,2799.25
4329,2019,AU,JP,PRIVA,NATUR,2798.96
83626,2019,US,JP,CEREA,FOOD5,2553.65
84508,2019,US,JP,FINAN,REALE,2334.64
20555,2019,CN,JP,MOTO1,MOTO1,1973.80
18366,2019,CN,JP,CHEM1,PLAST,1912.61
85935,2019,US,JP,LIQUE,DIST1,1845.27
83308,2019,US,JP,BITUM,ELEC1,1754.77
102881,2019,WM,JP,CRUDE,LIQUE,1735.56
83771,2019,US,JP,CHEM1,PLAST,1712.48
13572,2019,CA,JP,PRIVA,NATUR,1689.41
57913,2019,KR,JP,BASIC,CONST,1671.30
18319,2019,CN,JP,CHEM1,HEALT,1630.64
96902,2019,WA,JP,VEGET,FOOD5,1492.69
87803,2019,US,JP,PRIVA,NATUR,1485.44
83724,2019,US,JP,CHEM1,HEALT,1460.02
91644,2019,WA,JP,CONST,PFERT,1427.09
91203,2019,WA,JP,CERAM,CONST,1377.21
56483,2019,IT,JP,PRIVA,NATUR,1371.16
87497,2019,US,JP,PLAST,RUBBE,1356.61
86434,2019,US,JP,MOTO1,MOTO1,1333.86
82232,2019,TW,JP,SALEM,MOTO1,1303.26
58969,2019,KR,JP,FABRI,CONST,1296.77
96574,2019,WA,JP,TEXTI,TEXTI,1288.55
91854,2019,WA,JP,CRUDE,MOTOR,1279.66
94811,2019,WA,JP,PLAST,RUBBE,1196.45
102895,2019,WM,JP,CRUDE,RUBBE,1147.43
2075,2019,AU,JP,BITUM,PLAST,1144.34
81551,2019,TW,JP,PRIVA,NATUR,1138.19
40816,2019,GB,JP,MOTO1,MOTO1,1131.09
92355,2019,WA,JP,FINAN,REALE,1129.17
95890,2019,WA,JP,RUBBE,CONST,1126.86
92492,2019,WA,JP,FISHF,FISH5,1049.29
75326,2019,RU,JP,PRIVA,NATUR,1047.58
95992,2019,WA,JP,RUBBE,RUBBE,1003.05
104196,2019,WM,JP,NATU1,MOTOR,965.35
83397,2019,US,JP,BUSIN,CONST,964.83
91846,2019,WA,JP,CRUDE,GASDI,945.62
45873,2019,ID,JP,BITUM,ELEC1,915.03
61047,2019,KR,JP,PRIVA,NATU1,906.57
93653,2019,WA,JP,MEAT1,FOOD5,896.46
83384,2019,US,JP,BUSIN,BUSIN,875.13
19323,2019,CN,JP,FOOD5,FOOD5,864.81
21506,2019,CN,JP,PRIVA,NATU1,864.32
15184,2019,CH,JP,CHEM1,PLAST,855.18
95949,2019,WA,JP,RUBBE,MOTO1,846.52
89625,2019,US,JP,TRANS,TRANS,826.02
74413,2019,RU,JP,CRUDE,MOTOR,824.34
83497,2019,US,JP,BUSIN,RETA1,821.86
23126,2019,CN,JP,WOODW,WOODW,814.35
9734,2019,BR,JP,CEREA,FOOD5,806.02
90787,2019,WA,JP,BASIC,CONST,797.27
103348,2019,WM,JP,GASDI,CONST,796.46
22823,2019,CN,JP,WEARI,PUBLI,795.82
47819,2019,ID,JP,PRIVA,NATUR,791.29
18848,2019,CN,JP,ELECT,MACHI,790.31
81783,2019,TW,JP,REALE,FINAN,786.02
