trade_id,year,region1,region2,industry1,industry2,amount
11395,2019,KR,KR,MOTO1,MOTO1,58246.68
12484,2019,KR,KR,OFFIC,OFFIC,34877.16
6552,2019,KR,KR,FINAN,REALE,17844.50
18625,2019,KR,KR,TEXTI,TEXTI,17295.61
6265,2019,KR,KR,FABRI,CONST,17074.90
964,2019,KR,KR,BASIC,BASIC,16586.37
7188,2019,KR,KR,FOOD5,FOOD5,14137.99
1011,2019,KR,KR,BASIC,FABRI,12799.26
6288,2019,KR,KR,FABRI,FABRI,12788.60
15473,2019,KR,KR,RADIO,RADIO,12549.57
1834,2019,KR,KR,BUSIN,BUSIN,12390.50
20135,2019,KR,KR,WHOLE,WHOLE,11660.40
10427,2019,KR,KR,MACHI,MACHI,11343.07
8351,2019,KR,KR,HEALT,HEALT,11033.64
20490,2019,KR,KR,WOODW,WOODW,10886.80
6467,2019,KR,KR,FINAN,FINAN,10726.04
17066,2019,KR,KR,RUBBE,RUBBE,10492.50
8995,2019,KR,KR,INSUR,INSUR,9914.71
16682,2019,KR,KR,RETA1,HOTEL,9607.18
14320,2019,KR,KR,PLAST,RUBBE,9293.39
14466,2019,KR,KR,POSTT,POSTT,9233.44
17565,2019,KR,KR,SECO9,BASIC,7976.42
12128,2019,KR,KR,NONME,CONST,7889.53
2124,2019,KR,KR,CEMEN,CONST,7485.41
6323,2019,KR,KR,FABRI,MACHI,7401.11
16952,2019,KR,KR,RUBBE,CONST,7134.78
16116,2019,KR,KR,RECRE,RECRE,6785.51
19992,2019,KR,KR,WHOLE,CONST,6716.91
6331,2019,KR,KR,FABRI,MOTO1,6590.26
1043,2019,KR,KR,BASIC,MACHI,6574.49
10370,2019,KR,KR,MACHI,CONST,6505.64
1848,2019,KR,KR,BUSIN,CONST,6440.31
785,2019,KR,KR,AUXIL,INSUR,6145.10
1990,2019,KR,KR,BUSIN,WHOLE,5917.03
20362,2019,KR,KR,WOODW,CONST,5810.45
11563,2019,KR,KR,NAPHT,PLAST,5553.81
7813,2019,KR,KR,FURNI,FURNI,5133.84
18283,2019,KR,KR,SUPPO,WHOLE,5036.73
8356,2019,KR,KR,HEALT,INSUR,4976.65
1051,2019,KR,KR,BASIC,MOTO1,4801.40
3595,2019,KR,KR,COPP1,COPP1,4789.74
6241,2019,KR,KR,FABRI,BASIC,4745.51
1963,2019,KR,KR,BUSIN,RETA1,4538.13
10435,2019,KR,KR,MACHI,MOTO1,4343.96
1111,2019,KR,KR,BASIC,TRANS,4302.02
19167,2019,KR,KR,TRANS,TRANS,4297.19
13378,2019,KR,KR,PAPER,PAPER,4193.73
3265,2019,KR,KR,COMPU,COMPU,4143.47
17538,2019,KR,KR,SEACO,SEACO,4127.68
1872,2019,KR,KR,BUSIN,FINAN,4124.06
20088,2019,KR,KR,WHOLE,PLAST,4111.70
7841,2019,KR,KR,FURNI,MOTO1,4036.26
16672,2019,KR,KR,RETA1,FOOD5,4021.12
1952,2019,KR,KR,BUSIN,PUBLI,3861.97
6091,2019,KR,KR,ELECT,ELECT,3831.89
1022,2019,KR,KR,BASIC,FURNI,3777.90
20023,2019,KR,KR,WHOLE,FOOD5,3737.05
18262,2019,KR,KR,SUPPO,SEACO,3705.74
10502,2019,KR,KR,MACHI,TRANS,3681.26
6070,2019,KR,KR,ELECT,CONST,3668.40
2519,2019,KR,KR,CHEM1,CHEM1,3628.77
19358,2019,KR,KR,VEGET,FOOD5,3616.52
17017,2019,KR,KR,RUBBE,MOTO1,3597.60
6398,2019,KR,KR,FABRI,TRANS,3550.04
6430,2019,KR,KR,FINAN,BUSIN,3525.39
2564,2019,KR,KR,CHEM1,HEALT,3524.40
20033,2019,KR,KR,WHOLE,HOTEL,3480.60
9761,2019,KR,KR,LANDT,WHOLE,3398.91
7874,2019,KR,KR,FURNI,PUBLI,3370.40
15956,2019,KR,KR,REALE,RETA1,3309.97
20050,2019,KR,KR,WHOLE,MACHI,3246.89
8299,2019,KR,KR,HEALT,BUSIN,3227.63
20107,2019,KR,KR,WHOLE,RETA1,3198.30
6300,2019,KR,KR,FABRI,FURNI,3183.53
6787,2019,KR,KR,FISHF,FISH5,3183.10
20109,2019,KR,KR,WHOLE,RUBBE,3171.44
16680,2019,KR,KR,RETA1,HEALT,3160.44
7790,2019,KR,KR,FURNI,EDUCA,3152.39
1887,2019,KR,KR,BUSIN,HEALT,3113.34
765,2019,KR,KR,AUXIL,FINAN,3110.26
6585,2019,KR,KR,FINAN,WHOLE,3068.85
6488,2019,KR,KR,FINAN,INSUR,3001.20
2640,2019,KR,KR,CHEM1,RUBBE,2990.24
6443,2019,KR,KR,FINAN,CONST,2888.30
1856,2019,KR,KR,BUSIN,EDUCA,2827.00
7782,2019,KR,KR,FURNI,CONST,2815.02
1847,2019,KR,KR,BUSIN,COMPU,2794.18
20127,2019,KR,KR,WHOLE,TRANS,2784.75
20031,2019,KR,KR,WHOLE,HEALT,2772.51
11387,2019,KR,KR,MOTO1,MACHI,2729.85
11442,2019,KR,KR,MOTO1,SALEM,2717.17
7196,2019,KR,KR,FOOD5,HEALT,2704.73
6547,2019,KR,KR,FINAN,PUBLI,2626.06
18542,2019,KR,KR,TEXTI,HEALT,2602.01
6558,2019,KR,KR,FINAN,RETA1,2568.74
20069,2019,KR,KR,WHOLE,OFFIC,2547.89
20027,2019,KR,KR,WHOLE,FURNI,2546.57
8689,2019,KR,KR,HOTEL,HEALT,2506.23
20123,2019,KR,KR,WHOLE,TEXTI,2459.52
2117,2019,KR,KR,CEMEN,CEMEN,2420.79
13888,2019,KR,KR,PIGS9,MEATP,2416.14
16579,2019,KR,KR,RESEA,RESEA,2392.60
3434,2019,KR,KR,CONST,CONST,2329.53
1009,2019,KR,KR,BASIC,ELECT,2316.44
4242,2019,KR,KR,DISTR,BASIC,2292.28
20015,2019,KR,KR,WHOLE,FABRI,2262.80
17657,2019,KR,KR,SECO9,SECO9,2251.19
18269,2019,KR,KR,SUPPO,SUPPO,2233.34
14360,2019,KR,KR,POSTT,BUSIN,2226.65
8375,2019,KR,KR,HEALT,MEMBE,2225.85
20058,2019,KR,KR,WHOLE,MOTO1,2206.00
1957,2019,KR,KR,BUSIN,REALE,2189.20
19978,2019,KR,KR,WHOLE,BUSIN,2168.77
1958,2019,KR,KR,BUSIN,RECRE,2161.66
