trade_id,year,region1,region2,industry1,industry2,amount,total_employment_value,employment_count,unique_employment_factors,economic/employment,employment_People,employment_Hours,employment_intensity
11395,2019,KR,KR,MOTO1,MOTO1,58246.68,2267312921.171,12.0,12.0,2267312921.171,10418161.814,2256894759.356,38926.04559
12484,2019,KR,KR,OFFIC,OFFIC,34877.16,1040549625.825,12.0,12.0,1040549625.825,3923343.876,1036626281.949,29834.700584
6265,2019,KR,KR,FABRI,CONST,17074.9,776042970.779,12.0,12.0,776042970.779,3141567.153,772901403.626,45449.342062
18625,2019,KR,KR,TEXTI,TEXTI,17295.61,608559900.938,12.0,12.0,608559900.938,2593887.688,605966013.249,35185.801538
6552,2019,KR,KR,FINAN,REALE,17844.5,561728656.312,12.0,12.0,561728656.312,2103972.764,559624683.548,31479.091951
964,2019,KR,KR,BASIC,BASIC,16586.37,481314942.683,12.0,12.0,481314942.683,2874336.263,478440606.42,29018.702868
6288,2019,KR,KR,FABRI,FABRI,12788.6,466176401.455,12.0,12.0,466176401.455,2391786.876,463784614.58,36452.496869
6467,2019,KR,KR,FINAN,FINAN,10726.04,461376428.44,12.0,12.0,461376428.44,1747381.953,459629046.487,43014.610093
1011,2019,KR,KR,BASIC,FABRI,12799.26,457779934.845,12.0,12.0,457779934.845,2003311.559,455776623.285,35766.125139
20135,2019,KR,KR,WHOLE,WHOLE,11660.4,431395729.828,12.0,12.0,431395729.828,2026000.546,429369729.282,36996.649328
8351,2019,KR,KR,HEALT,HEALT,11033.64,417232681.594,12.0,12.0,417232681.594,1906273.471,415326408.123,37814.59986
7188,2019,KR,KR,FOOD5,FOOD5,14137.99,396013844.53,12.0,12.0,396013844.53,2816063.283,393197781.246,28010.61852
15473,2019,KR,KR,RADIO,RADIO,12549.57,348857657.393,12.0,12.0,348857657.393,1702010.527,347155646.866,27798.375354
10427,2019,KR,KR,MACHI,MACHI,11343.07,340749088.861,12.0,12.0,340749088.861,1636645.512,339112443.349,30040.287934
8995,2019,KR,KR,INSUR,INSUR,9914.71,330854836.453,12.0,12.0,330854836.453,1950411.306,328904425.147,33370.097204
16682,2019,KR,KR,RETA1,HOTEL,9607.18,329659856.018,12.0,12.0,329659856.018,1974377.552,327685478.465,34313.904394
20490,2019,KR,KR,WOODW,WOODW,10886.8,323746922.864,12.0,12.0,323746922.864,2220315.139,321526607.726,29737.56502
17066,2019,KR,KR,RUBBE,RUBBE,10492.5,320912279.198,12.0,12.0,320912279.198,1147343.149,319764936.048,30584.920581
1834,2019,KR,KR,BUSIN,BUSIN,12390.5,305034653.562,12.0,12.0,305034653.562,2032906.842,303001746.72,24618.429729
17565,2019,KR,KR,SECO9,BASIC,7976.42,282463270.671,12.0,12.0,282463270.671,1516150.728,280947119.942,35412.286548
14466,2019,KR,KR,POSTT,POSTT,9233.44,280497470.864,12.0,12.0,280497470.864,1145707.135,279351763.729,30378.436516
14320,2019,KR,KR,PLAST,RUBBE,9293.39,275439790.212,12.0,12.0,275439790.212,1043038.447,274396751.765,29638.247207
1848,2019,KR,KR,BUSIN,CONST,6440.31,274660184.568,12.0,12.0,274660184.568,993102.525,273667082.043,42647.044097
12128,2019,KR,KR,NONME,CONST,7889.53,257663096.816,12.0,12.0,257663096.816,1145998.131,256517098.685,32658.865207
785,2019,KR,KR,AUXIL,INSUR,6145.1,239506221.759,12.0,12.0,239506221.759,1254123.434,238252098.325,38975.154474
6323,2019,KR,KR,FABRI,MACHI,7401.11,236795360.013,12.0,12.0,236795360.013,1617728.231,235177631.783,31994.573789
16952,2019,KR,KR,RUBBE,CONST,7134.78,227474819.468,12.0,12.0,227474819.468,894545.401,226580274.067,31882.527488
1990,2019,KR,KR,BUSIN,WHOLE,5917.03,226505869.726,12.0,12.0,226505869.726,692068.285,225813801.442,38280.331471
2124,2019,KR,KR,CEMEN,CONST,7485.41,226495022.588,12.0,12.0,226495022.588,1235823.07,225259199.519,30258.198627
19992,2019,KR,KR,WHOLE,CONST,6716.91,203991353.806,12.0,12.0,203991353.806,1181115.267,202810238.539,30369.820916
6331,2019,KR,KR,FABRI,MOTO1,6590.26,200670580.406,12.0,12.0,200670580.406,992128.702,199678451.704,30449.569578
20362,2019,KR,KR,WOODW,CONST,5810.45,190330531.838,12.0,12.0,190330531.838,805068.632,189525463.206,32756.590598
11563,2019,KR,KR,NAPHT,PLAST,5553.81,189769173.187,12.0,12.0,189769173.187,757695.36,189011477.827,34169.187132
18283,2019,KR,KR,SUPPO,WHOLE,5036.73,181935544.733,12.0,12.0,181935544.733,758588.671,181176956.062,36121.758509
13378,2019,KR,KR,PAPER,PAPER,4193.73,172408084.346,12.0,12.0,172408084.346,932337.629,171475746.717,41110.916617
16116,2019,KR,KR,RECRE,RECRE,6785.51,171459814.722,12.0,12.0,171459814.722,1156869.521,170302945.201,25268.522885
10370,2019,KR,KR,MACHI,CONST,6505.64,162336136.612,12.0,12.0,162336136.612,1272805.762,161063330.85,24953.138602
1051,2019,KR,KR,BASIC,MOTO1,4801.4,161961825.218,12.0,12.0,161961825.218,761324.506,161200500.712,33732.20836
3595,2019,KR,KR,COPP1,COPP1,4789.74,159852514.473,12.0,12.0,159852514.473,860152.549,158992361.924,33373.943987
8356,2019,KR,KR,HEALT,INSUR,4976.65,158054538.053,12.0,12.0,158054538.053,768200.7,157286337.353,31759.223183
10435,2019,KR,KR,MACHI,MOTO1,4343.96,154763523.488,12.0,12.0,154763523.488,805308.979,153958214.508,35627.290189
