trade_id,year,region1,region2,industry1,industry2,amount
11531,2019,KR,CN,PLAST,RUBBE,10423.66
11807,2019,KR,CN,RADIO,OFFIC,10418.27
11822,2019,KR,CN,RADIO,RADIO,5799.87
37781,2019,KR,JP,PRIVA,NATUR,5488.15
58272,2019,KR,WA,BASIC,CONST,5465.99
11257,2019,KR,CN,OFFIC,OFFIC,5184.75
9092,2019,KR,CN,CHEM1,PLAST,5141.76
10877,2019,KR,CN,MOTOR,LANDT,4157.39
65072,2019,KR,WA,TEXTI,TEXTI,4010.84
8756,2019,KR,CN,BASIC,CONST,3472.17
65375,2019,KR,WA,TRANS,TRANS,2970.87
30513,2019,KR,IN,BASIC,CONST,2812.01
59650,2019,KR,WA,ELECT,CONST,2662.18
72693,2019,KR,WL,TRANS,TRANS,2661.71
63057,2019,KR,WA,PLAST,LEATH,2658.72
9013,2019,KR,CN,CHEM1,CHEM1,2474.70
11772,2019,KR,CN,RADIO,ELECT,2457.35
9498,2019,KR,CN,ELECT,CONST,2129.24
9959,2019,KR,CN,GASDI,CONST,2079.35
8772,2019,KR,CN,BASIC,FABRI,2067.88
11889,2019,KR,CN,RUBBE,CONST,1939.01
9616,2019,KR,CN,FABRI,CONST,1838.55
34646,2019,KR,JP,BASIC,CONST,1671.30
56378,2019,KR,US,GASDI,WOODW,1662.13
62144,2019,KR,WA,MOTOR,MEATC,1595.38
9282,2019,KR,CN,COPP1,COPP1,1570.77
57388,2019,KR,US,RUBBE,MOTO1,1548.97
11975,2019,KR,CN,RUBBE,RUBBE,1459.78
65349,2019,KR,WA,TRANS,RAILW,1421.52
9112,2019,KR,CN,CHEM1,RUBBE,1417.85
62332,2019,KR,WA,NAPHT,RUBBE,1343.84
35702,2019,KR,JP,FABRI,CONST,1296.77
57217,2019,KR,US,PLAST,RUBBE,1250.85
11795,2019,KR,CN,RADIO,MACHI,1248.28
9051,2019,KR,CN,CHEM1,HEALT,1154.15
65326,2019,KR,WA,TRANS,OFFIC,1132.47
72904,2019,KR,WM,BASIC,FABRI,1104.35
11816,2019,KR,CN,RADIO,POSTT,1085.54
12155,2019,KR,CN,TEXTI,TEXTI,1084.56
58972,2019,KR,WA,CHEM1,RUBBE,1078.60
63307,2019,KR,WA,PREC1,PREC1,1069.49
10026,2019,KR,CN,GASDI,RAILW,1055.30
10983,2019,KR,CN,NAPHT,PLAST,1035.59
55487,2019,KR,US,BASIC,FABRI,1006.55
9089,2019,KR,CN,CHEM1,PFERT,999.26
55465,2019,KR,US,BASIC,BASIC,979.22
15836,2019,KR,DE,MOTO1,MOTO1,954.23
9121,2019,KR,CN,CHEM1,TEXTI,940.31
41429,2019,KR,MX,MOTO1,MOTO1,939.95
