trade_id,year,region1,region2,industry1,industry2,amount,total_employment_value,employment_count
11531,2019,KR,CN,PLAST,RUBBE,10423.66,0,0
11807,2019,KR,CN,RADIO,OFFIC,10418.27,0,0
11822,2019,KR,CN,RADIO,RADIO,5799.87,0,0
37781,2019,KR,JP,PRIVA,NATUR,5488.15,0,0
58272,2019,KR,WA,BASIC,CONST,5465.99,0,0
11257,2019,KR,CN,OFFIC,OFFIC,5184.75,0,0
9092,2019,KR,CN,CHEM1,PLAST,5141.76,0,0
10877,2019,KR,CN,MOTOR,LANDT,4157.39,0,0
65072,2019,KR,WA,TEXTI,TEXTI,4010.84,0,0
8756,2019,KR,CN,BASIC,CONST,3472.17,0,0
65375,2019,KR,WA,TRANS,TRANS,2970.87,0,0
30513,2019,KR,IN,BASIC,CONST,2812.01,0,0
59650,2019,KR,WA,ELECT,CONST,2662.18,0,0
72693,2019,KR,WL,TRANS,TRANS,2661.71,0,0
63057,2019,KR,WA,PLAST,LEATH,2658.72,0,0
9013,2019,KR,CN,CHEM1,CHEM1,2474.7,0,0
11772,2019,KR,CN,RADIO,ELECT,2457.35,0,0
9498,2019,KR,CN,ELECT,CONST,2129.24,0,0
9959,2019,KR,CN,GASDI,CONST,2079.35,0,0
8772,2019,KR,CN,BASIC,FABRI,2067.88,0,0
11889,2019,KR,CN,RUBBE,CONST,1939.01,0,0
9616,2019,KR,CN,FABRI,CONST,1838.55,0,0
34646,2019,KR,JP,BASIC,CONST,1671.3,0,0
56378,2019,KR,US,GASDI,WOODW,1662.13,0,0
62144,2019,KR,WA,MOTOR,MEATC,1595.38,0,0
9282,2019,KR,CN,COPP1,COPP1,1570.77,0,0
57388,2019,KR,US,RUBBE,MOTO1,1548.97,0,0
11975,2019,KR,CN,RUBBE,RUBBE,1459.78,0,0
65349,2019,KR,WA,TRANS,RAILW,1421.52,0,0
9112,2019,KR,CN,CHEM1,RUBBE,1417.85,0,0
62332,2019,KR,WA,NAPHT,RUBBE,1343.84,0,0
35702,2019,KR,JP,FABRI,CONST,1296.77,0,0
57217,2019,KR,US,PLAST,RUBBE,1250.85,0,0
11795,2019,KR,CN,RADIO,MACHI,1248.28,0,0
9051,2019,KR,CN,CHEM1,HEALT,1154.15,0,0
65326,2019,KR,WA,TRANS,OFFIC,1132.47,0,0
72904,2019,KR,WM,BASIC,FABRI,1104.35,0,0
11816,2019,KR,CN,RADIO,POSTT,1085.54,0,0
12155,2019,KR,CN,TEXTI,TEXTI,1084.56,0,0
58972,2019,KR,WA,CHEM1,RUBBE,1078.6,0,0
63307,2019,KR,WA,PREC1,PREC1,1069.49,0,0
10026,2019,KR,CN,GASDI,RAILW,1055.3,0,0
10983,2019,KR,CN,NAPHT,PLAST,1035.59,0,0
55487,2019,KR,US,BASIC,FABRI,1006.55,0,0
9089,2019,KR,CN,CHEM1,PFERT,999.26,0,0
55465,2019,KR,US,BASIC,BASIC,979.22,0,0
15836,2019,KR,DE,MOTO1,MOTO1,954.23,0,0
9121,2019,KR,CN,CHEM1,TEXTI,940.31,0,0
41429,2019,KR,MX,MOTO1,MOTO1,939.95,0,0
10089,2019,KR,CN,GLASS,GLASS,930.2,0,0
9020,2019,KR,CN,CHEM1,CONST,927.89,0,0
8994,2019,KR,CN,CHEM1,ALUM1,921.09,0,0
37780,2019,KR,JP,PRIVA,NATU1,906.57,0,0
60410,2019,KR,WA,GASDI,MEDIC,900.27,0,0
61165,2019,KR,WA,KEROS,AIRTR,886.97,0,0
40565,2019,KR,MX,BASIC,MOTO1,855.97,0,0
58984,2019,KR,WA,CHEM1,TEXTI,841.71,0,0
69364,2019,KR,WF,TRANS,AIRTR,820.31,0,0
59340,2019,KR,WA,COPP1,ELECT,807.22,0,0
53147,2019,KR,SK,MOTO1,MOTO1,792.17,0,0
12272,2019,KR,CN,TRANS,TRANS,780.5,0,0
9296,2019,KR,CN,COPP1,ELECT,760.64,0,0
8738,2019,KR,CN,BASIC,BASIC,747.49,0,0
10364,2019,KR,CN,LEAD1,CONST,746.45,0,0
58960,2019,KR,WA,CHEM1,PUBLI,745.32,0,0
72589,2019,KR,WL,TRANS,CONST,730.83,0,0
7419,2019,KR,CA,MOTO1,MOTO1,712.58,0,0
37500,2019,KR,JP,PLAST,RUBBE,704.57,0,0
9657,2019,KR,CN,FABRI,MACHI,693.66,0,0
9539,2019,KR,CN,ELECT,MOTO1,692.51,0,0
40536,2019,KR,MX,BASIC,FABRI,686.28,0,0
36224,2019,KR,JP,GASDI,CONST,685.25,0,0
11857,2019,KR,CN,REFI1,MOTOR,664.89,0,0
38502,2019,KR,JP,SEACO,SEACO,657.96,0,0
31795,2019,KR,IN,PLAST,RUBBE,653.45,0,0
65360,2019,KR,WA,TRANS,SALEM,636.89,0,0
36921,2019,KR,JP,MOTO1,MOTO1,630.09,0,0
65256,2019,KR,WA,TRANS,CONST,628.88,0,0
13472,2019,KR,CZ,MOTO1,MOTO1,611.71,0,0
34633,2019,KR,JP,BASIC,BASIC,609.8,0,0
55511,2019,KR,US,BASIC,MOTO1,605.39,0,0
19310,2019,KR,ES,MOTO1,MOTO1,596.69,0,0
54993,2019,KR,TR,PLAST,RUBBE,589.2,0,0
58896,2019,KR,WA,CHEM1,FABRI,580.14,0,0
72560,2019,KR,WL,TRANS,93197,576.29,0,0
28140,2019,KR,ID,BASIC,CONST,573.52,0,0
9081,2019,KR,CN,CHEM1,OFFIC,550.12,0,0
73599,2019,KR,WM,ELECT,ELECT,545.33,0,0
62012,2019,KR,WA,MOTO1,MOTO1,538.58,0,0
62145,2019,KR,WA,MOTOR,MEATP,535.32,0,0
29330,2019,KR,ID,PLAST,RUBBE,530.93,0,0
9547,2019,KR,CN,ELECT,OFFIC,526.9,0,0
65369,2019,KR,WA,TRANS,SUPPO,517.9,0,0
58299,2019,KR,WA,BASIC,FURNI,516.69,0,0
12161,2019,KR,CN,TEXTI,WEARI,513.15,0,0
11756,2019,KR,CN,RADIO,CONST,511.61,0,0
53870,2019,KR,TR,BASIC,BASIC,511.61,0,0
30829,2019,KR,IN,FABRI,CONST,500.96,0,0
64340,2019,KR,WA,RUBBE,CONST,499.77,0,0
58341,2019,KR,WA,BASIC,OFFIC,495.7,0,0
10632,2019,KR,CN,MEDIC,CONST,493.39,0,0
58951,2019,KR,WA,CHEM1,PAPER,470.47,0,0
63097,2019,KR,WA,PLAST,PULP5,469.46,0,0
56829,2019,KR,US,MOTOR,PUBLI,467.12,0,0
9064,2019,KR,CN,CHEM1,MACHI,466.86,0,0
60459,2019,KR,WA,GASDI,SALEM,462.77,0,0
11851,2019,KR,CN,REFI1,GASDI,457.83,0,0
34659,2019,KR,JP,BASIC,FABRI,437.79,0,0
69780,2019,KR,WL,BASIC,CONST,429.46,0,0
62141,2019,KR,WA,MOTOR,MEAT1,424.45,0,0
72625,2019,KR,WL,TRANS,LEATH,420.76,0,0
9281,2019,KR,CN,COPP1,CONST,416.54,0,0
10658,2019,KR,CN,MEDIC,HEALT,414.36,0,0
31226,2019,KR,IN,LEAD1,ELECT,411.11,0,0
8771,2019,KR,CN,BASIC,ELECT,405.21,0,0
35349,2019,KR,JP,CONST,PFERT,396.84,0,0
55403,2019,KR,US,ALUM1,ALUM1,394.85,0,0
41702,2019,KR,MX,OFFIC,OFFIC,393.93,0,0
41857,2019,KR,MX,PLAST,RUBBE,391.85,0,0
62643,2019,KR,WA,OFFIC,HOTEL,388.8,0,0
60358,2019,KR,WA,GASDI,CRUDE,385.72,0,0
29653,2019,KR,ID,TEXTI,TEXTI,380.99,0,0
65310,2019,KR,WA,TRANS,MEATA,380.48,0,0
56882,2019,KR,US,NAPHT,PLAST,375.47,0,0
69479,2019,KR,WF,TRANS,TRANS,373.27,0,0
11939,2019,KR,CN,RUBBE,MOTO1,370.79,0,0
11755,2019,KR,CN,RADIO,COMPU,366.75,0,0
9079,2019,KR,CN,CHEM1,NONME,365.37,0,0
31321,2019,KR,IN,MOTO1,MOTO1,363.91,0,0
58033,2019,KR,WA,ALUM1,FABRI,363.6,0,0
60455,2019,KR,WA,GASDI,RESEA,361.25,0,0
60456,2019,KR,WA,GASDI,RETA1,358.6,0,0
11797,2019,KR,CN,RADIO,MEDIC,354.51,0,0
65019,2019,KR,WA,TEXTI,MEATC,353.57,0,0
63257,2019,KR,WA,PREC1,ELECT,343.43,0,0
58936,2019,KR,WA,CHEM1,MOTO1,342.72,0,0
34686,2019,KR,JP,BASIC,MOTO1,341.92,0,0
11745,2019,KR,CN,RADIO,BUSIN,337.37,0,0
57413,2019,KR,US,RUBBE,PUBLI,334.39,0,0
9297,2019,KR,CN,COPP1,FABRI,332.07,0,0
28684,2019,KR,ID,GASDI,CONST,330.83,0,0
6033,2019,KR,BR,MOTO1,MOTO1,330.48,0,0
10201,2019,KR,CN,HEAVY,STEAM,329.15,0,0
52115,2019,KR,SI,MOTO1,MOTO1,328.41,0,0
57424,2019,KR,US,RUBBE,RUBBE,327.82,0,0
11947,2019,KR,CN,RUBBE,OFFIC,326.66,0,0
11931,2019,KR,CN,RUBBE,MACHI,321.39,0,0
60361,2019,KR,WA,GASDI,EDUCA,319.88,0,0
10847,2019,KR,CN,MOTOR,CONST,313.31,0,0
72604,2019,KR,WL,TRANS,FISH5,313.24,0,0
65227,2019,KR,WA,TRANS,93197,313.2,0,0
40527,2019,KR,MX,BASIC,CONST,313.07,0,0
34681,2019,KR,JP,BASIC,MACHI,310.28,0,0
35975,2019,KR,JP,FISHF,FISH5,309.79,0,0
64402,2019,KR,WA,RUBBE,OFFIC,309.69,0,0
11108,2019,KR,CN,NONME,CONST,308.71,0,0
37786,2019,KR,JP,PRIVA,TRAN1,308.4,0,0
9268,2019,KR,CN,COPP1,BASIC,306.09,0,0
73669,2019,KR,WM,ELECT,RADIO,304.42,0,0
36995,2019,KR,JP,MOTOR,LANDT,304.37,0,0
62172,2019,KR,WA,MOTOR,PIGS9,300.97,0,0
31749,2019,KR,IN,PLAST,ELECT,296.11,0,0
8961,2019,KR,CN,CERAM,CONST,290.51,0,0
11854,2019,KR,CN,REFI1,KEROS,286.31,0,0
9024,2019,KR,CN,CHEM1,CRUDE,285.86,0,0
62252,2019,KR,WA,NAPHT,CONST,284.72,0,0
58041,2019,KR,WA,ALUM1,FURNI,283.16,0,0
68587,2019,KR,WF,MOTOR,LANDT,281.39,0,0
59401,2019,KR,WA,COPP1,RADIO,280.71,0,0
24664,2019,KR,GB,MOTO1,MOTO1,279.45,0,0
9040,2019,KR,CN,CHEM1,FABRI,278.66,0,0
62197,2019,KR,WA,MOTOR,SALEM,278.27,0,0
62223,2019,KR,WA,MOTOR,WOODW,278.12,0,0
11201,2019,KR,CN,OFFIC,COMPU,274.95,0,0
60521,2019,KR,WA,GLASS,GLASS,273.4,0,0
65362,2019,KR,WA,TRANS,SEACO,270.07,0,0
55823,2019,KR,US,COPP1,ELECT,269.69,0,0
9128,2019,KR,CN,CHEM1,WEARI,268.47,0,0
28143,2019,KR,ID,BASIC,FABRI,266.23,0,0
59666,2019,KR,WA,ELECT,ELECT,264.93,0,0
62194,2019,KR,WA,MOTOR,RETA1,264.31,0,0
9523,2019,KR,CN,ELECT,HEALT,258.15,0,0
73240,2019,KR,WM,CHEM1,CONST,257.59,0,0
9488,2019,KR,CN,ELECT,BUSIN,254.7,0,0
65023,2019,KR,WA,TEXTI,MOTO1,254.53,0,0
11799,2019,KR,CN,RADIO,MOTO1,254.53,0,0
43003,2019,KR,NL,MOTO1,MOTO1,254.16,0,0
11906,2019,KR,CN,RUBBE,ELECT,251.31,0,0
58962,2019,KR,WA,CHEM1,RADIO,250.04,0,0
11209,2019,KR,CN,OFFIC,EDUCA,247.24,0,0
37637,2019,KR,JP,PREC1,FURNI,245.1,0,0
60406,2019,KR,WA,GASDI,MEAT4,245.05,0,0
11273,2019,KR,CN,OFFIC,PUBLI,244.0,0,0
56053,2019,KR,US,FABRI,MOTO1,243.61,0,0
56500,2019,KR,US,KEROS,AIRTR,241.9,0,0
9310,2019,KR,CN,COPP1,MACHI,241.52,0,0
3921,2019,KR,BE,MOTO1,MOTO1,239.87,0,0
8675,2019,KR,CN,ALUM1,FABRI,238.93,0,0
62183,2019,KR,WA,MOTOR,PUBLI,238.66,0,0
29660,2019,KR,ID,TEXTI,WEARI,235.35,0,0
53886,2019,KR,TR,BASIC,CONST,233.63,0,0
68164,2019,KR,WF,GASDI,FURNI,232.78,0,0
23742,2019,KR,GB,BASIC,MOTO1,232.39,0,0
63027,2019,KR,WA,PLAST,ELEC2,231.97,0,0
8940,2019,KR,CN,CEMEN,CONST,230.94,0,0
59740,2019,KR,WA,ELECT,RADIO,230.43,0,0
10647,2019,KR,CN,MEDIC,ELECT,230.29,0,0
38217,2019,KR,JP,RUBBE,CONST,229.41,0,0
9073,2019,KR,CN,CHEM1,MOTOR,226.4,0,0
63001,2019,KR,WA,PLAST,BEVER,226.22,0,0
9634,2019,KR,CN,FABRI,FABRI,225.98,0,0
56695,2019,KR,US,MOTO1,MOTO1,224.51,0,0
11191,2019,KR,CN,OFFIC,BUSIN,224.22,0,0
36049,2019,KR,JP,FOOD5,FOOD5,224.12,0,0
11500,2019,KR,CN,PLAST,ELECT,221.1,0,0
10579,2019,KR,CN,LIQUE,PFERT,220.94,0,0
11820,2019,KR,CN,RADIO,PUBLI,220.12,0,0
8832,2019,KR,CN,BASIC,TRANS,218.63,0,0
2096,2019,KR,AU,MOTO1,MOTO1,217.66,0,0
69763,2019,KR,WL,BASIC,BASIC,217.31,0,0
11522,2019,KR,CN,PLAST,OFFIC,215.29,0,0
10481,2019,KR,CN,LEATH,LEATH,215.14,0,0
59403,2019,KR,WA,COPP1,REALE,214.87,0,0
10698,2019,KR,CN,MEDIC,RADIO,213.55,0,0
58287,2019,KR,WA,BASIC,ELECT,213.25,0,0
75376,2019,KR,WM,PLAST,TOBAC,213.09,0,0
75722,2019,KR,WM,RUBBE,CONST,212.98,0,0
9132,2019,KR,CN,CHEM1,WOODW,212.92,0,0
62206,2019,KR,WA,MOTOR,SUPPO,212.43,0,0
10888,2019,KR,CN,MOTOR,MOTOR,212.31,0,0
9039,2019,KR,CN,CHEM1,ELECT,212.25,0,0
65264,2019,KR,WA,TRANS,EDUCA,212.18,0,0
11484,2019,KR,CN,PLAST,CHEM1,211.02,0,0
9007,2019,KR,CN,CHEM1,BUSIN,210.98,0,0
58250,2019,KR,WA,BASIC,BASIC,210.96,0,0
35408,2019,KR,JP,COPP1,ELECT,210.55,0,0
9585,2019,KR,CN,ELECT,TRANS,210.49,0,0
56959,2019,KR,US,NONME,ELECT,210.16,0,0
9050,2019,KR,CN,CHEM1,GLASS,208.0,0,0
9948,2019,KR,CN,GASDI,BITUM,205.28,0,0
62552,2019,KR,WA,NONME,WEARI,205.15,0,0
38311,2019,KR,JP,RUBBE,RUBBE,204.21,0,0
60449,2019,KR,WA,GASDI,RAWMI,203.63,0,0
11914,2019,KR,CN,RUBBE,FURNI,203.4,0,0
61545,2019,KR,WA,LEATH,EDUCA,202.91,0,0
32410,2019,KR,IT,BASIC,BASIC,202.87,0,0
11846,2019,KR,CN,RADIO,WHOLE,202.44,0,0
58997,2019,KR,WA,CHEM1,WOODW,201.93,0,0
10346,2019,KR,CN,KEROS,SUPPO,200.64,0,0
74050,2019,KR,WM,GASDI,ELEC6,200.22,0,0
9085,2019,KR,CN,CHEM1,PAPER,197.48,0,0
61617,2019,KR,WA,LEATH,RETA1,197.42,0,0
9010,2019,KR,CN,CHEM1,CERAM,195.43,0,0
49548,2019,KR,RU,MOTO1,SALEM,195.2,0,0
62087,2019,KR,WA,MOTOR,CONST,193.43,0,0
74673,2019,KR,WM,MOTO1,PUBLI,193.09,0,0
60480,2019,KR,WA,GASDI,WHEAT,193.01,0,0
11515,2019,KR,CN,PLAST,MOTO1,192.97,0,0
29903,2019,KR,IE,CHEM1,PLAST,192.85,0,0
65277,2019,KR,WA,TRANS,FISHF,191.76,0,0
65016,2019,KR,WA,TEXTI,MEAT1,190.96,0,0
30534,2019,KR,IN,BASIC,MOTO1,190.62,0,0
16996,2019,KR,DE,SEACO,WOODW,190.47,0,0
60409,2019,KR,WA,GASDI,MEATP,189.8,0,0
72665,2019,KR,WL,TRANS,PROCE,188.88,0,0
9596,2019,KR,CN,FABRI,BASIC,188.71,0,0
2303,2019,KR,AU,NAPHT,MACHI,186.43,0,0
33611,2019,KR,IT,PLAST,RUBBE,184.56,0,0
25407,2019,KR,GB,TRANS,TRANS,184.01,0,0
9565,2019,KR,CN,ELECT,RADIO,181.49,0,0
10857,2019,KR,CN,MOTOR,ELEC4,181.41,0,0
6656,2019,KR,CA,BASIC,BASIC,181.3,0,0
72690,2019,KR,WL,TRANS,TEXTI,180.98,0,0
49264,2019,KR,RU,HOTEL,REALE,179.55,0,0
10672,2019,KR,CN,MEDIC,MEDIC,177.52,0,0
8998,2019,KR,CN,CHEM1,BASIC,176.14,0,0
75926,2019,KR,WM,TEXTI,LEATH,173.97,0,0
38272,2019,KR,JP,RUBBE,MOTO1,172.34,0,0
36338,2019,KR,JP,GASDI,WHOLE,172.15,0,0
28148,2019,KR,ID,BASIC,MACHI,171.89,0,0
40535,2019,KR,MX,BASIC,ELECT,170.38,0,0
11241,2019,KR,CN,OFFIC,MACHI,169.19,0,0
35281,2019,KR,JP,CONST,COKEO,168.64,0,0
16990,2019,KR,DE,SEACO,SEACO,168.14,0,0
58389,2019,KR,WA,BASIC,TRANS,166.88,0,0
36056,2019,KR,JP,FOOD5,HOTEL,166.77,0,0
11218,2019,KR,CN,OFFIC,ELECT,166.4,0,0
68225,2019,KR,WF,GASDI,RUBBE,166.14,0,0
62693,2019,KR,WA,OFFIC,POSTT,165.56,0,0
61537,2019,KR,WA,LEATH,CONST,165.47,0,0
40945,2019,KR,MX,FABRI,CONST,164.16,0,0
58868,2019,KR,WA,CHEM1,BUSIN,163.8,0,0
32432,2019,KR,IT,BASIC,FABRI,163.38,0,0
10613,2019,KR,CN,MEDIC,BASIC,162.47,0,0
58021,2019,KR,WA,ALUM1,CONST,162.23,0,0
11884,2019,KR,CN,RUBBE,CHEM1,162.16,0,0
6675,2019,KR,CA,BASIC,FABRI,161.52,0,0
8803,2019,KR,CN,BASIC,OFFIC,160.56,0,0
62095,2019,KR,WA,MOTOR,EDUCA,160.1,0,0
3188,2019,KR,BE,BASIC,CONST,159.45,0,0
60357,2019,KR,WA,GASDI,CROPS,159.27,0,0
38629,2019,KR,JP,TEXTI,TEXTI,157.08,0,0
9048,2019,KR,CN,CHEM1,GASDI,155.89,0,0
60454,2019,KR,WA,GASDI,RENTI,155.08,0,0
9072,2019,KR,CN,CHEM1,MOTO1,154.81,0,0
62193,2019,KR,WA,MOTOR,RESEA,154.31,0,0
11585,2019,KR,CN,PREC1,PREC1,153.91,0,0
11570,2019,KR,CN,PREC1,FOUND,152.48,0,0
65290,2019,KR,WA,TRANS,HOTEL,152.34,0,0
11488,2019,KR,CN,PLAST,CRUDE,152.24,0,0
9963,2019,KR,CN,GASDI,CRUDE,151.96,0,0
8648,2019,KR,CN,ALUM1,ALUM1,150.35,0,0
41840,2019,KR,MX,PLAST,MOTO1,150.09,0,0
10068,2019,KR,CN,GLASS,CONST,149.78,0,0
9125,2019,KR,CN,CHEM1,TRANS,149.68,0,0
72691,2019,KR,WL,TRANS,TOBAC,147.79,0,0
29008,2019,KR,ID,MOTOR,LANDT,147.61,0,0
60405,2019,KR,WA,GASDI,MEAT1,147.61,0,0
49986,2019,KR,RU,PLAST,RUBBE,146.65,0,0
58066,2019,KR,WA,ALUM1,MOTO1,146.64,0,0
56885,2019,KR,US,NAPHT,RESEA,146.45,0,0
10868,2019,KR,CN,MOTOR,GASDI,146.19,0,0
10331,2019,KR,CN,KEROS,PUBLI,146.16,0,0
15008,2019,KR,DE,ELECT,CONST,145.92,0,0
28475,2019,KR,ID,FABRI,CONST,145.91,0,0
9099,2019,KR,CN,CHEM1,PUBLI,144.82,0,0
65299,2019,KR,WA,TRANS,LANDT,144.64,0,0
58333,2019,KR,WA,BASIC,NATUR,144.62,0,0
59408,2019,KR,WA,COPP1,RESEA,144.43,0,0
63023,2019,KR,WA,PLAST,DAIRY,144.39,0,0
28859,2019,KR,ID,LEAD1,LEATH,144.21,0,0
56394,2019,KR,US,GLASS,ELECT,143.62,0,0
40511,2019,KR,MX,BASIC,BASIC,143.12,0,0
62701,2019,KR,WA,OFFIC,RADIO,139.91,0,0
73342,2019,KR,WM,CHEM1,TEXTI,139.5,0,0
56520,2019,KR,US,LEAD1,ELECT,139.15,0,0
58075,2019,KR,WA,ALUM1,OFFIC,138.91,0,0
40562,2019,KR,MX,BASIC,MACHI,138.76,0,0
30531,2019,KR,IN,BASIC,MACHI,138.47,0,0
36470,2019,KR,JP,HEAVY,SEACO,138.21,0,0
23271,2019,KR,FR,SEACO,SUPPO,137.43,0,0
11855,2019,KR,CN,REFI1,LIQUE,137.26,0,0
69963,2019,KR,WL,CHEM1,CONST,136.48,0,0
60407,2019,KR,WA,GASDI,MEATA,136.32,0,0
9047,2019,KR,CN,CHEM1,FURNI,136.19,0,0
61511,2019,KR,WA,LEAD1,WOODW,134.73,0,0
65037,2019,KR,WA,TEXTI,PAPER,134.59,0,0
62697,2019,KR,WA,OFFIC,PRIVA,134.59,0,0
9992,2019,KR,CN,GASDI,LANDT,134.22,0,0
75589,2019,KR,WM,RADIO,OFFIC,133.6,0,0
34765,2019,KR,JP,BEVER,HOTEL,133.57,0,0
11275,2019,KR,CN,OFFIC,RADIO,132.43,0,0
65244,2019,KR,WA,TRANS,BUSIN,132.15,0,0
59384,2019,KR,WA,COPP1,OFFIC,132.04,0,0
59375,2019,KR,WA,COPP1,MOTO1,131.71,0,0
9664,2019,KR,CN,FABRI,MOTO1,131.4,0,0
72579,2019,KR,WL,TRANS,CEMEN,129.84,0,0
30522,2019,KR,IN,BASIC,FABRI,129.41,0,0
58910,2019,KR,WA,CHEM1,GLASS,129.39,0,0
9028,2019,KR,CN,CHEM1,EDUCA,129.25,0,0
74081,2019,KR,WM,GASDI,MEDIC,129.18,0,0
8759,2019,KR,CN,BASIC,CRUDE,128.76,0,0
68976,2019,KR,WF,PLAST,MEATP,128.4,0,0
9633,2019,KR,CN,FABRI,ELECT,128.35,0,0
58322,2019,KR,WA,BASIC,MEAT1,128.33,0,0
45491,2019,KR,PL,MOTO1,MOTO1,127.53,0,0
32007,2019,KR,IN,RUBBE,CONST,126.69,0,0
60445,2019,KR,WA,GASDI,PUBLI,126.61,0,0
28966,2019,KR,ID,MOTO1,MOTO1,125.95,0,0
62702,2019,KR,WA,OFFIC,RAILW,125.86,0,0
64432,2019,KR,WA,RUBBE,SALEM,125.76,0,0
34473,2019,KR,JP,ALUM1,ALUM1,125.54,0,0
75330,2019,KR,WM,PLAST,MEDIC,125.12,0,0
63028,2019,KR,WA,PLAST,ELEC4,124.55,0,0
53900,2019,KR,TR,BASIC,FABRI,124.26,0,0
62186,2019,KR,WA,MOTOR,RAILW,124.23,0,0
67525,2019,KR,WF,BASIC,CONST,124.17,0,0
11876,2019,KR,CN,RUBBE,BITUM,124.09,0,0
10047,2019,KR,CN,GASDI,VEGET,123.28,0,0
11832,2019,KR,CN,RADIO,RUBBE,123.21,0,0
3176,2019,KR,BE,BASIC,BASIC,123.13,0,0
60435,2019,KR,WA,GASDI,PFERT,122.45,0,0
61016,2019,KR,WA,INSUR,CHEM1,122.2,0,0
36550,2019,KR,JP,KEROS,AIRTR,121.96,0,0
71707,2019,KR,WL,PLAST,MEATP,121.85,0,0
46057,2019,KR,PL,RUBBE,CONST,121.8,0,0
72902,2019,KR,WM,BASIC,ELECT,121.5,0,0
59412,2019,KR,WA,COPP1,SALEM,121.32,0,0
62180,2019,KR,WA,MOTOR,PRINT,120.93,0,0
73001,2019,KR,WM,BASIC,TRANS,119.49,0,0
60304,2019,KR,WA,FURNI,RETA1,119.16,0,0
72766,2019,KR,WM,ALUM1,ALUM1,118.7,0,0
1915,2019,KR,AU,KEROS,AIRTR,118.25,0,0
37039,2019,KR,JP,NAPHT,CHEM1,118.08,0,0
32454,2019,KR,IT,BASIC,MACHI,117.49,0,0
37655,2019,KR,JP,PREC1,PAPER,117.41,0,0
8593,2019,KR,CN,ADDIT,ALUM1,116.48,0,0
9954,2019,KR,CN,GASDI,CERAM,115.65,0,0
11773,2019,KR,CN,RADIO,FABRI,115.34,0,0
