trade_id,year,region1,region2,industry1,industry2,amount
21720,2019,RU,RU,WHOLE,CONST,49025.32
17331,2019,RU,RU,REALE,RETA1,22114.34
17325,2019,RU,RU,REALE,REALE,21236.54
3779,2019,RU,RU,CONST,PUBLI,14110.12
10318,2019,RU,RU,LANDT,WHOLE,12835.67
4306,2019,RU,RU,CRUDE,GASDI,10817.84
17266,2019,RU,RU,REALE,LANDT,10433.69
19749,2019,RU,RU,SUPPO,SUPPO,10422.33
1874,2019,RU,RU,BUSIN,BUSIN,10081.06
4593,2019,RU,RU,DIST1,ELEC2,9805.31
4700,2019,RU,RU,DIST1,STEAM,9802.95
2032,2019,RU,RU,BUSIN,WHOLE,9086.60
12555,2019,RU,RU,NATUR,REALE,9013.56
19764,2019,RU,RU,SUPPO,WHOLE,8783.95
1027,2019,RU,RU,BASIC,BASIC,8757.32
3784,2019,RU,RU,CONST,REALE,8720.02
2175,2019,RU,RU,CEMEN,CONST,8638.68
14898,2019,RU,RU,PIGS9,MEATP,8545.09
6639,2019,RU,RU,FABRI,CONST,8305.56
6840,2019,RU,RU,FINAN,FINAN,8287.47
4332,2019,RU,RU,CRUDE,MOTOR,8220.55
15655,2019,RU,RU,POSTT,POSTT,8093.62
12186,2019,RU,RU,MOTOR,LANDT,7628.97
17359,2019,RU,RU,REALE,WHOLE,7113.44
21787,2019,RU,RU,WHOLE,MOTOR,7032.63
4309,2019,RU,RU,CRUDE,HEAVY,6866.38
21863,2019,RU,RU,WHOLE,WHOLE,6400.16
19729,2019,RU,RU,SUPPO,REALE,6172.68
1992,2019,RU,RU,BUSIN,PUBLI,6087.14
4335,2019,RU,RU,CRUDE,NATUR,6069.12
3677,2019,RU,RU,CONST,CONST,6022.65
19671,2019,RU,RU,SUPPO,LANDT,5860.91
1051,2019,RU,RU,BASIC,CONST,5853.89
13516,2019,RU,RU,OFFIC,WHOLE,5769.02
1997,2019,RU,RU,BUSIN,REALE,5740.52
21733,2019,RU,RU,WHOLE,ELEC2,5685.59
10303,2019,RU,RU,LANDT,SUPPO,5677.59
17046,2019,RU,RU,RAILW,WHOLE,5582.08
17202,2019,RU,RU,REALE,BUSIN,5390.04
3998,2019,RU,RU,COPPE,COPP1,5264.21
2090,2019,RU,RU,CATTL,MEATC,5223.34
21713,2019,RU,RU,WHOLE,CHEMI,5168.66
2003,2019,RU,RU,BUSIN,RETA1,5022.00
17620,2019,RU,RU,RENTI,LANDT,4830.57
19724,2019,RU,RU,SUPPO,PUBLI,4801.61
15752,2019,RU,RU,POULT,MEAT1,4753.12
10289,2019,RU,RU,LANDT,RETA1,4543.99
20933,2019,RU,RU,VEGE1,FISH5,4488.28
15776,2019,RU,RU,POULT,POULT,4478.76
1073,2019,RU,RU,BASIC,FABRI,4411.81
12908,2019,RU,RU,NONF1,NONF1,4299.52
7784,2019,RU,RU,FOOD5,FOOD5,4245.22
12137,2019,RU,RU,MOTOR,CONST,4238.23
6919,2019,RU,RU,FINAN,PUBLI,4150.53
12940,2019,RU,RU,NONF1,REALE,4118.50
2896,2019,RU,RU,CHEMI,CRUDE,4059.98
6930,2019,RU,RU,FINAN,RETA1,4059.42
12469,2019,RU,RU,NATUR,ELEC2,3978.05
17013,2019,RU,RU,RAILW,RAILW,3964.34
21732,2019,RU,RU,WHOLE,ELEC1,3811.75
16913,2019,RU,RU,RAILW,CRUDE,3803.88
18208,2019,RU,RU,RUBBE,CONST,3788.63
10850,2019,RU,RU,LIQUE,PFERT,3783.45
21759,2019,RU,RU,WHOLE,HEALT,3649.64
17077,2019,RU,RU,RAWMI,DAIRY,3649.37
20808,2019,RU,RU,TRANS,RAILW,3625.75
21085,2019,RU,RU,VEGET,FOOD5,3616.00
1888,2019,RU,RU,BUSIN,CONST,3557.42
4333,2019,RU,RU,CRUDE,NAPHT,3551.40
2045,2019,RU,RU,CATTL,CATTL,3433.18
6661,2019,RU,RU,FABRI,FABRI,3419.48
17240,2019,RU,RU,REALE,FINAN,3413.43
