trade_id,year,region1,region2,industry1,industry2,amount
12602,2019,RU,CN,CRUDE,MOTOR,17798.86
12593,2019,RU,CN,CRUDE,GASDI,12255.84
12597,2019,RU,CN,CRUDE,KEROS,7664.32
48164,2019,RU,IT,NATUR,ELEC2,3775.76
12598,2019,RU,CN,CRUDE,LIQUE,3674.36
82148,2019,RU,US,GASDI,WOODW,3411.04
83912,2019,RU,WA,BASIC,CONST,3152.17
61633,2019,RU,NL,CRUDE,MOTOR,2719.77
20747,2019,RU,DE,CRUDE,GASDI,2668.93
92511,2019,RU,WE,CRUDE,GASDI,2372.85
92525,2019,RU,WE,CRUDE,MOTOR,2282.54
12595,2019,RU,CN,CRUDE,HEAVY,2086.38
12603,2019,RU,CN,CRUDE,NAPHT,2064.65
16220,2019,RU,CN,WOODW,CONST,1968.79
52486,2019,RU,KR,CRUDE,GASDI,1964.47
20758,2019,RU,DE,CRUDE,MOTOR,1948.04
61676,2019,RU,NL,CRUDE,RUBBE,1850.05
52063,2019,RU,KR,BITUM,ELEC1,1512.00
66283,2019,RU,PL,CRUDE,GASDI,1442.13
66299,2019,RU,PL,CRUDE,MOTOR,1375.07
52474,2019,RU,KR,CRUDE,CHEM1,1334.77
16086,2019,RU,CN,TRANS,TRANS,1321.62
52489,2019,RU,KR,CRUDE,KEROS,1248.94
61608,2019,RU,NL,CRUDE,GASDI,1148.60
13760,2019,RU,CN,HEAVY,STEAM,1106.85
13560,2019,RU,CN,GASDI,CONST,1090.84
50819,2019,RU,JP,PRIVA,NATUR,1047.58
12607,2019,RU,CN,CRUDE,NONSP,1024.65
76721,2019,RU,TR,BASIC,BASIC,996.85
104277,2019,RU,WM,BASIC,FABRI,991.16
29798,2019,RU,FI,CRUDE,MOTOR,987.05
87992,2019,RU,WA,NAPHT,RUBBE,970.81
61617,2019,RU,NL,CRUDE,KEROS,957.66
82600,2019,RU,US,NAPHT,PLAST,911.11
79994,2019,RU,TR,WHEAT,FOOD5,886.36
7884,2019,RU,BR,PFERT,PFERT,869.78
91629,2019,RU,WE,BASIC,CONST,852.01
12584,2019,RU,CN,CRUDE,BITU1,828.74
49906,2019,RU,JP,CRUDE,MOTOR,824.34
108953,2019,RU,WM,WHEAT,FOOD5,797.89
78081,2019,RU,TR,GASDI,RAILW,795.88
86832,2019,RU,WA,HOTEL,WOODW,793.89
29792,2019,RU,FI,CRUDE,GASDI,790.52
85636,2019,RU,WA,ELECT,CONST,781.74
86935,2019,RU,WA,KEROS,AIRTR,776.52
82330,2019,RU,US,KEROS,AIRTR,773.50
49497,2019,RU,JP,BITUM,ELEC1,770.67
47146,2019,RU,IT,CRUDE,GASDI,764.04
16243,2019,RU,CN,WOODW,FURNI,752.66
