trade_id,year,region1,region2,industry1,industry2,amount,total_employment_value,employment_count
12602,2019,RU,CN,CRUDE,MOTOR,17798.86,0,0
12593,2019,RU,CN,CRUDE,GASDI,12255.84,0,0
12597,2019,RU,CN,CRUDE,KEROS,7664.32,0,0
48164,2019,RU,IT,NATUR,ELEC2,3775.76,0,0
12598,2019,RU,CN,CRUDE,LIQUE,3674.36,0,0
82148,2019,RU,US,GASDI,WOODW,3411.04,0,0
83912,2019,RU,WA,BASIC,CONST,3152.17,0,0
61633,2019,RU,NL,CRUDE,MOTOR,2719.77,0,0
20747,2019,RU,DE,CRUDE,GASDI,2668.93,0,0
92511,2019,RU,WE,CRUDE,GASDI,2372.85,0,0
92525,2019,RU,WE,CRUDE,MOTOR,2282.54,0,0
12595,2019,RU,CN,CRUDE,HEAVY,2086.38,0,0
12603,2019,RU,CN,CRUDE,NAPHT,2064.65,0,0
16220,2019,RU,CN,WOODW,CONST,1968.79,0,0
52486,2019,RU,KR,CRUDE,GASDI,1964.47,0,0
20758,2019,RU,DE,CRUDE,MOTOR,1948.04,0,0
61676,2019,RU,NL,CRUDE,RUBBE,1850.05,0,0
52063,2019,RU,KR,BITUM,ELEC1,1512.0,0,0
66283,2019,RU,PL,CRUDE,GASDI,1442.13,0,0
66299,2019,RU,PL,CRUDE,MOTOR,1375.07,0,0
52474,2019,RU,KR,CRUDE,CHEM1,1334.77,0,0
16086,2019,RU,CN,TRANS,TRANS,1321.62,0,0
52489,2019,RU,KR,CRUDE,KEROS,1248.94,0,0
61608,2019,RU,NL,CRUDE,GASDI,1148.6,0,0
13760,2019,RU,CN,HEAVY,STEAM,1106.85,0,0
13560,2019,RU,CN,GASDI,CONST,1090.84,0,0
50819,2019,RU,JP,PRIVA,NATUR,1047.58,0,0
12607,2019,RU,CN,CRUDE,NONSP,1024.65,0,0
76721,2019,RU,TR,BASIC,BASIC,996.85,0,0
104277,2019,RU,WM,BASIC,FABRI,991.16,0,0
29798,2019,RU,FI,CRUDE,MOTOR,987.05,0,0
87992,2019,RU,WA,NAPHT,RUBBE,970.81,0,0
61617,2019,RU,NL,CRUDE,KEROS,957.66,0,0
82600,2019,RU,US,NAPHT,PLAST,911.11,0,0
79994,2019,RU,TR,WHEAT,FOOD5,886.36,0,0
7884,2019,RU,BR,PFERT,PFERT,869.78,0,0
91629,2019,RU,WE,BASIC,CONST,852.01,0,0
12584,2019,RU,CN,CRUDE,BITU1,828.74,0,0
49906,2019,RU,JP,CRUDE,MOTOR,824.34,0,0
108953,2019,RU,WM,WHEAT,FOOD5,797.89,0,0
78081,2019,RU,TR,GASDI,RAILW,795.88,0,0
86832,2019,RU,WA,HOTEL,WOODW,793.89,0,0
29792,2019,RU,FI,CRUDE,GASDI,790.52,0,0
85636,2019,RU,WA,ELECT,CONST,781.74,0,0
86935,2019,RU,WA,KEROS,AIRTR,776.52,0,0
82330,2019,RU,US,KEROS,AIRTR,773.5,0,0
49497,2019,RU,JP,BITUM,ELEC1,770.67,0,0
47146,2019,RU,IT,CRUDE,GASDI,764.04,0,0
