trade_id,factor_id,coefficient,impact_value
154,414,178111348582.0,16844698368.664886
155,414,178111348582.0,158431848833.07504
156,414,178111348582.0,11692557102.467518
157,414,178111348582.0,8709046636.17279
158,414,178111348582.0,2833020271.7257633
159,414,178111348582.0,21940116317.204712
160,414,178111348582.0,70746182535.26122
161,414,178111348582.0,7540158579.52992
162,414,178111348582.0,2017506376.558464
163,414,178111348582.0,9820064469.163208
164,414,178111348582.0,272029651670.77277
165,414,178111348582.0,55084487289.3885
166,414,178111348582.0,5657537922.580609
167,414,178111348582.0,69793860926.12306
168,414,178111348582.0,1937153740.653549
169,414,178111348582.0,65045634962.06338
170,414,178111348582.0,9132041173.605844
171,414,178111348582.0,2416040296.6647143
172,414,178111348582.0,97787798454.98393
173,414,178111348582.0,5935005991.77034
174,414,178111348582.0,7997824460.858163
175,414,178111348582.0,4776470931.00313
176,414,178111348582.0,103166185594.32027
177,414,178111348582.0,12491521010.441372
178,414,178111348582.0,2351437961.4474244
179,414,178111348582.0,19205656230.798084
180,414,178111348582.0,26977989832.826725
181,414,178111348582.0,3727774176.131022
487,414,53100634529.0,649847805.6285722
488,414,53100634529.0,2535030788.2681828
489,414,53100634529.0,8231776880.699794
490,414,53100634529.0,1015188153.3710556
491,414,53100634529.0,50846838886.92571
492,414,53100634529.0,3066515950.5289326
493,414,53100634529.0,1231173358.8489294
494,414,53100634529.0,13028121353.46633
495,414,53100634529.0,2707116422.471756
496,414,53100634529.0,16404893830.704268
497,414,53100634529.0,1228412095416.138
498,414,53100634529.0,656842561.6475202
499,414,53100634529.0,2523934612.219727
500,414,53100634529.0,2057233253.8224814
501,414,53100634529.0,39887056856.02102
502,414,53100634529.0,2816728575.1051
503,414,53100634529.0,18322701870.27982
504,414,53100634529.0,3271010536.3328147
505,414,53100634529.0,18356713555.23635
506,414,53100634529.0,24568053906.959923
507,414,53100634529.0,2142064663.8385265
508,414,53100634529.0,5532636536.248798
509,414,53100634529.0,4955562722.171455
510,414,53100634529.0,1203930249.5374422
511,414,53100634529.0,1541296519.3689384
512,414,53100634529.0,889872300.6641501
513,414,53100634529.0,12533277378.643396
514,414,53100634529.0,4070945809.339616
515,414,53100634529.0,75216661580.85428
516,414,53100634529.0,2431429443.4538927
517,414,53100634529.0,3279171606.5193787
518,414,53100634529.0,1002815883.4500948
519,414,53100634529.0,1064543709.9853878
520,414,53100634529.0,36655686182.58246
521,414,53100634529.0,35932674133.25447
522,414,53100634529.0,448697578637.8218
523,414,53100634529.0,18178818627.541073
524,414,53100634529.0,641348097.5141449
525,414,53100634529.0,1557521486.3561482
526,414,53100634529.0,4062388825.5479603
527,414,53100634529.0,654628581.0674055
528,414,53100634529.0,8187009812.334909
529,414,53100634529.0,28733605551.636707
530,414,53100634529.0,806829177.4650782
531,414,53100634529.0,6989572702.674045
532,414,53100634529.0,38176591715.40022
533,414,53100634529.0,26628078279.00619
534,414,53100634529.0,1098107006.7534685
535,414,53100634529.0,15152485653.886665
536,414,53100634529.0,761346412.1794626
537,414,53100634529.0,2552237179.3272443
538,414,53100634529.0,10843792295.592075
539,414,53100634529.0,1113514264.83518
540,414,53100634529.0,6215972046.658371
541,414,53100634529.0,17819017606.080055
542,414,53100634529.0,3471939595.893292
543,414,53100634529.0,5508403863.722323
544,414,53100634529.0,30173631863.742203
545,414,53100634529.0,56888044143.134865
1524,414,106146088758.0,1617236747.674731
1525,414,106146088758.0,14679152401.898228
1526,414,106146088758.0,4329240043.375515
1527,414,106146088758.0,5655108417.963328
1528,414,106146088758.0,1230171920.4058456
1529,414,106146088758.0,3007242659.2512865
1530,414,106146088758.0,1383493896.5634704
1531,414,106146088758.0,1388330378.1681662
1532,414,106146088758.0,2135378479.5726836
1533,414,106146088758.0,3055153383.912114
1534,414,106146088758.0,7680632996.813436
1535,414,106146088758.0,1708221191.2423048
1536,414,106146088758.0,9735006902.530056
1537,414,106146088758.0,258933673577.089
1538,414,106146088758.0,1290512414.697042
1539,414,106146088758.0,1104075825.4284244
1540,414,106146088758.0,5797937759.923583
1814,414,66822528969.1,2592532536.2309933
1815,414,66822528969.1,1868583507.5381417
1816,414,66822528969.1,6431900927.317206
1817,414,66822528969.1,1480983192.018457
1818,414,66822528969.1,14519485857.208267
1819,414,66822528969.1,1304130638.816803
1820,414,66822528969.1,2848404615.2493935
1821,414,66822528969.1,37051296185.79857
1822,414,66822528969.1,1984243733.7651653
1823,414,66822528969.1,6325752708.102452
1824,414,66822528969.1,1024458341.5733191
1825,414,66822528969.1,1175622006.7561567
1826,414,66822528969.1,1179035682.3508086
1827,414,66822528969.1,1909170086.095598
1828,414,66822528969.1,2289765090.65814
1829,414,66822528969.1,832624033.0067192
1830,414,66822528969.1,1376193405.6162336
1831,414,66822528969.1,3885183433.4914045
1832,414,66822528969.1,3922349916.2391777
1833,414,66822528969.1,1555997857.3528275
1834,414,66822528969.1,2255211383.453922
1835,414,66822528969.1,10715342876.394484
1836,414,66822528969.1,6762546724.3648815
1837,414,66822528969.1,3730327287.713118
1838,414,66822528969.1,6398790723.684812
1839,414,66822528969.1,106805524040.66699
1840,414,66822528969.1,1954869985.952945
1841,414,66822528969.1,1932399671.069266
1842,414,66822528969.1,903801875.6370312
1843,414,66822528969.1,4693536556.626888
1844,414,66822528969.1,1010389504.3529173
1845,414,66822528969.1,2627314920.901135
1846,414,66822528969.1,2784431646.132164
1847,414,66822528969.1,1180593687.9297612
1848,414,66822528969.1,1731540474.245808
1849,414,66822528969.1,6558263692.356383
1850,414,66822528969.1,15145917673.53552
1851,414,66822528969.1,36287926690.02152
1852,414,66822528969.1,17450400407.99665
1853,414,66822528969.1,2906253952.1086
1854,414,66822528969.1,7941774603.263888
1855,414,66822528969.1,1427543759.8931205
