trade_id,year,region1,region2,industry1,industry2,amount
115493,2019,WM,RU,HOTEL,REALE,5410.77
99828,2019,WA,RU,HOTEL,REALE,3912.06
92304,2019,TW,RU,HOTEL,REALE,3337.76
105752,2019,WE,RU,HOTEL,REALE,2721.30
90055,2019,TR,RU,HOTEL,REALE,2581.02
54060,2019,IE,RU,RENTI,MOTO1,2330.99
100764,2019,WA,RU,NATUR,FISH5,2306.48
24935,2019,DE,RU,HOTEL,REALE,1947.45
97627,2019,WA,RU,BASIC,MOTO1,1326.35
36665,2019,FI,RU,HOTEL,REALE,1301.15
91929,2019,TW,RU,CONST,FURNI,1260.10
100847,2019,WA,RU,NATUR,WOODW,1120.10
14025,2019,CN,RU,CHEM1,HEALT,1107.30
91950,2019,TW,RU,CONST,MOTO1,1062.39
33668,2019,ES,RU,HOTEL,REALE,1033.69
93719,2019,US,RU,BUSIN,MOTO1,1014.29
97557,2019,WA,RU,BASIC,BASIC,985.30
54019,2019,IE,RU,RENTI,ELECT,964.06
17405,2019,CN,RU,TEXTI,MOTO1,831.86
72225,2019,NL,RU,BUSIN,MOTO1,790.28
11129,2019,CH,RU,CHEM1,HEALT,789.90
58019,2019,IT,RU,HOTEL,REALE,784.56
14461,2019,CN,RU,ELECT,MEDIC,770.17
12001,2019,CH,RU,HOTEL,REALE,766.71
94983,2019,US,RU,HOTEL,REALE,685.32
53979,2019,IE,RU,RENTI,AIRTR,675.44
14946,2019,CN,RU,FURNI,ELECT,652.49
43304,2019,GB,RU,BUSIN,MOTO1,632.05
15351,2019,CN,RU,HOTEL,REALE,625.63
97574,2019,WA,RU,BASIC,CONST,611.07
25376,2019,DE,RU,MACHI,CONST,574.74
108609,2019,WE,RU,TEXTI,MOTO1,569.69
101525,2019,WA,RU,POSTT,ELEC4,566.78
97589,2019,WA,RU,BASIC,ELECT,551.32
102843,2019,WA,RU,VEGET,FOOD5,551.29
44539,2019,GB,RU,HOTEL,REALE,544.27
104671,2019,WE,RU,DAIRY,FISH5,543.70
40415,2019,FR,RU,HOTEL,REALE,535.71
103881,2019,WE,RU,BUSIN,MOTO1,523.91
97106,2019,WA,RU,AIRTR,ELEC3,516.24
1242,2019,AT,RU,HOTEL,REALE,507.95
23287,2019,DE,RU,BUSIN,MOTO1,501.09
96841,2019,US,RU,TRANS,TRANS,500.89
18648,2019,CY,RU,HOTEL,REALE,493.14
112564,2019,WL,RU,MEATC,MEATC,485.32
47511,2019,GR,RU,HOTEL,REALE,475.08
7016,2019,BG,RU,HOTEL,REALE,473.88
97590,2019,WA,RU,BASIC,FABRI,470.17
91917,2019,TW,RU,CONST,ELECT,437.08
101583,2019,WA,RU,POSTT,POSTT,434.55
116917,2019,WM,RU,VEGET,FOOD5,429.00
14557,2019,CN,RU,FABRI,CONST,426.99
93679,2019,US,RU,BUSIN,ELECT,424.84
54045,2019,IE,RU,RENTI,LANDT,424.52
102616,2019,WA,RU,TEXTI,MOTO1,415.67
104198,2019,WE,RU,CHEM1,HEALT,389.64
106426,2019,WE,RU,MEATC,MEATC,360.93
10655,2019,CH,RU,AIRTR,ELEC3,355.18
25498,2019,DE,RU,MACHI,TRANS,347.61
17374,2019,CN,RU,TEXTI,ELECT,343.56
108063,2019,WE,RU,RUBBE,CONST,341.36
17032,2019,CN,RU,RUBBE,CONST,340.40
104928,2019,WE,RU,FABRI,CONST,339.54
107309,2019,WE,RU,PLAST,RUBBE,339.09
104453,2019,WE,RU,CONST,FURNI,338.80
72185,2019,NL,RU,BUSIN,ELECT,331.01
105232,2019,WE,RU,FOOD5,FURNI,326.57
23541,2019,DE,RU,CHEM1,HEALT,323.13
76345,2019,NO,RU,HOTEL,REALE,321.89
111232,2019,WL,RU,BUSIN,MOTO1,319.96
52724,2019,IE,RU,BUSIN,MOTO1,317.31
18120,2019,CY,RU,BUSIN,MOTO1,313.96
105328,2019,WE,RU,FURNI,ELECT,312.77
107838,2019,WE,RU,RAILW,COKEO,312.45
107354,2019,WE,RU,POSTT,ELEC4,308.12
89332,2019,TR,RU,CONST,FURNI,307.14
24438,2019,DE,RU,FOOD5,FURNI,303.32
73407,2019,NL,RU,HOTEL,REALE,298.31
16310,2019,CN,RU,OFFIC,HEALT,292.05
104469,2019,WE,RU,CONST,MOTO1,285.64
104650,2019,WE,RU,DAIRY,CEREA,282.46
39185,2019,FR,RU,BUSIN,MOTO1,279.83
100812,2019,WA,RU,NATUR,PRECI,279.36
112012,2019,WL,RU,FISH5,ELECT,279.31
20896,2019,CZ,RU,HOTEL,REALE,277.97
115488,2019,WM,RU,HOTEL,PUBLI,270.05
43264,2019,GB,RU,BUSIN,ELECT,264.74
89348,2019,TR,RU,CONST,MOTO1,258.95
13622,2019,CN,RU,BASIC,MOTO1,258.16
93905,2019,US,RU,CHEM1,HEALT,256.88
26375,2019,DE,RU,PLAST,RUBBE,256.64
16278,2019,CN,RU,OFFIC,CONST,255.73
23851,2019,DE,RU,CONST,FURNI,247.03
93650,2019,US,RU,BUSIN,BUSIN,242.88
27026,2019,DE,RU,RUBBE,CONST,241.30
113635,2019,WL,RU,VEGET,FOOD5,238.00
16376,2019,CN,RU,OFFIC,RESEA,236.82
