trade_id,year,region1,region2,industry1,industry2,amount
11268,2019,WM,WM,NATUR,ELEC2,29804.18
1649,2019,WM,WM,BUSIN,PUBLI,25182.91
14339,2019,WM,WM,POSTT,PUBLI,18579.66
11288,2019,WM,WM,NATUR,FURNI,15294.93
930,2019,WM,WM,BASIC,BASIC,14332.06
20171,2019,WM,WM,WHOLE,CONST,12705.69
20267,2019,WM,WM,WHOLE,PUBLI,12651.94
18793,2019,WM,WM,TEXTI,TEXTI,12415.05
9062,2019,WM,WM,KEROS,PUBLI,11634.97
16513,2019,WM,WM,RETA1,CONST,11209.93
16609,2019,WM,WM,RETA1,PUBLI,11171.69
3079,2019,WM,WM,CONST,CONST,10069.42
6861,2019,WM,WM,FOOD5,FOOD5,9541.42
1859,2019,WM,WM,CEMEN,CONST,9468.98
20043,2019,WM,WM,WHEAT,FOOD5,9212.78
20639,2019,WM,WM,WOODW,CONST,8867.15
9223,2019,WM,WM,LANDT,PUBLI,8351.63
15725,2019,WM,WM,RAWMI,DAIRY,8200.90
5851,2019,WM,WM,FINAN,PUBLI,7996.28
1761,2019,WM,WM,CATTL,MEATC,7750.72
1561,2019,WM,WM,BUSIN,CONST,7223.55
2148,2019,WM,WM,CEREA,FOOD5,7101.61
11018,2019,WM,WM,MOTO1,MOTO1,6776.90
259,2019,WM,WM,AIRTR,PUBLI,6568.29
9128,2019,WM,WM,LANDT,CONST,5462.24
14333,2019,WM,WM,POSTT,POSTT,5358.41
20198,2019,WM,WM,WHOLE,FOOD5,5101.84
7270,2019,WM,WM,FOUND,CONST,5043.38
20207,2019,WM,WM,WHOLE,HEALT,4844.74
6082,2019,WM,WM,FISHF,FISH5,4814.81
20303,2019,WM,WM,WHOLE,WHOLE,4469.43
19122,2019,WM,WM,TRAN2,CRUDE,4291.67
5856,2019,WM,WM,FINAN,REALE,4180.18
4498,2019,WM,WM,ELEC2,PUBLI,4005.12
1565,2019,WM,WM,BUSIN,CRUDE,3951.55
16549,2019,WM,WM,RETA1,HEALT,3939.91
4406,2019,WM,WM,ELEC2,CRUDE,3903.32
