trade_id,year,region1,region2,industry1,industry2,amount
16219,2019,WM,CN,CRUDE,MOTOR,57271.48
16209,2019,WM,CN,CRUDE,GASDI,39435.69
52911,2019,WM,IN,CRUDE,GASDI,30325.93
16213,2019,WM,CN,CRUDE,KEROS,24661.53
60897,2019,WM,JP,CRUDE,MOTOR,22941.08
52918,2019,WM,IN,CRUDE,MOTOR,18868.50
60887,2019,WM,JP,CRUDE,GASDI,16952.64
63784,2019,WM,KR,CRUDE,GASDI,15946.10
101218,2019,WM,WA,CRUDE,MOTOR,15908.17
101203,2019,WM,WA,CRUDE,GASDI,15629.84
101209,2019,WM,WA,CRUDE,KEROS,13567.35
16215,2019,WM,CN,CRUDE,LIQUE,11823.02
63767,2019,WM,KR,CRUDE,CHEM1,10834.68
63788,2019,WM,KR,CRUDE,KEROS,10137.96
60893,2019,WM,JP,CRUDE,KEROS,8693.76
18425,2019,WM,CN,PLAST,RUBBE,7742.05
52915,2019,WM,IN,CRUDE,LIQUE,7262.01
96209,2019,WM,US,CRUDE,CRUDE,7110.95
60890,2019,WM,JP,CRUDE,HEAVY,7052.72
16211,2019,WM,CN,CRUDE,HEAVY,6713.35
16220,2019,WM,CN,CRUDE,NAPHT,6643.42
63792,2019,WM,KR,CRUDE,MOTOR,6086.29
63793,2019,WM,KR,CRUDE,NAPHT,6016.39
84065,2019,WM,RU,HOTEL,REALE,5410.77
99921,2019,WM,WA,BASIC,CONST,5380.95
101205,2019,WM,WA,CRUDE,HEAVY,5225.81
52914,2019,WM,IN,CRUDE,KEROS,5186.03
52919,2019,WM,IN,CRUDE,NAPHT,4834.54
17864,2019,WM,CN,NATU1,PLAST,4200.42
103202,2019,WM,WA,KEROS,AIRTR,4093.18
96198,2019,WM,US,CRUDE,CHEM1,3899.77
54258,2019,WM,IN,PFERT,PFERT,3760.07
17370,2019,WM,CN,LIQUE,PFERT,3426.95
101212,2019,WM,WA,CRUDE,LIQUE,3305.31
16225,2019,WM,CN,CRUDE,NONSP,3297.02
60898,2019,WM,JP,CRUDE,NAPHT,3278.29
60892,2019,WM,JP,CRUDE,KERO1,3255.70
105456,2019,WM,WA,PLAST,LEATH,2740.19
16194,2019,WM,CN,CRUDE,BITU1,2666.63
38371,2019,WM,FR,PRIVA,REALE,2654.15
11367,2019,WM,BR,PFERT,PFERT,2588.99
63786,2019,WM,KR,CRUDE,HEAVY,2550.64
101219,2019,WM,WA,CRUDE,NAPHT,2270.11
120795,2019,WM,ZA,CRUDE,MOTOR,2232.86
96257,2019,WM,US,CRUDE,MOTOR,2062.79
113922,2019,WM,WF,KEROS,AIRTR,2050.28
95420,2019,WM,US,ALUM1,ALUM1,1940.68
63801,2019,WM,KR,CRUDE,PLAST,1861.50
52275,2019,WM,IN,BASIC,CONST,1844.52
96300,2019,WM,US,CRUDE,RUBBE,1841.47
53957,2019,WM,IN,NATU1,GASDI,1834.80
15849,2019,WM,CN,CHEM1,PLAST,1791.55
56168,2019,WM,IT,CRUDE,GASDI,1768.54
97957,2019,WM,US,PFERT,PFERT,1763.30
60894,2019,WM,JP,CRUDE,LIQUE,1735.56
16200,2019,WM,CN,CRUDE,CRUDE,1734.08
104424,2019,WM,WA,NATU1,MOTOR,1669.17
104412,2019,WM,WA,NATU1,GASDI,1639.97
16198,2019,WM,CN,CRUDE,COALT,1639.38
113552,2019,WM,WF,GASDI,FURNI,1594.58
30851,2019,WM,ES,CRUDE,PLAST,1542.79
36201,2019,WM,FR,CRUDE,GASDI,1502.50
96228,2019,WM,US,CRUDE,GASDI,1495.90
102409,2019,WM,WA,GASDI,MEDIC,1454.79
56132,2019,WM,IT,CRUDE,CHEM1,1432.64
104417,2019,WM,WA,NATU1,KEROS,1423.58
49561,2019,WM,ID,BASIC,CONST,1411.11
120788,2019,WM,ZA,CRUDE,GASDI,1389.62
52912,2019,WM,IN,CRUDE,HEAVY,1341.51
96189,2019,WM,US,CRUDE,BIOGA,1324.06
14183,2019,WM,CH,FURNI,BUSIN,1321.51
30831,2019,WM,ES,CRUDE,GASDI,1307.95
56193,2019,WM,IT,CRUDE,MOTOR,1292.22
104196,2019,WM,WA,MOTOR,MEATC,1282.14
18686,2019,WM,CN,RADIO,OFFIC,1277.58
111614,2019,WM,WF,BASIC,CONST,1269.96
98553,2019,WM,US,RUBBE,MOTO1,1261.57
71637,2019,WM,NL,CRUDE,MOTOR,1258.87
18115,2019,WM,CN,OFFIC,OFFIC,1254.41
65137,2019,WM,KR,NATU1,GASDI,1244.26
63804,2019,WM,KR,CRUDE,REFI1,1232.69
96942,2019,WM,US,GASDI,WOODW,1224.67
102296,2019,WM,WA,FURNI,RETA1,1218.32
16226,2019,WM,CN,CRUDE,PARAF,1199.30
18346,2019,WM,CN,PFERT,VEGET,1198.29
60908,2019,WM,JP,CRUDE,RUBBE,1147.43
53963,2019,WM,IN,NATU1,MOTOR,1141.59
114434,2019,WM,WF,MOTOR,LANDT,1140.63
113616,2019,WM,WF,GASDI,RUBBE,1138.11
36222,2019,WM,FR,CRUDE,MOTOR,1131.99
65103,2019,WM,KR,NATU1,CHEM1,1130.19
52913,2019,WM,IN,CRUDE,KERO1,1121.21
12347,2019,WM,CA,CRUDE,MOTOR,1113.81
25235,2019,WM,DE,HOTEL,SUPPO,1104.47
44034,2019,WM,GR,CRUDE,MOTOR,1028.63
29175,2019,WM,DK,SEACO,SEACO,1017.28
64496,2019,WM,KR,KEROS,AIRTR,1006.75
17847,2019,WM,CN,NATU1,MOTOR,999.69
