trade_id,year,region1,region2,industry1,industry2,amount,total_resources_value,resources_count,unique_resources_factors,emission/air,natural_resource/water,resources_Water_Consumption,resources_Crops,resources_intensity
2193,2019,US,US,BUSIN,BUSIN,389532.68,6481099.554,66.0,66.0,708502.981,5772596.573,5772596.573,2948634.377,16.638141
2245,2019,US,US,BUSIN,HEALT,259298.4,5012544.219,66.0,66.0,938454.491,4074089.728,4074089.728,2844786.883,19.331181
2312,2019,US,US,BUSIN,REALE,255903.78,4255368.145,66.0,66.0,589346.711,3666021.435,3666021.435,2167531.771,16.628782
6903,2019,US,US,FINAN,FINAN,198897.43,3958629.168,66.0,66.0,857723.206,3100905.961,3100905.961,2044319.133,19.902867
6984,2019,US,US,FINAN,REALE,187989.89,3555968.425,66.0,66.0,841689.765,2714278.66,2714278.66,2015961.084,18.915743
873,2019,US,US,AUXIL,INSUR,158180.93,3333243.717,66.0,66.0,515716.451,2817527.266,2817527.266,1788810.988,21.072349
805,2019,US,US,AUXIL,AUXIL,163057.95,3179872.567,66.0,66.0,477432.001,2702440.566,2702440.566,1668415.681,19.501487
2230,2019,US,US,BUSIN,FINAN,159145.98,3093085.877,66.0,66.0,507143.786,2585942.091,2585942.091,1590514.821,19.435526
3625,2019,US,US,CONST,REALE,173110.35,2899462.598,66.0,66.0,363596.12,2535866.479,2535866.479,1392786.039,16.749216
6924,2019,US,US,FINAN,INSUR,124822.18,2502874.948,66.0,66.0,563325.446,1939549.502,1939549.502,1360460.981,20.051524
16494,2019,US,US,REALE,HEALT,154835.89,2441519.625,66.0,66.0,307933.389,2133586.236,2133586.236,1165456.925,15.768435
2345,2019,US,US,BUSIN,WHOLE,159641.32,2418316.226,66.0,66.0,125806.414,2292509.811,2292509.811,1108745.371,15.148435
2318,2019,US,US,BUSIN,RETA1,119885.67,2340069.626,66.0,66.0,357589.011,1982480.615,1982480.615,1210580.02,19.519177
16560,2019,US,US,REALE,REALE,136433.51,2333768.022,66.0,66.0,362236.271,1971531.751,1971531.751,1136482.986,17.105534
2307,2019,US,US,BUSIN,PUBLI,108230.27,2212967.821,66.0,66.0,426422.971,1786544.851,1786544.851,1216234.614,20.446847
2247,2019,US,US,BUSIN,HOTEL,116784.9,2184505.413,66.0,66.0,270140.705,1914364.708,1914364.708,1164043.044,18.705376
3334,2019,US,US,COMPU,BUSIN,95561.05,2003342.606,66.0,66.0,299796.817,1703545.789,1703545.789,995877.594,20.964008
12076,2019,US,US,MOTO1,MOTO1,115110.9,1955720.332,66.0,66.0,288588.148,1667132.185,1667132.185,1001373.336,16.98988
9760,2019,US,US,INSUR,HEALT,104031.25,1945127.899,66.0,66.0,281433.104,1663694.794,1663694.794,915238.827,18.697535
16442,2019,US,US,REALE,BUSIN,116947.02,1913670.672,66.0,66.0,193658.319,1720012.353,1720012.353,895151.739,16.363569
6486,2019,US,US,ELECT,CONST,30008.84,1874913.204,66.0,66.0,314574.075,1560339.129,1560339.129,925567.129,62.478696
7767,2019,US,US,FOOD5,FOOD5,41350.43,1834007.959,66.0,66.0,77210.864,1756797.094,1756797.094,818523.005,44.352815
16731,2019,US,US,RECRE,RECRE,91614.35,1825309.795,66.0,66.0,431000.251,1394309.544,1394309.544,1002279.748,19.923842
2206,2019,US,US,BUSIN,COMPU,102516.62,1720362.972,66.0,66.0,169945.866,1550417.106,1550417.106,775828.159,16.781308
20883,2019,US,US,WHOLE,HEALT,74946.7,1702567.453,66.0,66.0,366578.377,1335989.076,1335989.076,935447.196,22.717044
20845,2019,US,US,WHOLE,CONST,89883.16,1685418.174,66.0,66.0,291329.041,1394089.133,1394089.133,885000.494,18.751212
3979,2019,US,US,CRUDE,CRUDE,59521.32,1664346.987,66.0,66.0,824127.132,840219.855,840219.855,1210994.271,27.962199
17164,2019,US,US,RETA1,CONST,82894.37,1564060.024,66.0,66.0,128134.713,1435925.312,1435925.312,746694.894,18.868109
16496,2019,US,US,REALE,HOTEL,75525.76,1555470.315,66.0,66.0,357929.644,1197540.672,1197540.672,825087.829,20.595229
4035,2019,US,US,CRUDE,MOTOR,83496.86,1537780.829,66.0,66.0,267524.516,1270256.313,1270256.313,806518.043,18.417229
6866,2019,US,US,FINAN,BUSIN,76425.35,1472492.692,66.0,66.0,329282.118,1143210.574,1143210.574,841851.284,19.267072
