trade_id,year,region1,region2,industry1,industry2,amount,total_impact_value,factor_count,unique_factors,air_emissions,employment,energy,land,material,water,CO2_total,Water_total,Employment_total,Energy_total,Land_total,impact_intensity
11268,2019,WM,WM,NATUR,ELEC2,29804.18,2142622676444.766,2.0,2.0,2126533620040.133,0.0,0.0,0.0,16089056404.633,0.0,2126533620040.133,0.0,0.0,0.0,0.0,71890005.913424
4498,2019,WM,WM,ELEC2,PUBLI,4005.12,1764710236203.134,5.0,3.0,1764710135279.048,0.0,100618.189,0.0,0.0,305.896,1764710135279.048,305.896,0.0,100618.189,0.0,440613573.676478
4406,2019,WM,WM,ELEC2,CRUDE,3903.32,1719855966655.44,5.0,3.0,1719855868296.578,0.0,98060.741,0.0,0.0,298.121,1719855868296.578,298.121,0.0,98060.741,0.0,440613622.93008
11288,2019,WM,WM,NATUR,FURNI,15294.93,1099552385813.595,2.0,2.0,1091295794230.91,0.0,0.0,0.0,8256591582.685,0.0,1091295794230.91,0.0,0.0,0.0,0.0,71889991.377116
4409,2019,WM,WM,ELEC2,DISTR,1889.78,832662610917.791,5.0,3.0,832662563297.671,0.0,47475.785,0.0,0.0,144.334,832662563297.671,144.334,0.0,47475.785,0.0,440613516.344649
1859,2019,WM,WM,CEMEN,CONST,9468.98,731203843895.032,1.0,1.0,731203843895.032,0.0,0.0,0.0,0.0,0.0,731203843895.032,0.0,0.0,0.0,0.0,77220972.469583
259,2019,WM,WM,AIRTR,PUBLI,6568.29,605453671664.899,1.0,1.0,605453671664.899,0.0,0.0,0.0,0.0,0.0,605453671664.899,0.0,0.0,0.0,0.0,92178279.531644
7404,2019,WM,WM,FURNI,CONST,2751.47,572931405724.68,5.0,2.0,572931360726.116,0.0,44998.565,0.0,0.0,0.0,572931360726.116,0.0,0.0,44998.565,0.0,208227385.988101
4410,2019,WM,WM,ELEC2,EDUCA,1115.1,491326389129.45,5.0,3.0,491326361030.409,0.0,28013.875,0.0,0.0,85.167,491326361030.409,85.167,0.0,28013.875,0.0,440611953.304143
4973,2019,WM,WM,ELEC6,CRUDE,1680.96,481145937472.686,4.0,2.0,481145917898.028,0.0,19574.658,0.0,0.0,0.0,481145917898.028,0.0,0.0,19574.658,0.0,286232829.735797
4402,2019,WM,WM,ELEC2,CONST,1068.9,470973746010.52,5.0,3.0,470973719075.449,0.0,26853.431,0.0,0.0,81.639,470973719075.449,81.639,0.0,26853.431,0.0,440615348.498943
4508,2019,WM,WM,ELEC2,RESEA,888.61,391531857879.928,5.0,3.0,391531835488.153,0.0,22323.907,0.0,0.0,67.868,391531835488.153,67.868,0.0,22323.907,0.0,440611581.998771
4503,2019,WM,WM,ELEC2,REALE,856.11,377212746032.067,5.0,3.0,377212724459.205,0.0,21507.476,0.0,0.0,65.386,377212724459.205,65.386,0.0,21507.476,0.0,440612475.069871
10761,2019,WM,WM,MEDIC,PUBLI,1912.92,327321872786.432,3.0,2.0,327321861222.485,0.0,11563.948,0.0,0.0,0.0,327321861222.485,0.0,0.0,11563.948,0.0,171111114.310286
4509,2019,WM,WM,ELEC2,RETA1,719.35,316953520270.942,5.0,3.0,316953502144.315,0.0,18071.686,0.0,0.0,54.941,316953502144.315,54.941,0.0,18071.686,0.0,440610996.414738
4468,2019,WM,WM,ELEC2,NATUR,653.35,287876694922.961,5.0,3.0,287876678459.242,0.0,16413.817,0.0,0.0,49.901,287876678459.242,49.901,0.0,16413.817,0.0,440616354.056725
4439,2019,WM,WM,ELEC2,HEALT,606.28,267135127860.111,5.0,3.0,267135112582.606,0.0,15231.199,0.0,0.0,46.305,267135112582.606,46.305,0.0,15231.199,0.0,440613458.897062
4976,2019,WM,WM,ELEC6,DISTR,907.12,259649411368.601,4.0,2.0,259649400805.178,0.0,10563.424,0.0,0.0,0.0,259649400805.178,0.0,0.0,10563.424,0.0,286234909.789886
11320,2019,WM,WM,NATUR,NATUR,3430.01,246583611500.132,2.0,2.0,244732003339.023,0.0,0.0,0.0,1851608161.11,0.0,244732003339.023,0.0,0.0,0.0,0.0,71890056.151478
