trade_id,factor_id,coefficient,impact_value
9886,8,66323947830.0,18763682454.802605
9887,8,66323947830.0,2445156590.3515205
9888,8,66323947830.0,20735112469.246056
9889,8,66323947830.0,2819053664.9825025
9890,8,66323947830.0,20299013205.296272
9891,8,66323947830.0,2247787136.631275
9892,8,66323947830.0,5867637230.6904125
9893,8,66323947830.0,286525358910.77783
9894,8,66323947830.0,3362347518.0134697
9895,8,66323947830.0,1075010806.960618
9896,8,66323947830.0,917991902.8321688
9897,8,66323947830.0,2067784645.0687952
9898,8,66323947830.0,794399442.8824933
9899,8,66323947830.0,1279496230.1060052
9900,8,66323947830.0,2463893800.3104224
9901,8,66323947830.0,1870336502282.2415
9902,8,66323947830.0,5686303497.461904
9903,8,66323947830.0,674643855.8931063
9904,8,66323947830.0,12441599739.413345
9905,8,66323947830.0,2986029219532.3623
9906,8,66323947830.0,23229244345.718384
9907,8,66323947830.0,80878417761.01619
9908,8,66323947830.0,252287596537.1132
9909,8,66323947830.0,5546540682.172105
9910,8,66323947830.0,19086147691.97205
9911,8,66323947830.0,23230036494.146107
9912,8,66323947830.0,727086220.371142
9913,8,66323947830.0,3195770182.9520946
9914,8,66323947830.0,23117868529.779575
9915,8,66323947830.0,276416014340.9795
9916,8,66323947830.0,19724394474.994915
9917,8,66323947830.0,31728652021.171757
9918,8,66323947830.0,2328353798.5587864
9919,8,66323947830.0,10216492477.007563
9920,8,66323947830.0,12138952745.641502
9921,8,66323947830.0,1514214381.7996023
9922,8,66323947830.0,808836915.554914
9923,8,66323947830.0,22639571658.764435
9924,8,66323947830.0,14962135311.50145
9925,8,66323947830.0,110385689942.49648
9926,8,66323947830.0,33897823656.293068
9927,8,66323947830.0,6303259976.32225
9928,8,66323947830.0,7905322561.174784
9929,8,66323947830.0,88171036824.22359
9930,8,66323947830.0,2334162781.078474
9931,8,59289732070.0,36303918091.34236
9932,8,59289732070.0,921309807.4813896
9933,8,59289732070.0,774885861.5019696
9934,8,59289732070.0,2949998550.525637
9935,8,59289732070.0,4537589218.2966
9936,8,59289732070.0,2014298237.0885415
9937,8,59289732070.0,622018194.6365377
9938,8,59289732070.0,809985828.5920414
9939,8,59289732070.0,2751748912312.0537
9940,8,59289732070.0,1165945183.3313968
9941,8,59289732070.0,1174130732201.6257
