trade_id,year,region1,region2,industry1,industry2,amount
601,2022,US,US,AUXIL,AUXIL,341678.61
14649,2022,US,US,REALE,HEALT,292959.61
667,2022,US,US,AUXIL,INSUR,291510.58
1826,2022,US,US,BUSIN,HEALT,244780.22
3006,2022,US,US,CONST,REALE,237741.61
3372,2022,US,US,CRUDE,MOTOR,204081.06
8571,2022,US,US,INSUR,HEALT,191983.72
14717,2022,US,US,REALE,RETA1,183858.73
1894,2022,US,US,BUSIN,RESEA,175768.96
6090,2022,US,US,FINAN,REALE,171566.38
14712,2022,US,US,REALE,REALE,167674.79
1890,2022,US,US,BUSIN,REALE,159723.30
1777,2022,US,US,BUSIN,BUSIN,137071.77
15245,2022,US,US,RESEA,RESEA,131478.98
6013,2022,US,US,FINAN,FINAN,131306.64
18437,2022,US,US,WHOLE,HEALT,127853.77
6033,2022,US,US,FINAN,INSUR,126163.22
14651,2022,US,US,REALE,HOTEL,119799.84
14744,2022,US,US,REALE,WHOLE,111185.77
15302,2022,US,US,RETA1,CONST,109759.64
13673,2022,US,US,POSTT,WHOLE,109713.21
18404,2022,US,US,WHOLE,CONST,106274.88
3318,2022,US,US,CRUDE,CRUDE,106242.05
1895,2022,US,US,BUSIN,RETA1,105749.46
3342,2022,US,US,CRUDE,GASDI,103061.28
14716,2022,US,US,REALE,RESEA,97158.43
1828,2022,US,US,BUSIN,HOTEL,96728.65
10781,2022,US,US,MOTO1,MOTO1,93140.29
13630,2022,US,US,POSTT,POSTT,91809.91
14655,2022,US,US,REALE,INSUR,85489.89
8634,2022,US,US,INSUR,REALE,84103.87
18531,2022,US,US,WHOLE,WHOLE,81025.62
3308,2022,US,US,CRUDE,CHEM1,79356.74
7996,2022,US,US,HOTEL,HEALT,79076.44
5826,2022,US,US,FABRI,CONST,78802.38
16834,2022,US,US,SUPPO,RESEA,77435.77
14601,2022,US,US,REALE,BUSIN,76954.04
1812,2022,US,US,BUSIN,FINAN,76635.59
13589,2022,US,US,POSTT,LANDT,76034.93
16835,2022,US,US,SUPPO,RETA1,74189.43
14620,2022,US,US,REALE,EDUCA,74161.46
13578,2022,US,US,POSTT,HEALT,72330.21
2005,2022,US,US,CEMEN,CONST,71647.72
16861,2022,US,US,SUPPO,WHOLE,69404.55
2730,2022,US,US,COMPU,BUSIN,68444.42
5888,2022,US,US,FABRI,MOTO1,67933.15
1788,2022,US,US,BUSIN,COMPU,65737.27
14635,2022,US,US,REALE,FINAN,65666.35
13501,2022,US,US,PLAST,RUBBE,64198.46
2779,2022,US,US,COMPU,HEALT,61733.54
7762,2022,US,US,HEALT,HEALT,61432.69
9017,2022,US,US,LANDT,CONST,56762.95
6843,2022,US,US,FOOD5,FOOD5,55305.33
8956,2022,US,US,KEROS,AIRTR,55218.86
9024,2022,US,US,LANDT,EDUCA,54221.95
6027,2022,US,US,FINAN,HEALT,53180.85
13529,2022,US,US,POSTT,BUSIN,50860.17
3849,2022,US,US,DISTR,REALE,50845.28
3001,2022,US,US,CONST,PUBLI,50554.49
13549,2022,US,US,POSTT,EDUCA,48005.49
13646,2022,US,US,POSTT,RETA1,46335.23
18464,2022,US,US,WHOLE,MOTO1,45741.01
16779,2022,US,US,SUPPO,LANDT,45453.90
1789,2022,US,US,BUSIN,CONST,45374.22
18429,2022,US,US,WHOLE,FOOD5,44568.59
1879,2022,US,US,BUSIN,POSTT,44302.60
874,2022,US,US,BASIC,FABRI,43227.40
14543,2022,US,US,RAWMI,DAIRY,42720.31
8629,2022,US,US,INSUR,PUBLI,40635.06
1956,2022,US,US,CATTL,MEATC,40617.12
18505,2022,US,US,WHOLE,RESEA,39714.36
2368,2022,US,US,CHEM1,HEALT,39466.91
5978,2022,US,US,FINAN,BUSIN,39293.24
16847,2022,US,US,SUPPO,SUPPO,38888.73
18411,2022,US,US,WHOLE,EDUCA,38502.92
9045,2022,US,US,LANDT,FOOD5,38378.98
2838,2022,US,US,COMPU,PUBLI,38229.63
10889,2022,US,US,MOTOR,EDUCA,37904.98
13906,2022,US,US,PRINT,EDUCA,37837.09
9053,2022,US,US,LANDT,HEALT,37743.17
12978,2022,US,US,PFERT,PFERT,37564.40
1832,2022,US,US,BUSIN,INSUR,37167.59
3354,2022,US,US,CRUDE,KEROS,36637.56
