trade_id,factor_id,coefficient,impact_value
142,414,228098538248.0,39869295080066.414
143,414,228098538248.0,41387163735528.67
144,414,228098538248.0,7085175780683.195
145,414,228098538248.0,73198592827.44308
146,414,228098538248.0,28637862992.450928
147,414,228098538248.0,21597155925.708073
148,414,228098538248.0,58919832316102.65
149,414,228098538248.0,49790786439.52006
150,414,228098538248.0,32164486347588.754
151,414,228098538248.0,17274995294470.857
152,414,228098538248.0,1955631168.4060662
153,414,228098538248.0,144082936808.10034
154,414,228098538248.0,4154857213.9748487
155,414,228098538248.0,763912185848.3602
156,414,228098538248.0,871866318399.9258
157,414,228098538248.0,11547716993.322311
158,414,228098538248.0,2017692462933.654
159,414,228098538248.0,2218082958326916.0
160,414,228098538248.0,16302739125.172333
161,414,228098538248.0,37597734309941.71
162,414,228098538248.0,1345573608476.027
163,414,228098538248.0,12815225186.64913
164,414,228098538248.0,7903478800182.143
165,414,228098538248.0,389048599757.3257
166,414,228098538248.0,11714453727.982185
167,414,228098538248.0,1145096391.0289996
168,414,228098538248.0,31863883376.739754
169,414,228098538248.0,1436541354132.4832
170,414,228098538248.0,1092568502790252.5
171,414,228098538248.0,73281237285444.81
172,414,228098538248.0,5781085444083.887
173,414,228098538248.0,28730339990584.176
174,414,228098538248.0,922174257687.8456
175,414,228098538248.0,15635521786687.28
176,414,228098538248.0,26400208353579.28
177,414,228098538248.0,17520795171334.668
178,414,228098538248.0,648379321777067.8
179,414,228098538248.0,117971219970.9908
180,414,228098538248.0,32415229118.225327
181,414,228098538248.0,2894682780799.709
182,414,228098538248.0,8974701976035.633
183,414,228098538248.0,5002273721126.352
184,414,228098538248.0,1637378926985.4597
185,414,228098538248.0,2128134616891.851
186,414,228098538248.0,104163797425.37723
187,414,228098538248.0,730306066790.7104
188,414,228098538248.0,21215494858.46013
189,414,228098538248.0,13307507625821.1
190,414,228098538248.0,441772949896.6178
191,414,228098538248.0,94514474320210.98
192,414,228098538248.0,1839057464708358.0
193,414,228098538248.0,5878780309074.282
194,414,228098538248.0,32553048860.376274
195,414,228098538248.0,892611706327.7192
196,414,228098538248.0,6842167756707.912
197,414,228098538248.0,993511307122.5189
198,414,228098538248.0,96956183123578.95
199,414,228098538248.0,1634692935018.584
200,414,228098538248.0,1309526565097.6606
201,414,228098538248.0,15307522626994.393
202,414,228098538248.0,11891574726559.88
203,414,228098538248.0,31769024286037.863
204,414,228098538248.0,14696848321.930721
205,414,228098538248.0,13509171972575.92
206,414,228098538248.0,2818594168806247.5
207,414,228098538248.0,1079808952647.8407
208,414,228098538248.0,197927177269313.88
209,414,228098538248.0,13112909364.55688
210,414,228098538248.0,1574125124351.6057
211,414,228098538248.0,13075344670681.514
212,414,228098538248.0,73848379298917.69
213,414,228098538248.0,519591429313.69574
214,414,228098538248.0,51921626115.67391
215,414,228098538248.0,55821405884.65416
216,414,228098538248.0,11311749786788.668
217,414,228098538248.0,377482479075043.6
218,414,228098538248.0,43245762769.41162
219,414,228098538248.0,1829564183233.3809
220,414,228098538248.0,15001712685.532604
221,414,228098538248.0,5244488000645.945
222,414,228098538248.0,24184699481.307682
223,414,228098538248.0,488983952028.518
224,414,228098538248.0,1451772035242.5205
225,414,228098538248.0,14067644221075.707
226,414,228098538248.0,745669692683.9874
227,414,228098538248.0,18169817111.0018
228,414,228098538248.0,6384873728976.92
229,414,228098538248.0,12276372287164.547
230,414,228098538248.0,3462970502824.668
231,414,228098538248.0,51776343056640.56
232,414,228098538248.0,58675082356007.805
233,414,228098538248.0,63137197702403.305
234,414,228098538248.0,959903555164.4586
235,414,228098538248.0,3066754091009.526
236,414,228098538248.0,13253691695800.152
237,414,228098538248.0,173750884478.4727
238,414,228098538248.0,1552232449432.124
239,414,228098538248.0,14512155350112.428
240,414,228098538248.0,299459322318.6826
241,414,228098538248.0,9702818089777.623
242,414,228098538248.0,918488866473.5797
243,414,228098538248.0,9472324420.734486
244,414,228098538248.0,974385808.8625058
245,414,228098538248.0,706894538140.7515
246,414,228098538248.0,1293129338202.9636
247,414,228098538248.0,1216711745917.1577
248,414,228098538248.0,52778508011352.76
249,414,228098538248.0,23699490324.773872
250,414,228098538248.0,563164041461.1154
251,414,228098538248.0,14519566975623.432
252,414,228098538248.0,4538454044.098034
253,414,228098538248.0,1418131893408.3591
254,414,228098538248.0,944935849634.7021
255,414,228098538248.0,55199724111073.555
256,414,228098538248.0,388043304805959.3
257,414,228098538248.0,7652010583.106928
258,414,228098538248.0,1703773686358.0508
259,414,228098538248.0,210021650212178.1
260,414,228098538248.0,403598680624.5746
261,414,228098538248.0,1020035283045166.1
262,414,228098538248.0,924442648714.4615
263,414,228098538248.0,4497860446042.315
264,414,228098538248.0,3146621314501.845
265,414,228098538248.0,11343889455.010977
266,414,228098538248.0,2777654975484660.0
267,414,228098538248.0,29468755236212.668
268,414,228098538248.0,24589577080.313522
269,414,228098538248.0,51112786402778.516
270,414,228098538248.0,1435981727016955.8
271,414,228098538248.0,113863651660480.58
272,414,228098538248.0,32012058662510.992
273,414,228098538248.0,71925862122671.06
274,414,228098538248.0,468309784331484.1
275,414,228098538248.0,48478505998.35749
276,414,228098538248.0,77267427502549.22
277,414,228098538248.0,40615124587.021385
278,414,228098538248.0,5902696685650.556
279,414,228098538248.0,349560045.8111501
280,414,228098538248.0,101059500679.3731
281,414,228098538248.0,141527866115.79965
282,414,228098538248.0,1272944396.0089796
283,414,228098538248.0,281023033919560.8
284,414,228098538248.0,1466763271182.541
285,414,228098538248.0,1707020898676.8096
286,414,228098538248.0,27378993703322.984
287,414,228098538248.0,1750985545520.0269
288,414,228098538248.0,3518559813124.2036
289,414,228098538248.0,617945836464.7378
290,414,228098538248.0,35435196795878.42
291,414,228098538248.0,5705016257.509378
292,414,228098538248.0,27937493339.63707
293,414,228098538248.0,1309454334077.8816
294,414,228098538248.0,8010740979691.365
295,414,228098538248.0,1674730570.484965
296,414,228098538248.0,187086731300.53232
297,414,228098538248.0,1403181604524969.8
298,414,228098538248.0,1428105258584.741
299,414,228098538248.0,422962919709.12854
300,414,228098538248.0,81119764060452.95
2306,414,54330856408.9,83367098427043.16
2307,414,54330856408.9,2227892119980.8574
2308,414,54330856408.9,20709635642606.367
2309,414,54330856408.9,11190330142.554417
2310,414,54330856408.9,230282642400.84366
2311,414,54330856408.9,8833688392.600197
2312,414,54330856408.9,72234478624.75317
2313,414,54330856408.9,49461019438035.99
2314,414,54330856408.9,23516511086693.496
2315,414,54330856408.9,1082691759.5575936
2316,414,54330856408.9,242444091395.4464
2317,414,54330856408.9,20940298727.11866
2318,414,54330856408.9,117122819482.37444
2319,414,54330856408.9,355879583281.14545
2320,414,54330856408.9,26436258958.642757
2321,414,54330856408.9,13689633719331.324
2322,414,54330856408.9,160796117694844.7
2323,414,54330856408.9,25497328459907.81
2324,414,54330856408.9,88539819523786.86
2325,414,54330856408.9,8168517922658.172
2326,414,54330856408.9,67988288484069.17
2327,414,54330856408.9,308900507138.05945
2328,414,54330856408.9,61415549712.31035
2329,414,54330856408.9,71024633676.26437
2330,414,54330856408.9,121382380775.52234
2331,414,54330856408.9,13032994608.07769
2332,414,54330856408.9,219471094050.5503
2333,414,54330856408.9,40809826958484.984
2334,414,54330856408.9,181288210579343.4
2335,414,54330856408.9,18676775948834.95
2336,414,54330856408.9,3121639309714.501
2337,414,54330856408.9,171028203533684.66
2338,414,54330856408.9,23917752732874.457
2339,414,54330856408.9,46170069794056.92
2340,414,54330856408.9,518326590008.6192
2341,414,54330856408.9,158680202591968.84
2342,414,54330856408.9,31951690839.703938
2343,414,54330856408.9,990163485.8832705
2344,414,54330856408.9,107930871249.97733
2345,414,54330856408.9,93806384694635.9
2346,414,54330856408.9,43463957124.50404
2347,414,54330856408.9,63446190896.34717
2348,414,54330856408.9,31088672668.477623
2349,414,54330856408.9,4104145426.7972937
2350,414,54330856408.9,149080468.41803122
2351,414,54330856408.9,5376408097395.497
2352,414,54330856408.9,57531034.49481181
2353,414,54330856408.9,1412609523924.4426
2354,414,54330856408.9,5770147922339.055
2355,414,54330856408.9,477172880516.85474
2356,414,54330856408.9,15127273755.241056
2357,414,54330856408.9,140284441567.18573
2358,414,54330856408.9,1187624051134.3826
2359,414,54330856408.9,485459855297.4298
2360,414,54330856408.9,1300370965139.679
2361,414,54330856408.9,396178913928.7145
2362,414,54330856408.9,291268839067.6568
2363,414,54330856408.9,19302846520680.1
2364,414,54330856408.9,21585697158412.234
2365,414,54330856408.9,513314958166.887
2366,414,54330856408.9,25801432880.78235
2367,414,54330856408.9,14214878481656.625
2368,414,54330856408.9,2144271162937934.8
2369,414,54330856408.9,95375452159.46786
2370,414,54330856408.9,32093881615176.348
2371,414,54330856408.9,64900095537.06802
2372,414,54330856408.9,571428456812.2518
2373,414,54330856408.9,6027719285.265165
2374,414,54330856408.9,2126698063207.4724
2375,414,54330856408.9,145442059299.7864
2376,414,54330856408.9,123605698841.98192
2377,414,54330856408.9,686486137731.1394
2378,414,54330856408.9,442218080678.05237
2379,414,54330856408.9,17838064613012.656
2380,414,54330856408.9,6136014189.8256235
2381,414,54330856408.9,150684724410.0274
2382,414,54330856408.9,52848517058.378136
2383,414,54330856408.9,31469859748.22214
2384,414,54330856408.9,3033714250659.826
2385,414,54330856408.9,4368399774802.7227
2386,414,54330856408.9,103427832779.93736
2387,414,54330856408.9,58626204432.58693
2388,414,54330856408.9,230867548165.9577
2389,414,54330856408.9,386681436208.4281
2390,414,54330856408.9,278515727783.4875
2391,414,54330856408.9,3642542367099.0215
2392,414,54330856408.9,147551475307587.0
2393,414,54330856408.9,10208805868846.535
2394,414,54330856408.9,42980979061864.59
2395,414,54330856408.9,1245011614562.6292
2396,414,54330856408.9,3408920027417.353
2397,414,54330856408.9,39911227429204.14
2398,414,54330856408.9,3088228235892.081
2399,414,54330856408.9,158046275189.34048
2400,414,54330856408.9,96692403089299.7
2401,414,54330856408.9,7231260005748.815
2402,414,54330856408.9,361700809925.55505
2403,414,54330856408.9,227329704981.01108
2404,414,54330856408.9,474144791115.61426
2405,414,54330856408.9,1506632646589.5315
2406,414,54330856408.9,430827971537.9231
2407,414,54330856408.9,6727368254847.6455
2408,414,54330856408.9,25949104140949.75
2409,414,54330856408.9,418765359083.0809
2410,414,54330856408.9,352495362339.432
2411,414,54330856408.9,564181255291.5934
2412,414,54330856408.9,22966590833240.4
2413,414,54330856408.9,31166131575156.6
2414,414,54330856408.9,6363054530375.193
2415,414,54330856408.9,1124840979.882553
2416,414,54330856408.9,2120842622501.0996
2417,414,54330856408.9,15219828994.99824
2418,414,54330856408.9,156562468884832.53
2419,414,54330856408.9,15370554206458.752
2420,414,54330856408.9,358549008624.7662
2421,414,54330856408.9,597282522590.8154
2422,414,54330856408.9,23045639719284.11
2423,414,54330856408.9,158971659329683.1
2424,414,54330856408.9,6337401901185.439
2425,414,54330856408.9,2221980260.1355467
2426,414,54330856408.9,1583292782881.1313
2427,414,54330856408.9,4644967780906.39
2428,414,54330856408.9,68302113800407.87
2429,414,54330856408.9,101892093279.37537
2430,414,54330856408.9,1354582108227.8333
2431,414,54330856408.9,26265174571593.82
2432,414,54330856408.9,369249580.92368823
2433,414,54330856408.9,71411847707.35767
2434,414,54330856408.9,102704873974.47235
2435,414,54330856408.9,503848244560.5757
2436,414,54330856408.9,2979434298.938333
2437,414,54330856408.9,865910968.902991
2438,414,54330856408.9,41335449037.14423
2439,414,54330856408.9,66691733539.7416
2440,414,54330856408.9,4520319807469.995
2441,414,54330856408.9,5605172710685.318
2442,414,54330856408.9,275645129060.693
2443,414,54330856408.9,315068384718.8927
2444,414,54330856408.9,1842745166143.3599
2445,414,54330856408.9,7888329651279.546
2446,414,54330856408.9,136782013799.40614
2447,414,54330856408.9,43134158892.682884
2448,414,54330856408.9,64073197102587.08
2449,414,54330856408.9,825711561.0091759
2450,414,54330856408.9,104247730987822.8
2451,414,54330856408.9,463616672967.6487
2452,414,54330856408.9,3460364189140.105
2453,414,54330856408.9,15694150873317.723
2454,414,54330856408.9,69207542167750.414
2455,414,54330856408.9,282471309890.9384
2456,414,54330856408.9,146906870858.84473
2457,414,54330856408.9,62605489480692.58
