trade_id,year,region1,region2,industry1,industry2,amount
18819,2022,WM,WM,WHOLE,CONST,34623.44
15395,2022,WM,WM,RETA1,CONST,30327.13
10423,2022,WM,WM,NATUR,ELEC2,27486.82
2861,2022,WM,WM,CONST,CONST,26111.31
8486,2022,WM,WM,LANDT,CONST,17242.54
10440,2022,WM,WM,NATUR,FURNI,11903.01
1673,2022,WM,WM,CEMEN,CONST,11551.92
1375,2022,WM,WM,BUSIN,CONST,11035.86
13256,2022,WM,WM,POSTT,POSTT,10553.29
19267,2022,WM,WM,WOODW,CONST,9928.53
14593,2022,WM,WM,RAWMI,DAIRY,9807.97
13370,2022,WM,WM,POULT,MEAT1,8836.04
5385,2022,WM,WM,FINAN,REALE,8242.14
5604,2022,WM,WM,FISHF,FISH5,8163.23
17547,2022,WM,WM,TEXTI,TEXTI,7914.07
10194,2022,WM,WM,MOTO1,MOTO1,7751.87
6355,2022,WM,WM,FOOD5,FOOD5,7173.23
765,2022,WM,WM,BASIC,BASIC,7114.17
13262,2022,WM,WM,POSTT,PUBLI,6889.76
15341,2022,WM,WM,RESEA,RESEA,6743.09
1575,2022,WM,WM,CATTL,MEATC,6679.62
13401,2022,WM,WM,POULT,POULT,6539.07
5309,2022,WM,WM,FINAN,FINAN,6518.03
16216,2022,WM,WM,SEACO,SEACO,6502.73
18694,2022,WM,WM,WHEAT,FOOD5,6368.76
13174,2022,WM,WM,POSTT,CONST,6209.75
1815,2022,WM,WM,CERAM,CONST,6110.26
17555,2022,WM,WM,TEXTI,WEARI,5991.12
10823,2022,WM,WM,NONME,CONST,5706.95
18850,2022,WM,WM,WHOLE,HEALT,5395.47
1362,2022,WM,WM,BUSIN,BUSIN,4910.64
5289,2022,WM,WM,FINAN,CONST,4906.21
1466,2022,WM,WM,BUSIN,PUBLI,4882.35
16958,2022,WM,WM,SUPPO,AIRTR,4573.33
1978,2022,WM,WM,CEREA,FOOD5,4525.32
14823,2022,WM,WM,REALE,REALE,4431.25
17856,2022,WM,WM,TRAN2,CRUDE,4111.45
15331,2022,WM,WM,RESEA,PUBLI,4065.91
7955,2022,WM,WM,INSUR,INSUR,3964.92
2955,2022,WM,WM,CONST,REALE,3803.03
6763,2022,WM,WM,FOUND,CONST,3705.64
17094,2022,WM,WM,SUPPO,SUPPO,3694.52
18253,2022,WM,WM,VEGET,FOOD5,3634.22
13162,2022,WM,WM,POSTT,BUSIN,3601.86
18848,2022,WM,WM,WHOLE,GASDI,3585.17
17088,2022,WM,WM,SUPPO,SEACO,3542.48
18342,2022,WM,WM,VEGET,VEGET,3496.53
1476,2022,WM,WM,BUSIN,RESEA,3377.87
18823,2022,WM,WM,WHOLE,CRUDE,3353.52
8420,2022,WM,WM,KEROS,PUBLI,3292.66
1410,2022,WM,WM,BUSIN,HEALT,3211.13
16983,2022,WM,WM,SUPPO,CONST,3114.43
1374,2022,WM,WM,BUSIN,COMPU,3040.67
11037,2022,WM,WM,OFFIC,OFFIC,3030.09
17027,2022,WM,WM,SUPPO,LANDT,2955.09
14766,2022,WM,WM,REALE,HEALT,2946.32
13272,2022,WM,WM,POSTT,RESEA,2931.49
3716,2022,WM,WM,DISTR,DISTR,2906.05
17108,2022,WM,WM,SUPPO,WHOLE,2816.17
605,2022,WM,WM,AUXIL,FINAN,2750.14
4134,2022,WM,WM,ELEC2,DISTR,2736.89
4131,2022,WM,WM,ELEC2,CRUDE,2730.82
1378,2022,WM,WM,BUSIN,CRUDE,2593.33
6907,2022,WM,WM,FURNI,CONST,2576.00
624,2022,WM,WM,AUXIL,INSUR,2552.23
15426,2022,WM,WM,RETA1,GASDI,2531.38
2950,2022,WM,WM,CONST,PUBLI,2491.77
18940,2022,WM,WM,WHOLE,WHOLE,2443.55
16116,2022,WM,WM,SEACO,CRUDE,2439.87
10471,2022,WM,WM,NATUR,NATUR,2427.22
10488,2022,WM,WM,NATUR,PFERT,2409.55
13106,2022,WM,WM,PLAST,PLAST,2391.87
1519,2022,WM,WM,CATTL,CATTL,2387.16
10419,2022,WM,WM,NATUR,CRUDE,2358.65
15860,2022,WM,WM,SALEM,LANDT,2337.88
1248,2022,WM,WM,BRICK,CONST,2300.72
7289,2022,WM,WM,HEALT,HEALT,2273.18
5268,2022,WM,WM,FINAN,AUXIL,2258.04
7117,2022,WM,WM,GLASS,CONST,2231.04
18786,2022,WM,WM,WHEAT,WHEAT,2227.62
1471,2022,WM,WM,BUSIN,REALE,2220.46
8529,2022,WM,WM,LANDT,LANDT,2204.22
8611,2022,WM,WM,LANDT,WHOLE,2203.35
567,2022,WM,WM,AUXIL,AUXIL,2197.73
2709,2022,WM,WM,COMPU,COMPU,2151.43
12264,2022,WM,WM,PAPER,PAPER,2096.21
14742,2022,WM,WM,REALE,EDUCA,2082.99
18874,2022,WM,WM,WHOLE,MOTOR,2057.25
13695,2022,WM,WM,PRINT,PUBLI,2046.49
18863,2022,WM,WM,WHOLE,LIQUE,1987.55
7370,2022,WM,WM,HOTEL,93197,1970.16
5293,2022,WM,WM,FINAN,CRUDE,1952.50
3439,2022,WM,WM,DAIRY,DAIRY,1932.49
8597,2022,WM,WM,LANDT,SUPPO,1898.44
14734,2022,WM,WM,REALE,CONST,1882.47
5151,2022,WM,WM,FABRI,FABRI,1851.62
14390,2022,WM,WM,RADIO,RADIO,1844.58
13614,2022,WM,WM,PRINT,EDUCA,1841.79
13217,2022,WM,WM,POSTT,LANDT,1765.32
5380,2022,WM,WM,FINAN,PUBLI,1743.91
13297,2022,WM,WM,POSTT,WHOLE,1742.73
8822,2022,WM,WM,LEATH,LEATH,1741.48
12276,2022,WM,WM,PAPER,PRINT,1733.98
10465,2022,WM,WM,NATUR,MEDIC,1730.64
2865,2022,WM,WM,CONST,CRUDE,1709.39
1395,2022,WM,WM,BUSIN,FINAN,1693.97
19388,2022,WM,WM,WOODW,WOODW,1685.32
14225,2022,WM,WM,PULP5,PAPER,1639.55
14961,2022,WM,WM,RECRE,RECRE,1618.86
