trade_id,year,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_Minerals,materials_Other_Materials,materials_intensity
10423,2022,WM,WM,NATUR,ELEC2,27486.82,14783083058.459,1.0,1.0,14783083058.459,14783083058.459,14783083058.459,537824.421248
10440,2022,WM,WM,NATUR,FURNI,11903.01,6401727800.363,1.0,1.0,6401727800.363,6401727800.363,6401727800.363,537824.281452
10471,2022,WM,WM,NATUR,NATUR,2427.22,1305420094.513,1.0,1.0,1305420094.513,1305420094.513,1305420094.513,537825.205178
10488,2022,WM,WM,NATUR,PFERT,2409.55,1295912688.16,1.0,1.0,1295912688.16,1295912688.16,1295912688.16,537823.530601
10419,2022,WM,WM,NATUR,CRUDE,2358.65,1268539427.037,1.0,1.0,1268539427.037,1268539427.037,1268539427.037,537824.360137
10465,2022,WM,WM,NATUR,MEDIC,1730.64,930782497.088,1.0,1.0,930782497.088,930782497.088,930782497.088,537825.600407
10470,2022,WM,WM,NATUR,NATU1,1072.06,576582328.197,1.0,1.0,576582328.197,576582328.197,576582328.197,537826.547205
10408,2022,WM,WM,NATUR,CHEM1,727.54,391286818.028,1.0,1.0,391286818.028,391286818.028,391286818.028,537821.725304
10447,2022,WM,WM,NATUR,HYDRO,691.42,371860835.624,1.0,1.0,371860835.624,371860835.624,371860835.624,537821.925348
10396,2022,WM,WM,NATUR,BASIC,452.5,243366729.658,1.0,1.0,243366729.658,243366729.658,243366729.658,537827.026869
10493,2022,WM,WM,NATUR,PLAST,298.68,160637973.036,1.0,1.0,160637973.036,160637973.036,160637973.036,537826.346043
10535,2022,WM,WM,NATUR,WHOLE,278.9,149997468.94,1.0,1.0,149997468.94,149997468.94,149997468.94,537818.103048
10441,2022,WM,WM,NATUR,GASDI,217.05,116737287.653,1.0,1.0,116737287.653,116737287.653,116737287.653,537835.925607
10505,2022,WM,WM,NATUR,REALE,205.97,110774446.821,1.0,1.0,110774446.821,110774446.821,110774446.821,537818.356173
10500,2022,WM,WM,NATUR,PUBLI,189.72,102037866.736,1.0,1.0,102037866.736,102037866.736,102037866.736,537834.001349
10443,2022,WM,WM,NATUR,GLASS,166.64,89621938.753,1.0,1.0,89621938.753,89621938.753,89621938.753,537817.683347
15936,2022,WM,WM,SANDC,93197,42.04,79054802.206,1.0,1.0,79054802.206,79054802.206,79054802.206,1880466.275119
15968,2022,WM,WM,SANDC,EDUCA,40.36,75887343.085,1.0,1.0,75887343.085,75887343.085,75887343.085,1880261.22609
10457,2022,WM,WM,NATUR,LIQUE,129.9,69865730.61,1.0,1.0,69865730.61,69865730.61,69865730.61,537842.42194
10422,2022,WM,WM,NATUR,EDUCA,129.37,69576058.56,1.0,1.0,69576058.56,69576058.56,69576058.56,537806.744686
16033,2022,WM,WM,SANDC,PAPER,36.34,68340711.979,1.0,1.0,68340711.979,68340711.979,68340711.979,1880591.964199
10468,2022,WM,WM,NATUR,MOTOR,123.77,66567281.406,1.0,1.0,66567281.406,66567281.406,66567281.406,537830.503401
16050,2022,WM,WM,SANDC,RAILW,34.62,65099997.466,1.0,1.0,65099997.466,65099997.466,65099997.466,1880415.871346
10511,2022,WM,WM,NATUR,RETA1,102.34,55042000.267,1.0,1.0,55042000.267,55042000.267,55042000.267,537834.67136
