trade_id,factor_id,coefficient,impact_value
7,414,78066722889.2,7056797600.902052
8,414,78066722889.2,7430207828.776319
9,414,78066722889.2,40107456890.84825
10,414,78066722889.2,7073594971.592004
11,414,78066722889.2,38298992610.027435
12,414,78066722889.2,117667887801.4699
13,414,78066722889.2,3150609116.139191
14,414,78066722889.2,1101349727.9698997
15,414,78066722889.2,3134623071.908085
16,414,78066722889.2,1075191977.175863
17,414,78066722889.2,11804147240.115149
18,414,78066722889.2,94758792075.4133
19,414,78066722889.2,1955551022.7252383
20,414,78066722889.2,68359071257.54536
21,414,78066722889.2,3283025580.212795
22,414,78066722889.2,35105676867.35494
23,414,78066722889.2,4446680873.376182
24,414,78066722889.2,194788528742.94327
25,414,78066722889.2,403446751901.41534
26,414,78066722889.2,16677409302.685608
27,414,78066722889.2,3325630380.494167
28,414,78066722889.2,41411796571.4625
29,414,78066722889.2,266588884625.14966
30,414,78066722889.2,2054379032.0774858
31,414,78066722889.2,611284174363.4406
32,414,78066722889.2,1710882856.5598502
33,414,78066722889.2,338358840328.551
34,414,78066722889.2,74629734755.86342
35,414,78066722889.2,1856433020.6349425
36,414,78066722889.2,4698643619.945002
37,414,78066722889.2,929086612.8958101
38,414,78066722889.2,181614442153.47986
39,414,78066722889.2,2182972053.2176003
40,414,78066722889.2,1291619868.7608442
41,414,78066722889.2,42788718913.604614
42,414,78066722889.2,4643210490.357985
43,414,78066722889.2,11745034134.449207
44,414,78066722889.2,5213891417.2668705
45,414,78066722889.2,121265915241.30962
46,414,78066722889.2,1878833622.1788743
47,414,78066722889.2,68258052492.6631
48,414,78066722889.2,1161412182.7555509
49,414,78066722889.2,39716871355.08749
50,414,78066722889.2,12038920215.24301
51,414,78066722889.2,972280789.916103
52,414,78066722889.2,5585306823.142855
53,414,78066722889.2,329328838877.55426
54,414,78066722889.2,6375383441.256568
55,414,78066722889.2,9508022246.934887
56,414,78066722889.2,1261179983.268809
57,414,78066722889.2,5008013190.995586
58,414,78066722889.2,5069886921.625559
59,414,78066722889.2,28661535320.915028
60,414,78066722889.2,19325802895.602062
61,414,78066722889.2,24284146781.918026
62,414,78066722889.2,2519942990.4133997
63,414,78066722889.2,1546023991.6687155
64,414,78066722889.2,4466181399.08014
65,414,78066722889.2,52796061400.42277
66,414,78066722889.2,3750575810.4921403
67,414,78066722889.2,18887142964.75081
68,414,78066722889.2,5517855175.152905
69,414,78066722889.2,854411897.4302518
70,414,78066722889.2,1540324744.6552327
71,414,78066722889.2,1265295394.270442
72,414,78066722889.2,4662099819.744235
73,414,78066722889.2,1167153890.1112862
74,414,78066722889.2,4870540232.794108
75,414,78066722889.2,86044570580.17606
76,414,78066722889.2,28320814379.32296
77,414,78066722889.2,4435975149.170425
78,414,78066722889.2,10448331228.89032
79,414,78066722889.2,101679650148.38661
80,414,78066722889.2,36692891008.90172
81,414,78066722889.2,47167985100.461464
82,414,78066722889.2,1244169314.9079564
83,414,78066722889.2,25027474131.26838
84,414,78066722889.2,7738428861.918023
85,414,78066722889.2,15509930770.08526
86,414,78066722889.2,18706951649.827343
87,414,78066722889.2,116212051786.34636
88,414,78066722889.2,3266592185.547706
89,414,78066722889.2,81493729695.04245
90,414,78066722889.2,85747008411.48672
91,414,78066722889.2,6015786344.373427
92,414,78066722889.2,7046519752.972501
93,414,78066722889.2,1287450885.2747154
94,414,78066722889.2,1690605146.4957745
95,414,78066722889.2,581195121215.8898
96,414,78066722889.2,25022851102.065075
97,414,78066722889.2,919421667.1043149
98,414,78066722889.2,14825412189.13667
99,414,78066722889.2,16031641839.502617
100,414,78066722889.2,978487611.3202134
101,414,78066722889.2,2096017977.3186963
102,414,78066722889.2,4127257340.3034115
103,414,78066722889.2,5321125045.401537
104,414,78066722889.2,302519628394.44696
105,414,78066722889.2,1775969498.4110355
106,414,78066722889.2,84719738051.6927
362,414,95713400000.0,105829407149.7356
363,414,95713400000.0,1209263438.4303226
364,414,95713400000.0,313435201913.1649
365,414,95713400000.0,2417225874.419598
366,414,95713400000.0,2050189700.304034
367,414,95713400000.0,3563368974.475693
368,414,95713400000.0,2277301251.9378734
369,414,95713400000.0,1455068642.1432414
370,414,95713400000.0,2363943123.9148474
371,414,95713400000.0,1003760577.5526136
372,414,95713400000.0,10506944294.80338
373,414,95713400000.0,1983627197.8108208
374,414,95713400000.0,2595359216.999677
375,414,95713400000.0,1100652279.8081062
376,414,95713400000.0,1113846860.0885894
377,414,95713400000.0,2854079338.201456
378,414,95713400000.0,1306111573.0276964
401,414,60040904227.5,4046177703.816354
402,414,60040904227.5,2398677744.4100947
403,414,60040904227.5,16485380426.720242
404,414,60040904227.5,46703447283.01474
405,414,60040904227.5,5653100701.167085
406,414,60040904227.5,5729833788.540868
407,414,60040904227.5,4386482715.086081
408,414,60040904227.5,7620161630.166285
409,414,60040904227.5,3190457844.3116565
410,414,60040904227.5,43651510780.26615
411,414,60040904227.5,3144243884.743747
412,414,60040904227.5,11707147558.086681
413,414,60040904227.5,60549617526.17037
414,414,60040904227.5,1083463567.295975
415,414,60040904227.5,34093043108.49575
416,414,60040904227.5,4226635003.0415235
417,414,60040904227.5,4185807336.696012
418,414,60040904227.5,94048142616.00453
419,414,60040904227.5,14791768376.926762
420,414,60040904227.5,2716223523.596873
421,414,60040904227.5,2837326426.6357126
422,414,60040904227.5,37584639334.24041
423,414,60040904227.5,1001160877.2440711
424,414,60040904227.5,28005571648.28322
425,414,60040904227.5,74177975082.39388
426,414,60040904227.5,47831422265.00932
427,414,60040904227.5,1116757227.4048955
428,414,60040904227.5,7167612568.295826
429,414,60040904227.5,63375049239.19471
430,414,60040904227.5,2546374091.4536986
431,414,60040904227.5,2688984092.4607267
432,414,60040904227.5,13809847064.726654
433,414,60040904227.5,7403793547.143335
434,414,60040904227.5,10802208926.223225
435,414,60040904227.5,615365219.756057
436,414,60040904227.5,2904419579.037199
437,414,60040904227.5,1734260105.8213887
438,414,60040904227.5,8853714479.877348
439,414,60040904227.5,12224458991.751484
440,414,60040904227.5,2889645657.6602454
441,414,60040904227.5,2861610964.3997436
442,414,60040904227.5,30425620545.811993
443,414,60040904227.5,884261282.5723714
444,414,60040904227.5,6360429361.792609
445,414,60040904227.5,17786133878.00498
446,414,60040904227.5,5308199389.723639
447,414,60040904227.5,42600884549.32218
448,414,60040904227.5,2302676074.5895834
449,414,60040904227.5,10745157636.998737
450,414,60040904227.5,3625187574.0480247
451,414,60040904227.5,2862984429.257823
452,414,60040904227.5,1319711342.1838014
453,414,60040904227.5,1342476073.0289054
454,414,60040904227.5,2056023313.5309834
455,414,60040904227.5,4883360711.052099
456,414,60040904227.5,750995185.0574807
457,414,60040904227.5,21801363721.185493
458,414,60040904227.5,53540292562.01421
459,414,60040904227.5,2795490007.306357
460,414,60040904227.5,7057114360.486084
461,414,60040904227.5,3965303209.55722
462,414,60040904227.5,47725426421.817566
463,414,60040904227.5,2945350442.776274
464,414,60040904227.5,933378804.7541527
465,414,60040904227.5,2051016025.1422226
466,414,60040904227.5,3886594878.0055504
467,414,60040904227.5,9626928606.434565
468,414,60040904227.5,4799970576.113708
469,414,60040904227.5,2287154716.946725
470,414,60040904227.5,7258362259.620893
471,414,60040904227.5,10292173302.168705
472,414,60040904227.5,895848246.2561283
473,414,60040904227.5,717539063.6821386
474,414,60040904227.5,1945833181.1185923
475,414,60040904227.5,2210524271.4140244
476,414,60040904227.5,3944630769.3545613
477,414,60040904227.5,628002289.9987197
478,414,60040904227.5,94087265730.31332
479,414,60040904227.5,51245754112.3041
480,414,60040904227.5,991822957.9508048
481,414,60040904227.5,6934764049.242119
482,414,60040904227.5,9456542736.256815
483,414,60040904227.5,5081178590.522231
484,414,60040904227.5,3692400905.260051
485,414,60040904227.5,15545980485.34823
486,414,60040904227.5,975571454.5495917
487,414,60040904227.5,617187761.1397028
488,414,60040904227.5,10492270281.353199
698,414,102218297693.0,7594088541.406306
699,414,102218297693.0,4559638437.297658
700,414,102218297693.0,359616627284.0645
701,414,102218297693.0,39993882923.96607
702,414,102218297693.0,126124323005.90894
703,414,102218297693.0,3703475773.1817856
704,414,102218297693.0,2991004405873.2983
705,414,102218297693.0,11081447783880.947
706,414,102218297693.0,1822815295820.1633
707,414,102218297693.0,61571555368.69719
708,414,102218297693.0,5611925887475.434
709,414,102218297693.0,534486971139.3494
710,414,102218297693.0,24249852922144.37
711,414,102218297693.0,2496739249558.036
712,414,102218297693.0,1101630631.1768184
713,414,102218297693.0,19704868728.53343
714,414,102218297693.0,22951517476.27282
715,414,102218297693.0,2194053528.305099
716,414,102218297693.0,359899208974.8228
717,414,102218297693.0,1919823608.0819669
718,414,102218297693.0,301449587347.64404
719,414,102218297693.0,54354378733.839
720,414,102218297693.0,25210372712.31991
721,414,102218297693.0,2168140365.480018
1145,414,265808128559.0,19707526345.16924
1146,414,265808128559.0,11031618799.703266
1147,414,265808128559.0,6055207741.8439045
1148,414,265808128559.0,8571265397.01983
1149,414,265808128559.0,54125587720.69686
1150,414,265808128559.0,3875803833.2504077
1151,414,265808128559.0,12813378102.202032
1152,414,265808128559.0,27946100377.895332
1153,414,265808128559.0,71652765616.2215
1154,414,265808128559.0,22165731611.673546
1155,414,265808128559.0,8168364102.231584
1156,414,265808128559.0,17121923269.9853
1157,414,265808128559.0,14992105042.387083
1158,414,265808128559.0,147387531014.33322
1159,414,265808128559.0,109532727535.17853
1160,414,265808128559.0,4365375923.816513
1161,414,265808128559.0,11428654774.984808
1162,414,265808128559.0,124981384545.84209
1163,414,265808128559.0,201992506098.05753
1164,414,265808128559.0,21469120079.758793
1165,414,265808128559.0,22290659910.690292
1166,414,265808128559.0,3429993344.8622246
