trade_id,factor_id,coefficient,impact_value
18918,8,66323947830.0,2284236509621.992
18919,8,66323947830.0,2090070841.6564867
18920,8,66323947830.0,2886677041.4076996
18921,8,66323947830.0,11311079141.95525
18922,8,66323947830.0,448247620403.47516
18923,8,66323947830.0,1654616047.5342932
18924,8,66323947830.0,262543088563.65833
18925,8,66323947830.0,5766474307.6725
18926,8,66323947830.0,936278748.088323
18927,8,66323947830.0,93931975479.8829
18928,8,66323947830.0,222118104791.7481
18929,8,66323947830.0,5534625550.09121
18930,8,66323947830.0,151607955024.08414
18931,8,66323947830.0,51772637177.098305
18932,8,66323947830.0,19300167437.865715
18933,8,66323947830.0,2118040036455.1416
18934,8,66323947830.0,1019928612.46632
18935,8,66323947830.0,11547066406.197567
18936,8,66323947830.0,254155968090.7597
18937,8,66323947830.0,19428205865.180347
18938,8,66323947830.0,6961081071.639314
18939,8,66323947830.0,8369410567.321706
18940,8,66323947830.0,291668646958.635
18941,8,66323947830.0,50656544777.00801
18942,8,66323947830.0,3262745021.3249598
18943,8,66323947830.0,2970852182087.569
18944,8,66323947830.0,950911667.5991573
18945,8,66323947830.0,4366480188.874072
18946,8,66323947830.0,1275279249.0825503
18947,8,66323947830.0,4178849446.9065766
18948,8,66323947830.0,23342881099.739456
18949,8,66323947830.0,8596208430.850658
18950,8,66323947830.0,365703657225.168
18951,8,66323947830.0,19254440135.095345
18952,8,66323947830.0,8098855082.727353
18953,8,66323947830.0,3672774910096.009
18954,8,66323947830.0,6806343917.769401
18955,8,66323947830.0,51619132543.83371
18956,8,66323947830.0,5092647500.684384
18957,8,66323947830.0,407067289177.1167
18958,8,66323947830.0,618415827210.7164
18959,8,66323947830.0,104972113073.3697
18960,8,66323947830.0,2581202580386.243
18961,8,66323947830.0,177636100983.8268
18962,8,66323947830.0,9601032708379.785
18963,8,66323947830.0,530399882692.1039
18964,8,66323947830.0,22343718832.904408
18965,8,66323947830.0,237765547260.66614
18966,8,66323947830.0,9284689213.379137
18967,8,66323947830.0,8629992885.259764
18968,8,66323947830.0,370482297824.17053
18969,8,66323947830.0,4541019865.880295
18970,8,66323947830.0,1432082695.7742863
18971,8,66323947830.0,17843618308948.695
18972,8,66323947830.0,212483265079.4802
18973,8,66323947830.0,880276683.7537931
18974,8,66323947830.0,85244918798.04726
18975,8,66323947830.0,59848955209.64546
18976,8,66323947830.0,5202487756.819828
18977,8,66323947830.0,114057120065.95801
18978,8,66323947830.0,356862958514.30597
18979,8,66323947830.0,74623515735.37436
18980,8,66323947830.0,48267123925.16226
18981,8,66323947830.0,175700068449.9271
18982,8,66323947830.0,9821266120.63805
18983,8,66323947830.0,12361489964.664686
18984,8,66323947830.0,9721084268.80513
18985,8,66323947830.0,11052275852.228205
18986,8,66323947830.0,8501978955623.795
18987,8,66323947830.0,67179407789.08882
18988,8,66323947830.0,112281512703.56873
18989,8,66323947830.0,83801872633.96207
18990,8,66323947830.0,10503430461.875607
18991,8,66323947830.0,92791651962.90916
18992,8,66323947830.0,1680551425363.7993
18993,8,66323947830.0,610919244225.1549
18994,8,66323947830.0,3926774140.8416467
18995,8,66323947830.0,7556257947.871981
18996,8,66323947830.0,6307038505.763732
18997,8,66323947830.0,832529810683.4639
18998,8,66323947830.0,426929881396.3131
18999,8,66323947830.0,831297641.555278
19000,8,66323947830.0,752544480.8779645
19001,8,66323947830.0,184746042091.37582
19002,8,66323947830.0,1456654076118.4402
19003,8,66323947830.0,256657934864.86584
19004,8,66323947830.0,139531593262.85568
19005,8,66323947830.0,180172490302.04462
19006,8,66323947830.0,12455579563.282492
19007,8,66323947830.0,15889569594.434767
19008,8,66323947830.0,1529760678.5734
19009,8,66323947830.0,6998862785.15786
19010,8,66323947830.0,81174074397.32233
19011,8,66323947830.0,1346004228.3105657
19012,8,66323947830.0,202247274713.75797
19013,8,66323947830.0,158011966806.5743
19014,8,66323947830.0,100975636451.2121
19015,8,66323947830.0,22706492463.826153
19016,8,66323947830.0,2183985182.7838507
19017,8,66323947830.0,2379884989.559468
19018,8,66323947830.0,261731887538.6434
19019,8,66323947830.0,69065286788.35966
19020,8,66323947830.0,7918396618.851925
